,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2018,25,23.72,1,26,5,13,.385,0,2,.000,2,2,1.000,1,1,2,1,1,0,0,3,12,6.4,-12
1,2,2018,25,63.2,1,29,3,10,.300,0,2,.000,4,4,1.000,0,1,1,2,1,0,1,3,10,4.7,-2
2,3,2018,26,68.05,1,26,6,12,.500,1,3,.333,0,0,,0,3,3,3,0,0,1,3,13,7.8,0
3,4,2018,26,39.57,1,22,4,10,.400,0,0,,2,2,1.000,2,1,3,0,0,0,0,2,10,5.5,-19
4,5,2018,26,33.26,1,29,4,12,.333,0,2,.000,2,2,1.000,1,2,3,1,1,0,0,1,10,5.8,-9
5,6,2018,26,7.78,1,29,8,15,.533,1,6,.167,0,0,,0,5,5,3,2,0,1,2,17,13.5,-19
6,7,2018,26,68.05,1,30,9,13,.692,4,4,1.000,4,6,.667,0,1,1,3,3,0,1,4,26,22.5,+38
7,8,2018,26,33.99,1,27,1,9,.111,0,3,.000,6,6,1.000,0,4,4,4,2,1,0,2,8,8.0,-15
8,9,2018,26,56.56,1,23,3,8,.375,1,1,1.000,0,0,,0,3,3,3,0,0,2,3,7,2.4,-5
9,10,2018,26,24.36,1,30,4,7,.571,1,1,1.000,2,2,1.000,0,1,1,1,0,0,1,3,11,6.5,-3
10,11,2018,26,9.96,1,22,3,7,.429,2,3,.667,3,3,1.000,0,5,5,4,0,0,1,3,11,9.4,-2
11,12,2018,26,66.51,1,28,7,15,.467,2,4,.500,4,4,1.000,0,2,2,2,0,0,0,1,20,13.9,+4
12,13,2018,26,56.56,1,28,7,12,.583,2,3,.667,0,0,,0,2,2,2,0,0,1,4,16,9.8,0
13,14,2018,26,69.91,1,16,2,5,.400,0,1,.000,6,6,1.000,0,2,2,2,0,0,1,3,10,7.1,-11
14,15,2018,26,33.26,1,29,4,10,.400,2,4,.500,2,3,.667,1,0,1,3,2,0,2,3,12,7.8,-11
15,16,2018,26,40.71,1,34,4,11,.364,0,2,.000,1,1,1.000,0,4,4,1,1,1,0,4,9,4.9,-4
16,17,2018,26,33.18,1,39,10,20,.500,5,7,.714,0,0,,2,2,4,1,0,0,0,2,25,16.9,+7
17,18,2018,26,56.16,1,25,3,7,.429,2,4,.500,1,1,1.000,0,0,0,1,0,0,1,2,9,4.2,+15
18,19,2018,26,63.2,1,35,8,16,.500,2,7,.286,2,3,.667,1,1,2,3,1,0,3,2,20,11.9,+2
19,20,2018,26,9.96,1,35,5,12,.417,1,4,.250,1,2,.500,1,2,3,4,1,0,0,3,12,9.1,-2
20,21,2018,26,18.05,1,21,3,6,.500,1,2,.500,3,3,1.000,0,1,1,2,1,0,4,3,10,4.5,-30
21,22,2018,26,23.72,1,41,4,10,.400,1,2,.500,4,5,.800,0,3,3,2,2,0,1,2,13,9.7,-21
22,23,2018,26,39.57,1,33,2,8,.250,0,3,.000,5,5,1.000,0,2,2,2,1,0,2,4,9,3.6,-3
23,24,2018,26,41.19,1,30,6,16,.375,2,9,.222,1,1,1.000,0,0,0,1,1,0,2,2,15,5.1,+1
24,25,2018,26,45.48,1,14,1,3,.333,0,2,.000,2,2,1.000,0,0,0,1,0,0,0,2,4,2.2,-9
25,26,2018,26,0.01,1,20,1,7,.143,1,3,.333,0,0,,0,4,4,2,1,1,1,1,3,1.4,-14
26,27,2018,26,68.29,1,22,9,14,.643,2,4,.500,3,3,1.000,0,5,5,0,0,0,0,1,23,17.9,-8
27,28,2018,26,0.01,1,28,7,14,.500,3,7,.429,2,2,1.000,1,2,3,3,0,0,0,3,19,14.2,-17
28,29,2018,26,33.18,1,27,5,9,.556,2,5,.400,1,2,.500,0,2,2,4,1,0,0,2,13,11.9,-22
29,30,2018,26,7.78,1,35,5,12,.417,1,5,.200,6,8,.750,2,4,6,2,2,0,0,4,17,14.2,-12
30,31,2018,26,56.56,1,35,5,11,.455,1,3,.333,1,1,1.000,0,1,1,1,2,0,1,0,12,8.3,-10
31,32,2018,26,23.72,1,17,2,4,.500,0,1,.000,2,2,1.000,0,0,0,2,1,0,0,0,6,6.4,-7
32,33,2019,26,23.8,1,26,5,7,.714,3,4,.750,0,0,,0,2,2,1,2,1,1,1,13,12.7,-21
33,34,2019,26,6.48,1,25,3,6,.500,2,2,1.000,4,4,1.000,0,5,5,0,1,0,2,2,12,8.7,-11
34,35,2019,26,56.16,1,18,2,7,.286,0,2,.000,2,2,1.000,0,2,2,2,0,0,1,2,6,2.1,-10
35,36,2019,26,40.71,1,24,6,14,.429,1,5,.200,5,5,1.000,1,2,3,3,1,0,2,1,18,12.6,+9
36,37,2019,26,42.73,1,24,7,15,.467,0,2,.000,6,6,1.000,2,2,4,2,0,0,0,1,20,15.3,-16
37,38,2019,26,6.48,1,16,1,6,.167,0,2,.000,2,2,1.000,0,1,1,1,1,0,2,1,4,-0.2,-13
38,39,2019,26,33.99,1,26,5,9,.556,2,5,.400,6,6,1.000,0,0,0,3,2,0,1,1,18,16.4,-4
39,40,2019,26,66.51,1,26,1,8,.125,0,2,.000,2,2,1.000,1,1,2,2,0,1,0,2,4,1.1,-13
40,41,2019,26,18.05,1,23,1,9,.111,1,3,.333,0,0,,1,3,4,2,0,0,0,3,3,-1.1,-12
41,42,2019,26,23.8,1,29,4,9,.444,2,6,.333,0,0,,0,3,3,4,0,0,0,3,10,7.8,+2
42,43,2019,26,66.51,1,30,5,13,.385,2,5,.400,2,2,1.000,0,1,1,2,2,0,0,2,14,9.8,-2
43,44,2019,26,69.91,1,29,3,7,.429,1,3,.333,0,0,,1,3,4,3,1,0,0,4,7,6.4,-7
44,45,2019,26,45.96,1,30,1,6,.167,1,2,.500,3,4,.750,0,3,3,1,1,0,0,1,6,4.0,-4
45,46,2019,26,50.25,0,25,6,7,.857,2,3,.667,0,0,,0,3,3,0,1,0,0,0,14,13.4,+5
46,47,2019,26,45.96,0,24,3,7,.429,2,5,.400,0,0,,0,1,1,1,1,0,0,4,8,4.7,+13
47,48,2019,26,9.96,0,16,4,5,.800,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,9,6.7,-21
48,49,2019,26,41.19,0,25,3,5,.600,1,3,.333,1,1,1.000,0,1,1,1,1,0,0,2,8,6.9,+25
49,50,2019,26,39.57,0,19,2,9,.222,0,3,.000,0,0,,0,1,1,1,1,1,1,2,4,-0.6,-18
50,51,2019,26,33.18,0,22,3,8,.375,1,3,.333,0,0,,0,1,1,2,1,0,0,2,7,4.5,-1
51,52,2019,26,100.01,0,18,1,4,.250,0,0,,0,2,.000,1,2,3,1,1,1,0,1,2,2.1,-2
52,53,2019,26,18.05,0,19,0,5,.000,0,4,.000,0,0,,0,1,1,0,0,0,1,0,0,-4.2,-7
53,54,2019,26,23.72,0,21,1,6,.167,0,2,.000,1,2,.500,1,2,3,0,0,0,1,3,3,-2.1,+6
54,55,2019,26,56.56,0,24,9,14,.643,3,6,.500,6,6,1.000,0,1,1,2,2,0,0,1,27,24.1,-2
55,56,2019,26,25.25,0,19,1,5,.200,1,1,1.000,2,2,1.000,0,0,0,1,2,0,2,2,5,1.8,-7
56,57,2019,26,9.96,0,31,3,8,.375,2,6,.333,2,2,1.000,0,2,2,1,1,0,0,1,10,7.5,-16
57,58,2019,26,74.04,0,8,1,1,1.000,0,0,,2,2,1.000,0,1,1,0,0,0,1,2,4,2.2,+5
58,59,2019,26,57.78,1,28,5,7,.714,2,2,1.000,5,5,1.000,1,1,2,0,0,0,1,2,17,13.3,+17
59,60,2019,26,50.25,0,24,4,12,.333,3,7,.429,2,4,.500,0,3,3,0,0,0,0,2,13,5.5,-7
