,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2018,23,52.19,1,33,6,13,.462,1,4,.250,8,10,.800,2,6,8,5,1,2,2,4,21,19.0,+8
1,2,2018,23,74.04,1,30,11,11,1.000,3,3,1.000,10,11,.909,0,11,11,11,4,1,0,3,35,45.8,+29
2,3,2018,23,41.19,1,32,7,14,.500,0,1,.000,9,12,.750,3,8,11,6,0,0,2,2,23,20.7,-4
3,4,2018,23,45.48,1,23,6,11,.545,1,2,.500,1,1,1.000,2,10,12,6,1,0,3,4,14,13.7,+18
4,5,2018,23,40.71,1,32,9,17,.529,1,5,.200,5,5,1.000,3,8,11,3,1,1,6,5,24,16.0,-5
5,6,2018,23,57.78,1,28,3,8,.375,2,4,.500,4,4,1.000,1,8,9,10,0,2,0,4,12,17.5,+5
6,7,2018,23,66.51,1,32,9,20,.450,3,6,.500,1,1,1.000,5,7,12,9,2,3,6,2,22,20.8,+4
7,8,2018,23,100.01,1,22,2,5,.400,0,1,.000,0,0,,1,5,6,3,1,1,2,2,4,4.5,+9
8,9,2018,23,6.48,1,28,3,9,.333,0,3,.000,1,2,.500,3,7,10,16,1,0,4,2,7,13.1,+8
9,10,2018,23,18.05,1,27,2,3,.667,0,0,,4,6,.667,2,8,10,8,0,0,3,4,8,10.7,-4
10,11,2018,23,25.25,1,25,0,1,.000,0,1,.000,4,4,1.000,1,6,7,4,3,0,6,5,4,3.6,0
11,12,2018,23,39.57,1,33,14,22,.636,1,1,1.000,8,10,.800,7,14,21,3,1,2,6,5,37,32.0,+5
12,13,2018,23,0.01,1,29,7,14,.500,4,8,.500,2,2,1.000,1,5,6,6,1,1,3,1,20,17.7,-17
13,14,2018,23,56.16,1,32,6,14,.429,0,1,.000,2,3,.667,4,8,12,7,2,0,3,3,14,14.1,-14
14,15,2018,23,68.05,1,25,5,11,.455,1,2,.500,1,2,.500,1,8,9,7,4,1,2,3,12,15.4,+37
15,16,2018,23,57.78,1,34,10,20,.500,2,8,.250,3,4,.750,3,7,10,8,1,0,1,2,25,23.6,-11
16,17,2018,23,0.01,1,32,8,18,.444,3,8,.375,1,1,1.000,3,2,5,5,1,0,3,1,20,14.4,-16
17,18,2018,23,63.2,1,36,3,13,.231,1,5,.200,0,0,,2,10,12,10,1,0,3,4,7,6.9,+4
18,19,2018,23,24.36,1,22,2,7,.286,0,3,.000,2,2,1.000,3,7,10,11,2,0,0,4,6,14.2,+7
