,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2018,26,25.25,0,24,5,9,.556,1,5,.200,1,2,.500,0,1,1,1,1,0,0,2,12,8.5,+20
1,2,2018,26,0.01,0,20,5,8,.625,4,6,.667,0,0,,0,0,0,1,1,0,0,2,14,11.3,+7
2,3,2018,26,39.57,0,25,4,5,.800,4,5,.800,0,0,,0,3,3,1,0,0,0,1,12,11.3,+19
3,4,2018,26,63.2,0,16,0,2,.000,0,2,.000,0,0,,0,3,3,0,0,0,0,4,0,-2.1,-11
4,5,2018,26,50.25,0,12,4,7,.571,1,3,.333,1,1,1.000,0,1,1,3,0,0,0,3,10,7.9,-2
5,6,2018,26,100.01,0,17,1,2,.500,0,1,.000,4,4,1.000,0,0,0,2,0,0,1,2,6,4.6,-5
6,7,2018,26,42.73,0,10,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,3,0,-2.6,-14
7,8,2018,26,68.29,0,12,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,1.6,-2
8,9,2018,26,66.51,0,14,2,4,.500,2,4,.500,0,0,,0,0,0,2,1,0,0,0,6,6.4,-4
9,10,2018,26,18.05,0,11,0,2,.000,0,1,.000,0,0,,0,2,2,0,1,0,0,1,0,-0.2,+4
10,11,2018,26,56.16,0,12,1,4,.250,1,4,.250,1,1,1.000,1,1,2,0,0,0,2,1,4,0.2,0
11,12,2018,26,33.18,0,11,0,2,.000,0,1,.000,0,1,.000,1,1,2,0,0,0,0,1,0,-1.2,+1
12,13,2018,26,23.8,0,15,1,1,1.000,1,1,1.000,0,0,,1,1,2,0,1,0,1,1,3,3.3,-7
13,14,2018,26,56.16,0,8,1,2,.500,1,2,.500,1,1,1.000,0,0,0,0,1,0,0,0,4,4.0,+4
14,15,2018,26,23.8,0,18,1,3,.333,1,3,.333,0,0,,0,0,0,1,0,0,2,2,3,-0.8,+21
15,16,2018,26,68.05,0,25,2,8,.250,0,4,.000,0,0,,0,1,1,1,1,0,0,1,4,0.8,+5
16,17,2018,26,6.48,0,20,4,6,.667,0,2,.000,4,4,1.000,0,0,0,1,0,0,0,2,12,9.3,+10
17,18,2018,26,56.56,0,26,5,8,.625,3,5,.600,2,3,.667,0,1,1,1,1,2,0,0,15,14.4,-3
18,19,2018,26,50.25,0,14,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+5
19,20,2018,26,6.48,0,22,8,13,.615,2,3,.667,3,3,1.000,1,5,6,2,0,0,0,2,21,17.9,+14
20,21,2018,26,74.04,0,24,7,12,.583,5,7,.714,2,2,1.000,1,1,2,1,0,0,0,1,21,16.7,+2
21,22,2018,26,40.71,0,18,3,5,.600,2,3,.667,2,2,1.000,0,2,2,0,0,1,0,3,10,7.8,+10
22,23,2018,26,45.48,0,22,5,8,.625,2,4,.500,2,3,.667,0,1,1,1,0,0,0,4,14,9.4,-12
23,24,2018,26,66.51,0,17,1,5,.200,0,3,.000,0,0,,0,1,1,2,0,0,1,0,2,-0.4,-4
24,25,2018,26,24.36,0,13,2,4,.500,1,2,.500,2,2,1.000,0,3,3,1,0,0,1,2,7,4.8,+10
25,26,2018,26,45.48,0,19,4,10,.400,2,6,.333,0,0,,1,2,3,1,0,0,1,0,10,5.6,+9
26,27,2018,26,69.91,0,12,1,3,.333,0,2,.000,1,1,1.000,0,0,0,1,0,0,3,3,3,-2.2,-15
27,28,2018,26,0.01,0,18,5,5,1.000,2,2,1.000,0,0,,0,4,4,0,0,0,0,0,12,11.7,+7
28,29,2018,26,33.18,0,16,0,3,.000,0,3,.000,2,2,1.000,0,1,1,1,0,0,0,1,2,0.5,+6
29,30,2018,26,68.29,0,21,3,6,.500,3,5,.600,0,0,,0,0,0,1,0,1,1,1,9,6.0,+4
30,31,2018,26,100.01,0,21,4,9,.444,2,4,.500,2,3,.667,0,0,0,0,1,0,1,1,12,6.5,-10
31,32,2018,26,23.72,0,18,3,5,.600,2,3,.667,0,0,,0,1,1,0,0,0,0,2,8,5.2,-6
32,33,2018,26,39.57,0,20,1,3,.333,0,1,.000,0,0,,0,2,2,1,0,0,0,2,2,0.8,+1
33,34,2018,26,69.91,0,21,1,4,.250,0,2,.000,0,0,,1,1,2,0,1,0,2,3,2,-1.6,+9
34,35,2018,26,68.05,0,13,1,4,.250,0,2,.000,0,0,,0,1,1,1,0,0,0,0,2,0.6,-7
35,36,2018,26,33.26,0,22,5,8,.625,1,2,.500,1,2,.500,0,3,3,0,0,0,0,1,12,8.5,+25
36,37,2018,26,68.05,0,14,1,7,.143,1,4,.250,0,0,,0,0,0,2,0,0,1,1,3,-1.5,-4
37,38,2019,27,66.51,0,16,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,1,0,1,5,4.3,+11
38,39,2019,27,23.72,0,17,1,1,1.000,0,0,,0,0,,0,0,0,3,0,0,2,3,2,0.6,-6
39,40,2019,27,100.01,0,14,2,3,.667,1,2,.500,2,2,1.000,0,1,1,2,0,0,1,1,7,6.0,-1
40,41,2019,27,18.05,0,16,1,5,.200,1,2,.500,1,1,1.000,0,2,2,0,1,0,0,1,4,2.1,-1
41,42,2019,27,68.29,0,18,4,7,.571,2,3,.667,2,2,1.000,0,0,0,0,0,0,1,0,12,7.7,-2
42,43,2019,27,74.04,0,18,1,5,.200,0,2,.000,0,0,,0,2,2,1,0,0,1,2,2,-1.6,+11
43,44,2019,27,33.18,0,11,1,4,.250,0,3,.000,0,0,,1,0,1,0,0,0,1,1,2,-1.1,0
44,45,2019,27,45.96,0,15,3,4,.750,1,2,.500,2,2,1.000,0,0,0,0,0,0,2,2,9,4.6,+2
45,46,2019,27,56.56,0,15,2,5,.400,0,2,.000,3,3,1.000,1,2,3,4,0,1,0,1,7,8.7,+6
46,47,2019,27,23.72,0,19,3,7,.429,1,4,.250,0,0,,0,0,0,2,0,0,1,1,7,3.3,-2
47,48,2019,27,25.25,0,15,1,3,.333,1,2,.500,1,1,1.000,0,1,1,0,0,0,2,1,4,0.2,+1
48,49,2019,27,41.19,0,18,2,7,.286,1,3,.333,1,1,1.000,1,5,6,0,0,0,0,1,6,3.7,0
49,50,2019,27,69.91,0,21,4,10,.400,3,7,.429,1,2,.500,0,0,0,0,0,0,0,0,12,6.2,-9
50,51,2019,27,24.36,0,15,2,5,.400,0,2,.000,1,1,1.000,0,1,1,1,0,0,0,0,5,3.3,-7
51,52,2019,27,56.56,0,10,2,3,.667,0,1,.000,2,2,1.000,0,0,0,1,0,0,0,1,6,5.0,+17
52,53,2019,27,0.01,0,15,2,5,.400,1,2,.500,0,0,,0,3,3,1,0,0,0,1,5,3.5,-1
53,54,2019,27,57.78,0,19,2,5,.400,2,3,.667,3,5,.600,1,2,3,2,0,0,0,0,9,8.2,+18
54,55,2019,27,69.91,0,13,4,7,.571,4,5,.800,0,0,,0,1,1,1,1,0,0,3,12,9.5,+5
55,56,2019,27,33.26,0,14,1,3,.333,1,3,.333,2,2,1.000,0,1,1,3,1,0,0,0,5,6.7,-5
56,57,2019,27,45.96,0,18,3,6,.500,0,2,.000,1,2,.500,0,1,1,2,0,1,1,1,7,4.6,+8
57,58,2019,27,63.2,0,15,2,3,.667,2,2,1.000,3,3,1.000,0,3,3,1,0,0,2,0,9,7.3,-4
58,59,2019,27,24.36,0,12,3,4,.750,0,1,.000,0,0,,0,1,1,0,0,0,0,2,6,3.9,-4
59,60,2019,27,66.51,0,12,1,2,.500,0,0,,2,2,1.000,1,1,2,1,1,0,1,3,4,3.5,0
60,61,2019,27,0.01,0,15,3,6,.500,1,3,.333,0,0,,0,1,1,0,0,0,1,1,7,2.9,-7
61,62,2019,27,33.18,0,14,4,6,.667,1,1,1.000,1,1,1.000,0,1,1,0,0,0,1,0,10,6.7,+2
62,63,2019,27,68.29,0,14,4,6,.667,0,2,.000,0,1,.000,1,2,3,0,1,0,0,3,8,6.1,+4
63,64,2019,27,9.96,0,13,1,3,.333,0,0,,0,0,,0,2,2,1,0,0,0,1,2,1.2,-7
64,65,2019,27,33.99,0,13,2,4,.500,1,3,.333,0,0,,0,0,0,0,0,0,0,0,5,3.0,+8
