,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2018,23,68.05,0,16,5,5,1.000,0,0,,2,4,.500,5,5,10,3,0,0,0,1,12,16.4,+22
1,2,2018,23,39.57,0,11,0,2,.000,0,0,,2,2,1.000,1,5,6,0,0,1,0,3,2,2.3,+1
2,3,2018,23,18.05,0,21,2,3,.667,0,0,,3,6,.500,3,10,13,3,0,0,1,2,7,9.9,+7
3,4,2018,23,0.01,0,18,3,5,.600,0,0,,5,6,.833,3,2,5,1,0,2,1,1,11,11.7,-8
4,5,2018,23,23.8,0,17,3,8,.375,0,1,.000,0,0,,2,7,9,0,1,0,0,1,6,5.7,-3
5,6,2018,23,41.19,1,22,2,4,.500,1,1,1.000,2,2,1.000,1,4,5,4,2,1,1,3,7,10.2,-6
6,7,2018,23,39.57,1,28,3,6,.500,0,1,.000,2,2,1.000,3,7,10,2,1,1,1,4,8,9.7,+17
7,8,2018,23,7.78,1,32,4,6,.667,1,2,.500,5,6,.833,2,8,10,4,2,3,5,3,14,15.5,-4
8,9,2018,23,45.96,1,10,2,4,.500,0,2,.000,0,1,.000,1,2,3,0,0,0,1,5,4,-0.1,+4
9,10,2018,23,69.91,1,10,1,2,.500,0,1,.000,0,0,,0,4,4,1,0,0,1,4,2,0.3,-13
10,11,2018,23,66.51,1,34,3,10,.300,1,2,.500,3,4,.750,5,6,11,1,1,2,4,3,10,7.0,-4
11,12,2018,23,68.05,1,38,4,10,.400,2,5,.400,1,2,.500,3,10,13,2,2,1,1,5,11,11.4,+16
12,13,2018,23,23.72,1,25,1,3,.333,0,0,,4,4,1.000,1,7,8,2,0,0,1,1,6,7.1,-6
13,14,2018,23,24.36,1,22,2,6,.333,0,1,.000,0,0,,1,8,9,0,0,1,3,1,4,1.0,-16
14,15,2018,23,9.96,1,20,3,7,.429,0,1,.000,3,3,1.000,2,2,4,0,0,0,0,0,9,7.3,-20
15,16,2018,23,57.78,0,27,2,5,.400,0,2,.000,0,0,,0,6,6,2,0,1,1,4,4,2.6,0
16,17,2018,23,24.36,0,34,2,5,.400,1,1,1.000,2,2,1.000,2,7,9,1,0,1,2,4,7,5.6,-5
17,18,2018,23,42.73,1,36,4,8,.500,2,5,.400,4,8,.500,2,12,14,2,3,1,0,1,14,18.1,-3
18,19,2018,23,18.05,1,30,6,9,.667,2,2,1.000,2,2,1.000,2,8,10,3,0,3,0,1,16,19.7,+5
19,20,2018,23,57.78,1,36,5,10,.500,4,7,.571,0,0,,3,8,11,5,3,2,2,3,14,18.2,+18
20,21,2018,23,25.25,1,30,2,4,.500,1,2,.500,2,2,1.000,0,6,6,2,0,1,0,4,7,7.3,+17
21,22,2018,23,33.26,1,19,2,4,.500,1,2,.500,1,2,.500,1,6,7,1,0,3,1,6,6,5.5,-2
22,23,2018,23,33.18,1,17,2,6,.333,0,1,.000,0,0,,2,5,7,1,0,0,0,4,4,2.6,-13
23,24,2018,23,0.01,1,35,6,6,1.000,3,3,1.000,0,0,,0,5,5,1,1,0,2,6,15,12.0,-4
24,25,2018,23,69.91,1,31,5,10,.500,1,2,.500,0,0,,3,5,8,1,0,1,4,1,11,6.6,+9
25,26,2018,23,18.05,1,34,4,5,.800,1,1,1.000,3,4,.750,2,8,10,3,2,0,1,0,12,16.6,-13
26,27,2018,23,39.57,1,20,1,3,.333,0,2,.000,2,2,1.000,0,3,3,4,3,0,2,2,4,6.2,-7
27,28,2018,23,56.56,1,29,1,5,.200,1,3,.333,0,0,,0,10,10,9,0,0,2,3,3,6.0,-23
28,29,2018,23,100.01,1,24,3,5,.600,1,1,1.000,0,1,.000,1,4,5,2,0,2,2,2,7,6.2,+3
29,30,2018,23,56.56,1,41,5,13,.385,2,8,.250,3,6,.500,0,11,11,7,0,1,1,2,15,13.8,+8
30,31,2018,23,7.78,1,31,3,10,.300,1,5,.200,0,0,,5,7,12,3,1,0,0,0,7,9.9,-4
31,32,2018,23,74.04,1,16,1,4,.250,0,1,.000,1,2,.500,4,3,7,0,1,0,3,3,3,0.7,-18
32,33,2018,23,33.18,1,35,3,7,.429,0,1,.000,0,0,,2,8,10,5,0,2,1,3,6,8.8,-17
33,34,2018,23,68.05,1,36,5,13,.385,0,3,.000,1,2,.500,1,9,10,2,1,1,1,2,11,8.2,-11
34,35,2018,23,0.01,1,33,4,8,.500,1,2,.500,5,6,.833,2,12,14,0,0,2,0,5,14,14.0,-1
35,36,2018,23,0.01,1,34,5,10,.500,2,3,.667,3,3,1.000,3,10,13,2,0,3,4,2,15,13.8,+2
36,37,2018,23,6.48,1,23,3,5,.600,2,2,1.000,5,6,.833,0,9,9,0,3,0,1,4,13,13.4,+11
37,38,2019,23,33.99,1,34,2,8,.250,0,2,.000,1,1,1.000,6,8,14,3,0,1,1,5,5,6.6,-15
38,39,2019,23,40.71,1,17,2,6,.333,1,3,.333,2,2,1.000,5,5,10,1,4,0,0,4,7,11.7,+12
39,40,2019,23,42.73,1,28,5,13,.385,3,5,.600,3,4,.750,4,10,14,2,0,0,1,2,16,13.9,-11
40,41,2019,23,41.19,1,18,1,2,.500,0,0,,3,3,1.000,0,4,4,3,2,0,3,2,5,5.5,-28
41,42,2019,23,7.78,1,19,5,6,.833,2,3,.667,0,0,,1,2,3,0,2,1,4,5,12,7.8,-13
42,43,2019,23,33.18,1,18,0,3,.000,0,1,.000,3,6,.500,2,0,2,1,0,2,0,5,3,1.2,-32
43,44,2019,23,69.91,1,24,6,11,.545,0,1,.000,1,2,.500,1,9,10,1,0,0,0,0,13,11.4,+6
44,45,2019,23,9.96,1,32,3,6,.500,0,1,.000,4,7,.571,0,5,5,1,1,0,2,1,10,6.6,-17
45,46,2019,23,56.16,1,30,4,7,.571,0,0,,2,4,.500,3,7,10,2,1,2,2,1,10,11.5,-16
46,47,2019,23,39.57,1,32,9,18,.500,3,11,.273,1,2,.500,0,13,13,3,0,2,0,5,22,18.0,-3
47,48,2019,23,23.8,1,25,1,5,.200,0,2,.000,0,0,,0,9,9,1,1,0,3,3,2,-0.9,-11
48,49,2019,23,56.56,1,35,2,7,.286,0,3,.000,1,2,.500,0,12,12,2,0,1,1,3,5,4.0,+7
49,50,2019,23,45.96,1,14,1,3,.333,0,0,,0,0,,2,3,5,1,1,0,1,0,2,3.3,-11
50,51,2019,23,18.05,1,30,2,9,.222,0,3,.000,3,3,1.000,3,8,11,7,0,0,2,1,7,8.5,-7
