,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2015,21,77.21,1,24,4,7,.571,0,0,,1,2,.500,6,1,7,0,2,3,1,2,9,12.1,-16
1,2,2015,21,37.13,0,17,3,4,.750,0,0,,1,1,1.000,1,7,8,1,0,2,2,2,7,7.5,-1
2,3,2015,21,45.07,1,14,5,5,1.000,0,0,,0,0,,1,4,5,0,0,1,1,2,10,9.3,+4
3,4,2015,21,51.92,0,10,2,2,1.000,0,0,,0,0,,0,1,1,0,1,1,1,4,4,2.8,+7
4,5,2015,21,61.64,0,18,4,5,.800,0,0,,0,0,,3,2,5,1,1,1,0,1,8,10.8,+8
5,6,2015,21,74.1,1,26,6,8,.750,0,0,,1,3,.333,2,10,12,2,0,4,2,5,13,13.6,+19
6,7,2015,21,39.08,0,18,3,3,1.000,0,0,,3,4,.750,2,6,8,0,0,1,0,4,9,10.0,0
7,8,2015,21,93.78,0,10,4,5,.800,0,0,,0,0,,1,1,2,0,0,2,1,2,8,6.7,-1
8,9,2015,21,77.21,0,13,1,2,.500,0,0,,2,4,.500,0,3,3,0,1,0,0,0,4,4.1,+1
9,10,2015,21,61.72,1,23,2,3,.667,0,0,,3,6,.500,4,6,10,1,1,0,0,1,7,10.4,-8
10,11,2015,21,35.42,0,18,2,4,.500,0,0,,1,4,.250,4,3,7,1,1,2,0,0,5,8.6,-5
11,12,2015,21,70.98,0,12,2,5,.400,0,0,,0,0,,2,2,4,0,1,1,0,1,4,4.6,+7
12,13,2015,21,71.14,0,12,0,0,,0,0,,1,2,.500,1,6,7,0,0,1,0,0,1,3.8,-2
13,14,2015,21,69.12,1,30,7,9,.778,0,0,,2,5,.400,6,8,14,1,1,0,2,6,16,15.2,+11
14,15,2015,21,71.14,0,8,3,4,.750,0,0,,0,0,,1,1,2,1,2,3,0,2,6,9.4,+3
15,16,2015,21,82.5,1,24,6,13,.462,0,0,,1,2,.500,2,8,10,0,0,2,2,1,13,8.7,+15
16,17,2015,21,69.12,1,36,7,11,.636,0,0,,4,8,.500,5,6,11,0,3,1,1,2,18,18.7,+2
17,18,2015,21,51.68,1,22,5,11,.455,0,0,,1,2,.500,5,0,5,1,4,0,2,3,11,9.9,-15
18,19,2015,21,82.66,1,15,2,5,.400,0,0,,2,3,.667,1,3,4,0,0,0,0,4,6,2.9,+5
19,20,2015,21,61.72,1,28,0,5,.000,0,0,,2,4,.500,5,5,10,2,1,2,1,3,2,4.3,-12
20,21,2015,21,74.1,1,20,4,6,.667,0,0,,0,0,,0,3,3,2,2,0,0,2,8,8.9,-9
21,22,2015,21,93.78,1,26,3,8,.375,0,0,,0,2,.000,3,6,9,0,0,0,3,2,6,0.9,-13
22,23,2015,21,53.94,1,21,5,7,.714,0,0,,0,3,.000,3,2,5,2,1,0,0,0,10,11.0,-3
23,24,2015,21,100.01,1,24,5,8,.625,0,0,,1,4,.250,4,6,10,1,2,1,2,3,11,11.0,+10
24,25,2015,21,74.1,0,13,2,3,.667,0,0,,0,0,,3,6,9,0,1,1,2,5,4,4.3,+7
25,26,2015,21,100.01,1,28,4,6,.667,0,0,,2,4,.500,7,5,12,1,2,4,1,1,10,17.1,+19
26,27,2015,21,39.08,1,21,2,5,.400,0,0,,3,8,.375,5,5,10,1,1,2,2,1,7,8.0,+11
27,28,2015,21,42.5,1,19,1,3,.333,0,0,,1,2,.500,2,6,8,0,0,0,1,5,3,1.1,-1
28,29,2015,21,61.64,1,19,5,5,1.000,0,0,,0,2,.000,2,3,5,1,0,1,1,2,10,9.6,-7
29,30,2015,21,0.01,1,31,2,6,.333,0,0,,2,4,.500,4,1,5,1,0,1,3,1,6,2.9,+2
30,31,2015,21,82.66,1,28,1,4,.250,0,0,,0,0,,3,4,7,4,1,2,0,4,2,6.5,-9
31,32,2015,21,19.08,1,29,6,9,.667,0,0,,5,9,.556,2,8,10,2,2,1,2,4,17,15.8,+4
32,33,2015,21,37.13,1,23,2,4,.500,0,0,,1,2,.500,1,5,6,0,0,1,1,3,5,3.3,-5
33,34,2016,21,0.01,1,25,4,6,.667,0,0,,0,0,,1,6,7,0,1,4,0,2,8,10.9,-1
34,35,2016,21,40.71,1,20,1,2,.500,0,0,,0,0,,1,4,5,1,0,0,1,3,2,1.4,+12
35,36,2016,21,40.71,1,30,2,6,.333,0,0,,3,6,.500,6,4,10,0,3,0,1,3,7,8.6,+3
36,37,2016,21,30.83,1,19,1,2,.500,0,0,,0,0,,2,4,6,2,3,2,5,3,2,3.2,-8
37,38,2016,21,71.14,1,26,0,4,.000,0,0,,1,2,.500,3,4,7,1,1,1,1,2,1,1.7,+4
38,39,2016,21,89.27,1,26,3,4,.750,0,0,,1,2,.500,2,5,7,2,0,1,1,2,7,8.2,-4
39,40,2016,21,44.91,1,14,3,7,.429,0,0,,1,4,.250,2,2,4,0,0,1,1,1,7,3.4,0
40,41,2016,21,100.01,1,23,6,8,.750,0,0,,2,2,1.000,5,6,11,0,1,0,1,4,14,14.5,+8
41,42,2016,21,39.08,1,16,3,7,.429,0,0,,1,4,.250,0,3,3,0,0,1,0,3,7,2.5,-6
42,43,2016,21,51.68,1,28,5,14,.357,0,0,,0,0,,5,8,13,0,1,1,1,4,10,7.2,-18
43,44,2016,21,78.61,1,23,3,3,1.000,0,0,,0,2,.000,4,5,9,2,1,2,1,6,6,9.0,+8
44,45,2016,21,61.72,1,24,4,7,.571,0,0,,0,3,.000,1,4,5,2,0,0,0,4,8,5.2,+7
45,46,2016,21,82.66,1,15,4,5,.800,0,0,,2,3,.667,1,4,5,0,0,0,0,2,10,8.8,+24
46,47,2016,21,0.01,0,14,1,4,.250,0,0,,3,10,.300,3,2,5,0,0,3,2,5,5,0.6,-18
47,48,2016,21,51.92,0,22,5,7,.714,0,0,,2,3,.667,0,3,3,0,0,1,0,5,12,8.3,+7
48,49,2016,21,53.94,0,17,0,3,.000,0,0,,1,8,.125,2,2,4,0,1,2,2,4,1,-3.1,-3
49,50,2016,21,79.78,0,15,5,5,1.000,0,0,,0,2,.000,2,2,4,0,0,2,1,4,10,8.5,+4
50,51,2016,21,70.98,0,14,0,0,,0,0,,0,0,,2,4,6,0,0,2,0,3,0,2.8,+2
51,52,2016,21,37.13,0,13,2,4,.500,0,0,,0,0,,3,3,6,1,0,1,1,2,4,4.6,-9
52,53,2016,21,70.98,0,16,0,1,.000,0,0,,1,6,.167,2,8,10,0,0,0,0,2,1,1.3,+1
53,54,2016,21,79.78,0,17,5,7,.714,0,0,,1,4,.250,1,6,7,0,0,1,1,5,11,7.1,-13
54,55,2016,21,40.71,0,12,1,3,.333,0,0,,0,0,,2,2,4,2,0,1,0,3,2,3.2,-3
55,56,2016,21,82.66,0,16,2,2,1.000,0,0,,0,2,.000,1,4,5,1,1,2,0,0,4,7.6,+12
56,57,2016,21,60.17,0,13,3,4,.750,0,0,,0,0,,2,3,5,0,0,0,0,2,6,5.9,+3
57,58,2016,21,51.45,0,10,1,2,.500,0,0,,3,8,.375,2,1,3,1,0,2,0,1,5,5.4,+11
58,59,2016,21,82.5,0,10,1,1,1.000,0,0,,1,2,.500,2,0,2,0,1,0,0,1,3,4.3,+3
59,60,2016,21,35.42,0,10,3,5,.600,0,0,,0,2,.000,1,0,1,0,0,1,0,2,6,3.5,0
60,61,2016,21,42.5,0,14,4,7,.571,0,0,,1,5,.200,3,1,4,1,0,1,0,0,9,7.9,-2
61,62,2016,21,71.14,0,24,3,7,.429,0,1,.000,4,9,.444,1,4,5,0,0,1,1,3,10,4.7,+18
62,63,2016,21,39.08,0,7,1,1,1.000,0,0,,1,2,.500,3,0,3,0,0,0,1,0,3,3.4,+3
63,64,2016,21,89.27,0,14,4,5,.800,0,0,,0,0,,1,2,3,0,1,1,0,0,8,9.1,-3
64,65,2016,21,19.08,0,9,2,5,.400,0,0,,1,2,.500,4,1,5,0,0,0,0,0,5,5.0,0
65,66,2016,21,51.92,0,9,2,3,.667,0,0,,1,2,.500,1,1,2,0,1,1,0,1,5,5.6,+1
66,67,2016,21,40.71,0,18,4,5,.800,0,0,,2,4,.500,1,4,5,0,2,2,0,3,10,11.4,+10
67,68,2016,21,51.45,0,15,3,7,.429,0,0,,2,8,.250,7,3,10,0,0,1,0,4,8,6.8,-5
68,69,2016,21,30.83,0,17,4,5,.800,0,0,,1,2,.500,3,4,7,1,1,0,0,5,9,9.7,+12
69,70,2016,21,44.91,0,16,4,7,.571,0,0,,1,2,.500,4,6,10,1,2,1,1,0,9,12.3,+1
70,71,2016,21,60.17,0,17,4,7,.571,0,0,,0,0,,2,3,5,0,2,0,0,3,8,7.8,-21
71,72,2016,21,51.92,0,23,4,8,.500,0,0,,1,1,1.000,3,3,6,0,2,4,0,6,9,10.4,+2
72,73,2016,21,61.72,0,12,1,2,.500,0,0,,0,0,,1,3,4,1,1,1,0,1,2,4.6,-1
73,74,2016,21,79.78,0,18,3,3,1.000,0,0,,1,4,.250,1,1,2,1,1,2,0,3,7,7.8,-4
74,75,2016,21,100.01,0,14,2,4,.500,0,0,,1,1,1.000,3,2,5,0,0,1,1,1,5,5.0,-3
75,76,2016,21,89.27,0,15,5,8,.625,0,0,,0,1,.000,2,8,10,0,1,1,1,2,10,9.7,+12
76,77,2016,21,74.1,0,22,3,5,.600,0,0,,0,3,.000,5,12,17,1,0,3,1,2,6,10.6,+25
77,1,2016,22,100.01,1,25,8,11,.727,0,0,,0,1,.000,3,6,9,0,0,1,1,2,16,13.9,+8
78,2,2016,22,53.97,1,25,2,5,.400,0,0,,0,0,,2,7,9,0,1,1,3,1,4,3.1,+15
79,3,2016,22,53.97,1,26,2,7,.286,0,0,,0,4,.000,1,9,10,1,1,2,0,2,4,4.0,-8
80,4,2016,22,71.18,1,18,3,5,.600,0,0,,2,3,.667,1,3,4,1,0,1,1,3,8,6.1,-11
81,5,2016,22,85.54,1,21,4,6,.667,0,0,,0,3,.000,5,1,6,1,1,1,1,3,8,8.2,+6
82,6,2016,22,24.19,1,21,6,7,.857,0,0,,0,0,,1,9,10,0,1,0,4,5,12,7.9,-8
83,7,2016,22,61.36,1,27,7,10,.700,0,0,,0,2,.000,2,4,6,0,1,4,2,3,14,12.2,+2
84,8,2016,22,0.01,1,17,5,8,.625,0,0,,2,4,.500,2,3,5,0,0,1,2,4,12,7.0,-9
85,9,2016,22,0.01,1,24,5,9,.556,0,0,,2,2,1.000,4,6,10,2,0,1,1,4,12,11.8,+3
86,10,2016,22,58.72,1,25,3,7,.429,0,0,,2,3,.667,3,10,13,1,0,5,0,0,8,13.2,+21
