,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2015,20,100.01,0,19,4,10,.400,0,2,.000,0,0,,1,2,3,3,1,0,0,0,8,7.0,-4
1,2,2015,20,77.21,0,17,3,6,.500,0,1,.000,4,4,1.000,0,4,4,3,0,0,4,3,10,5.1,-4
2,3,2015,20,70.98,0,16,3,7,.429,0,1,.000,4,4,1.000,0,0,0,5,0,0,2,1,10,7.4,-8
3,4,2015,20,45.07,0,20,1,5,.200,1,1,1.000,0,0,,0,2,2,3,0,0,3,3,3,-1.6,-4
4,5,2015,20,60.17,0,19,3,9,.333,1,3,.333,1,1,1.000,1,3,4,4,0,0,3,3,8,3.1,+7
5,6,2015,20,19.08,0,15,5,7,.714,1,1,1.000,2,2,1.000,1,2,3,6,3,0,1,2,13,16.8,+9
6,7,2015,20,42.5,1,36,9,19,.474,1,4,.250,1,2,.500,1,4,5,8,2,0,8,2,20,10.6,+13
7,8,2015,20,37.13,1,25,3,11,.273,0,2,.000,7,8,.875,1,1,2,1,1,0,2,2,13,6.0,-22
8,9,2015,20,30.83,1,40,11,22,.500,4,7,.571,0,0,,1,5,6,4,1,0,2,1,26,18.6,0
9,10,2015,20,71.14,1,17,8,15,.533,4,7,.571,5,6,.833,1,2,3,3,0,0,1,5,25,17.7,+2
10,11,2015,20,45.07,0,28,5,12,.417,2,5,.400,5,6,.833,0,4,4,3,1,0,0,0,17,14.5,+23
11,12,2015,20,61.64,0,29,6,12,.500,2,5,.400,0,0,,0,3,3,3,0,0,3,4,14,6.4,+2
12,13,2015,20,51.68,0,26,6,13,.462,2,5,.400,0,0,,1,2,3,2,0,1,2,2,14,7.9,-4
13,14,2015,20,82.5,0,24,4,12,.333,0,3,.000,4,4,1.000,0,5,5,0,0,0,3,2,12,2.9,-6
14,15,2015,20,19.08,0,26,7,13,.538,2,5,.400,2,2,1.000,1,4,5,6,0,0,2,4,18,14.2,+1
15,16,2015,20,74.1,1,29,7,14,.500,1,6,.167,4,4,1.000,1,7,8,4,0,0,2,2,19,14.8,-2
16,17,2015,20,39.08,1,32,6,15,.400,3,5,.600,3,3,1.000,0,3,3,7,0,0,1,5,18,12.7,0
17,18,2015,20,61.64,0,28,3,11,.273,0,5,.000,6,6,1.000,1,4,5,5,1,1,2,1,12,10.2,+3
18,19,2015,20,70.98,0,22,4,14,.286,2,5,.400,2,2,1.000,1,0,1,2,1,0,1,4,12,4.3,0
19,20,2015,20,39.08,0,25,7,16,.438,1,2,.500,6,6,1.000,0,3,3,2,1,0,2,2,21,13.1,-4
20,21,2015,20,100.01,0,19,2,8,.250,0,2,.000,0,2,.000,0,2,2,2,0,0,2,1,4,-2.0,-19
21,22,2015,20,77.21,0,24,4,11,.364,1,4,.250,3,4,.750,1,4,5,5,0,0,2,0,12,8.9,+3
22,23,2015,20,79.78,0,25,10,19,.526,3,4,.750,5,5,1.000,0,2,2,2,1,0,2,4,28,18.1,-2
23,24,2015,20,77.21,0,24,8,18,.444,1,3,.333,3,4,.750,1,3,4,5,1,1,2,1,20,14.6,-7
24,25,2015,20,69.12,0,29,9,20,.450,1,5,.200,0,0,,0,2,2,2,0,0,1,3,19,8.4,+3
25,26,2015,20,74.1,0,17,4,11,.364,0,4,.000,0,0,,1,1,2,0,0,0,4,2,8,-1.9,-5
