,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2015,20,82.5,1,16,1,5,.200,0,0,,0,0,,0,3,3,1,0,0,0,0,2,0.5,-8
1,2,2015,20,69.12,1,17,3,6,.500,0,0,,0,0,,0,1,1,1,0,0,1,1,6,2.6,+10
2,3,2015,20,93.78,1,24,4,7,.571,0,0,,0,1,.000,0,2,2,0,0,0,1,0,8,3.9,+1
3,4,2015,20,35.42,1,23,4,6,.667,0,0,,0,0,,3,5,8,1,2,0,0,1,8,11.3,+23
4,5,2015,20,44.91,1,30,5,10,.500,0,0,,2,2,1.000,0,3,3,1,0,0,1,2,12,6.8,-1
5,6,2015,20,44.91,1,30,6,10,.600,0,0,,2,2,1.000,1,2,3,1,0,1,1,3,14,9.9,-11
6,7,2015,20,30.83,1,21,4,8,.500,0,0,,2,2,1.000,3,1,4,1,2,1,2,1,10,9.4,-8
7,8,2015,20,51.68,1,27,5,10,.500,0,0,,2,3,.667,1,0,1,1,0,1,0,0,12,8.7,+10
8,9,2015,20,74.1,1,21,3,5,.600,0,0,,4,4,1.000,0,2,2,3,1,0,1,0,10,10.4,-7
9,10,2015,20,61.64,1,21,4,9,.444,0,1,.000,0,0,,1,2,3,1,0,0,0,1,8,4.9,-17
10,11,2015,20,42.5,0,17,4,10,.400,0,0,,2,2,1.000,2,5,7,0,0,0,1,3,10,5.3,-12
11,12,2015,20,77.21,0,25,6,13,.462,0,0,,4,4,1.000,0,4,4,1,2,2,0,1,16,14.2,+18
12,13,2015,20,0.01,0,26,1,7,.143,0,1,.000,5,6,.833,1,6,7,0,1,0,1,2,7,3.8,-11
13,14,2015,20,51.68,0,19,4,8,.500,0,0,,2,2,1.000,3,2,5,0,0,0,0,5,10,6.7,+2
14,15,2015,20,69.12,1,35,8,13,.615,0,0,,1,2,.500,2,5,7,2,2,1,2,2,17,14.9,+10
15,16,2015,20,70.98,1,32,4,8,.500,0,0,,4,5,.800,0,6,6,4,0,0,2,1,12,9.8,+3
16,17,2015,20,39.08,1,30,5,13,.385,0,0,,0,0,,2,3,5,0,1,0,0,2,10,5.4,-25
17,18,2015,20,51.45,1,24,4,12,.333,0,0,,2,2,1.000,1,5,6,1,0,0,2,3,10,2.9,-5
18,19,2015,20,37.13,1,28,9,14,.643,0,0,,1,3,.333,1,6,7,1,2,1,2,3,19,14.7,+10
19,20,2015,20,100.01,1,25,4,9,.444,0,1,.000,4,6,.667,3,1,4,3,0,0,0,0,12,11.0,-14
20,21,2015,20,39.08,1,24,6,11,.545,0,0,,2,2,1.000,1,1,2,1,1,1,0,3,14,10.9,-8
21,22,2015,20,37.13,1,30,6,13,.462,0,1,.000,2,3,.667,0,2,2,2,0,1,2,5,14,5.6,-2
22,23,2015,20,79.78,1,27,2,7,.286,0,0,,3,4,.750,2,4,6,1,1,0,0,2,7,6.0,+7
23,24,2015,20,82.5,1,30,8,10,.800,0,0,,0,0,,0,1,1,3,2,2,1,2,16,16.2,+14
24,25,2015,20,51.45,1,32,2,12,.167,0,0,,5,6,.833,3,1,4,2,0,0,2,2,9,2.0,-8
25,26,2015,20,61.72,1,18,2,7,.286,0,0,,2,2,1.000,2,2,4,0,0,0,1,1,6,2.5,-13
26,27,2015,20,51.92,1,17,2,11,.182,0,0,,1,2,.500,4,0,4,0,0,0,0,1,5,0.1,-4
27,28,2015,20,30.83,1,29,7,10,.700,0,0,,0,0,,1,2,3,1,1,0,0,2,14,12.0,+5
28,29,2016,20,89.27,1,35,4,7,.571,0,0,,4,4,1.000,1,5,6,1,0,0,1,4,12,9.0,-11
29,30,2016,20,0.01,1,31,5,14,.357,0,1,.000,4,4,1.000,4,4,8,3,0,1,0,1,14,12.6,-9
30,31,2016,20,60.17,1,34,5,12,.417,0,0,,1,2,.500,1,6,7,0,0,0,1,1,11,5.3,-21
31,32,2016,20,61.72,1,30,4,9,.444,0,0,,2,2,1.000,2,0,2,3,2,0,1,4,10,8.2,-3
32,33,2016,20,69.12,1,32,7,12,.583,0,0,,0,0,,4,2,6,1,2,1,0,3,14,14.0,-23
33,34,2016,20,60.17,1,27,8,14,.571,0,0,,0,2,.000,2,1,3,0,3,0,1,3,16,11.1,+7
34,35,2016,20,53.94,1,32,9,13,.692,0,0,,4,5,.800,2,4,6,1,1,0,3,2,22,16.6,-17
35,36,2016,20,19.08,1,37,5,15,.333,0,1,.000,0,0,,3,7,10,2,1,1,1,0,10,7.8,+12
36,37,2016,20,42.5,1,30,7,9,.778,0,0,,1,2,.500,1,1,2,4,1,0,3,0,15,12.9,+10
37,38,2016,20,45.07,1,35,4,7,.571,0,0,,1,2,.500,0,2,2,3,1,0,2,1,9,6.6,+16
