,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2018,23,50.25,1,37,8,18,.444,2,6,.333,2,2,1.000,0,6,6,3,1,0,2,3,20,12.3,0
1,2,2018,23,100.01,1,36,8,21,.381,1,5,.200,5,5,1.000,2,1,3,2,3,0,1,2,22,14.8,-1
2,3,2018,23,45.96,1,27,5,9,.556,2,4,.500,7,9,.778,0,3,3,2,1,0,3,6,19,11.8,+8
3,4,2018,23,7.78,1,8,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,1.0,+2
4,5,2018,23,6.48,1,37,8,17,.471,3,5,.600,0,1,.000,1,5,6,1,2,1,2,3,19,12.3,-9
5,6,2018,23,41.19,1,36,9,23,.391,4,9,.444,0,0,,0,4,4,0,2,1,1,2,22,11.6,-10
6,7,2018,23,42.73,1,30,6,16,.375,2,4,.500,3,4,.750,0,1,1,1,3,0,1,2,17,10.0,-29
7,8,2018,23,52.19,1,34,4,16,.250,2,7,.286,3,4,.750,0,6,6,2,1,2,2,3,13,5.4,-8
8,9,2018,23,40.71,1,40,8,14,.571,3,7,.429,0,0,,1,3,4,5,3,1,1,3,19,19.0,+6
9,10,2018,23,39.57,1,37,5,12,.417,2,3,.667,1,2,.500,1,5,6,3,1,1,2,2,13,9.4,+7
10,11,2018,23,57.78,1,38,8,22,.364,4,9,.444,3,5,.600,3,3,6,4,3,1,2,1,23,17.1,-5
11,12,2018,23,42.73,1,37,9,21,.429,3,8,.375,2,2,1.000,0,5,5,4,2,1,2,1,23,16.5,+17
12,13,2018,23,25.25,1,33,6,18,.333,1,4,.250,1,2,.500,0,2,2,4,0,0,4,4,14,1.2,-15
13,14,2018,23,33.99,1,30,6,15,.400,1,5,.200,0,0,,1,4,5,2,0,0,3,3,13,4.0,-6
14,15,2018,23,39.57,1,35,4,14,.286,1,4,.250,0,0,,1,1,2,2,1,0,0,2,9,3.4,+17
15,16,2018,23,66.51,1,28,0,12,.000,0,4,.000,0,0,,0,1,1,1,0,0,1,0,0,-8.4,0
16,17,2018,23,100.01,1,28,4,11,.364,1,4,.250,2,2,1.000,0,3,3,3,2,2,0,0,11,11.3,+1
17,18,2018,23,50.25,1,29,3,15,.200,1,5,.200,3,4,.750,2,1,3,1,2,0,2,3,10,1.5,+19
18,19,2018,23,18.05,1,32,5,12,.417,2,5,.400,5,6,.833,0,2,2,3,0,0,2,1,17,10.5,-6
19,20,2018,23,56.16,1,34,6,11,.545,2,3,.667,2,5,.400,1,3,4,0,1,3,1,1,16,12.8,+16
20,21,2018,23,56.56,1,34,11,19,.579,3,5,.600,1,3,.333,1,5,6,5,0,1,4,1,26,18.3,+26
21,22,2018,23,42.73,1,33,8,18,.444,0,3,.000,4,6,.667,1,5,6,2,1,1,2,1,20,12.7,-11
22,23,2018,23,41.19,1,36,6,15,.400,3,6,.500,5,6,.833,1,4,5,0,1,0,1,3,20,12.2,-5
23,24,2018,23,45.48,1,36,10,15,.667,2,5,.400,3,4,.750,1,1,2,1,2,0,4,2,25,17.0,+2
24,25,2018,23,74.04,1,33,6,15,.400,1,6,.167,1,2,.500,2,4,6,3,0,0,0,2,14,9.4,-3
25,26,2018,23,45.48,1,26,4,10,.400,1,3,.333,8,8,1.000,0,5,5,2,1,0,2,1,17,13.1,+5
26,27,2018,23,33.26,1,37,6,17,.353,1,2,.500,3,3,1.000,2,4,6,2,3,0,1,0,16,12.5,-4
27,28,2018,23,50.25,1,29,3,11,.273,0,3,.000,9,10,.900,1,5,6,0,0,0,2,3,15,7.1,-4
28,29,2018,23,9.96,1,42,11,20,.550,2,4,.500,6,10,.600,1,5,6,5,0,0,4,4,30,18.9,-8
29,30,2018,23,66.51,1,31,5,15,.333,2,6,.333,2,3,.667,0,3,3,1,0,0,1,1,14,5.3,+11
30,31,2018,23,68.05,1,40,5,14,.357,1,3,.333,5,12,.417,2,4,6,2,1,2,0,0,16,11.8,-7
31,32,2018,23,23.8,1,35,5,16,.313,1,3,.333,2,2,1.000,1,1,2,4,1,0,0,2,13,7.8,+19
32,33,2018,23,57.78,1,38,8,21,.381,2,8,.250,2,2,1.000,1,1,2,3,1,1,2,1,20,10.9,+3
33,34,2019,23,18.05,1,43,10,18,.556,2,5,.400,9,12,.750,0,2,2,3,0,0,1,3,31,21.7,-14
