,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2018,24,40.71,1,17,7,14,.500,0,1,.000,2,2,1.000,6,3,9,0,2,0,2,4,16,12.5,-17
1,2,2018,24,50.25,1,23,6,12,.500,0,2,.000,0,0,,3,5,8,2,1,1,2,2,12,9.9,+2
2,3,2018,24,69.91,1,31,9,16,.563,0,1,.000,4,4,1.000,9,9,18,2,2,0,2,3,22,23.6,+1
3,4,2018,24,24.36,1,29,7,14,.500,0,2,.000,4,7,.571,3,7,10,1,1,3,3,2,18,14.0,+15
4,5,2018,24,23.8,1,24,2,7,.286,0,1,.000,1,1,1.000,1,6,7,0,1,1,3,3,5,0.9,0
5,6,2018,24,7.78,1,17,2,6,.333,1,2,.500,0,0,,0,5,5,2,0,0,2,2,5,1.7,-6
6,7,2018,24,56.16,1,24,7,10,.700,0,0,,8,10,.800,1,9,10,2,0,1,2,2,22,19.7,+25
7,8,2018,24,57.78,1,28,7,9,.778,1,1,1.000,5,6,.833,4,5,9,2,0,0,2,4,20,18.2,+13
8,9,2018,24,40.71,1,30,5,13,.385,0,2,.000,4,6,.667,6,7,13,2,1,2,2,4,14,12.6,+12
9,10,2018,24,63.2,1,22,8,11,.727,0,1,.000,3,4,.750,5,7,12,2,0,1,3,2,19,18.0,+22
10,11,2018,24,0.01,1,24,5,9,.556,0,1,.000,2,4,.500,3,6,9,6,0,1,2,3,12,12.5,+19
11,12,2018,24,52.19,1,23,4,12,.333,0,1,.000,8,8,1.000,3,6,9,1,0,3,1,6,16,12.5,-3
12,13,2018,24,18.05,1,27,8,14,.571,0,0,,2,2,1.000,7,10,17,3,0,0,4,3,18,16.2,+12
13,14,2018,24,40.71,1,35,7,13,.538,0,0,,7,8,.875,6,8,14,1,3,4,2,4,21,23.8,0
14,15,2018,24,63.2,1,23,5,8,.625,0,0,,3,4,.750,4,7,11,0,0,1,4,2,13,9.8,-12
15,16,2018,24,69.91,1,31,3,8,.375,0,1,.000,7,9,.778,3,11,14,8,0,1,1,2,13,17.7,+27
16,17,2018,24,68.29,1,30,6,14,.429,0,1,.000,1,4,.250,4,7,11,4,2,2,1,2,13,13.7,-4
17,18,2018,24,0.01,1,21,6,8,.750,0,1,.000,4,5,.800,4,2,6,0,0,1,3,2,16,12.7,-24
18,19,2018,24,41.19,1,27,8,15,.533,0,0,,6,10,.600,3,4,7,1,2,0,0,4,22,17.5,-19
19,20,2018,24,52.19,1,15,2,4,.500,0,1,.000,0,0,,2,6,8,3,1,1,2,2,4,6.2,+6
20,21,2018,24,24.36,1,33,4,11,.364,1,1,1.000,7,8,.875,5,8,13,5,1,0,1,4,16,17.3,+8
21,22,2018,24,33.99,1,28,7,15,.467,0,1,.000,3,5,.600,5,6,11,1,2,2,1,3,17,15.7,0
22,23,2018,24,50.25,1,31,7,11,.636,0,0,,2,2,1.000,3,5,8,5,2,0,2,4,16,16.6,+6
23,24,2018,24,45.96,1,29,4,9,.444,0,0,,1,2,.500,2,9,11,1,1,2,4,6,9,4.7,0
24,25,2018,24,74.04,1,23,4,12,.333,0,1,.000,1,4,.250,4,10,14,2,1,1,2,2,9,7.1,+17
25,26,2018,24,63.2,1,29,7,10,.700,0,0,,8,9,.889,8,3,11,4,3,4,6,3,22,25.3,+16
26,27,2018,24,56.16,1,31,3,9,.333,0,0,,9,10,.900,3,7,10,4,0,2,2,4,15,14.3,+12
27,28,2018,24,25.25,1,29,1,15,.067,0,1,.000,0,0,,1,9,10,1,2,3,0,2,2,-0.7,-1
28,29,2018,24,23.72,1,26,4,15,.267,0,0,,3,4,.750,6,3,9,7,2,1,0,3,11,13.2,-10
29,30,2018,24,52.19,1,28,8,12,.667,0,0,,4,6,.667,1,2,3,7,2,1,2,5,20,18.9,+17
30,31,2018,24,25.25,1,21,2,6,.333,0,0,,4,4,1.000,5,2,7,1,2,0,5,2,8,5.6,-7
31,32,2018,24,6.48,1,26,5,9,.556,0,0,,0,2,.000,1,9,10,4,1,2,1,2,10,11.7,-4
32,33,2018,24,45.96,1,29,5,8,.625,0,0,,0,2,.000,3,9,12,6,0,2,2,6,10,11.6,+18
33,34,2018,24,6.48,1,25,3,10,.300,0,0,,1,2,.500,2,8,10,2,1,1,1,5,7,4.7,-9
34,35,2018,24,41.19,1,35,10,18,.556,0,0,,7,8,.875,1,11,12,4,0,0,4,4,27,19.2,-2
35,36,2018,24,41.19,1,32,8,14,.571,0,0,,5,7,.714,3,7,10,7,1,1,5,2,21,18.6,+5
36,37,2018,24,33.18,1,21,7,11,.636,0,0,,0,1,.000,1,6,7,3,1,1,4,4,14,9.4,+17
37,38,2019,24,45.48,1,37,5,10,.500,0,0,,14,16,.875,5,18,23,7,5,5,4,4,24,34.9,+8
38,39,2019,24,9.96,1,30,9,14,.643,0,0,,4,6,.667,1,7,8,1,3,1,2,1,22,19.8,+6
39,40,2019,24,56.16,1,31,11,18,.611,0,0,,3,6,.500,6,9,15,3,0,0,0,1,25,24.2,+17
40,41,2019,24,68.29,1,19,7,9,.778,0,0,,6,9,.667,1,7,8,0,0,0,3,4,20,13.5,-1
41,42,2019,24,66.51,1,20,7,11,.636,0,1,.000,4,5,.800,0,8,8,1,1,1,3,4,18,12.9,-3
42,43,2019,24,56.56,1,30,5,6,.833,0,0,,1,1,1.000,3,8,11,8,1,6,1,2,11,22.3,+22
43,44,2019,24,33.99,1,25,5,14,.357,0,0,,2,2,1.000,3,5,8,4,3,1,2,5,12,10.3,+5
44,45,2019,24,45.48,1,28,3,7,.429,0,0,,0,1,.000,2,9,11,5,0,1,1,4,6,7.6,-4
45,46,2019,24,100.01,1,28,3,6,.500,0,0,,4,4,1.000,2,8,10,10,0,5,1,3,10,19.1,+26
46,47,2019,24,57.78,1,26,6,13,.462,0,0,,3,5,.600,5,7,12,5,0,2,2,6,15,13.6,+10
