,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2018,24,33.18,0,25,2,4,.500,2,4,.500,1,2,.500,0,3,3,3,0,0,2,2,7,4.8,+3
1,2,2018,24,23.72,0,21,1,6,.167,0,2,.000,0,0,,0,2,2,6,0,1,0,3,2,2.5,-2
2,3,2018,24,68.29,0,28,2,5,.400,0,2,.000,4,6,.667,2,2,4,5,2,0,3,4,8,7.4,+7
3,4,2018,24,24.36,0,19,4,8,.500,1,4,.250,0,0,,2,0,2,0,3,0,2,1,9,7.0,+5
4,5,2018,24,9.96,0,21,1,4,.250,0,3,.000,0,0,,0,0,0,3,0,0,0,2,2,0.9,+13
5,6,2018,24,33.26,0,23,1,3,.333,0,0,,3,3,1.000,0,4,4,9,0,1,1,3,5,9.3,+17
6,7,2018,24,33.26,0,19,0,2,.000,0,2,.000,3,4,.750,0,4,4,2,2,0,2,3,3,2.6,+1
7,8,2018,24,0.01,0,27,1,4,.250,0,3,.000,0,0,,1,3,4,0,1,1,1,4,2,0.3,-6
8,9,2018,24,7.78,0,23,1,7,.143,1,4,.250,0,0,,0,0,0,9,3,0,2,4,3,4.2,+12
9,10,2018,24,33.99,0,25,3,5,.600,1,3,.333,2,2,1.000,1,2,3,3,2,4,2,2,9,12.1,-10
10,11,2018,24,74.04,0,26,1,4,.250,1,3,.333,4,6,.667,0,4,4,2,2,0,3,3,7,4.2,-2
11,12,2018,24,6.48,0,33,4,9,.444,4,9,.444,1,2,.500,1,2,3,10,2,0,1,2,13,16.4,+10
12,13,2018,24,42.73,0,21,0,3,.000,0,1,.000,0,0,,2,2,4,4,0,1,0,2,0,2.6,+1
13,14,2018,24,66.51,0,18,3,6,.500,2,4,.500,0,0,,0,1,1,2,1,0,2,3,8,4.5,+8
14,15,2018,24,23.72,0,18,2,5,.400,0,2,.000,1,1,1.000,0,5,5,1,0,0,4,3,5,-0.7,-17
15,16,2018,24,6.48,0,16,2,4,.500,0,1,.000,1,1,1.000,0,2,2,3,1,1,1,2,5,5.6,-13
16,17,2018,24,56.56,0,26,4,7,.571,4,6,.667,2,2,1.000,0,1,1,2,2,0,0,3,14,13.2,-12
17,18,2018,24,68.29,0,19,1,4,.250,0,2,.000,0,2,.000,3,2,5,4,1,0,1,1,2,3.9,-13
18,19,2018,24,68.05,0,23,1,6,.167,0,3,.000,2,2,1.000,0,1,1,7,3,1,1,3,4,6.9,+15
19,20,2018,24,45.96,0,25,5,8,.625,3,4,.750,6,6,1.000,1,1,2,2,1,0,3,3,19,14.6,-11
20,21,2018,24,57.78,1,39,3,8,.375,2,5,.400,0,0,,1,1,2,5,1,1,1,4,8,7.2,+12
21,22,2018,24,100.01,1,29,5,7,.714,2,4,.500,0,0,,1,2,3,7,3,1,0,1,12,18.6,+33
22,23,2018,24,63.2,1,27,2,4,.500,2,4,.500,0,0,,1,1,2,3,4,0,0,3,6,9.9,+1
23,24,2018,24,68.29,1,23,2,8,.250,0,5,.000,0,0,,1,1,2,7,2,0,0,2,4,6.3,+16
24,25,2018,24,66.51,1,21,2,5,.400,2,4,.500,0,0,,0,3,3,3,2,0,0,0,6,8.3,+32
25,26,2018,24,57.78,1,29,2,8,.250,0,4,.000,0,2,.000,1,1,2,5,3,0,3,3,4,1.7,+7
26,27,2018,24,69.91,1,39,5,12,.417,1,5,.200,7,7,1.000,2,3,5,3,3,0,1,4,18,16.4,+4
27,28,2018,24,68.05,1,27,0,2,.000,0,2,.000,0,0,,0,1,1,7,4,0,2,4,0,4.2,+3
28,29,2018,24,33.26,1,29,6,11,.545,5,7,.714,4,6,.667,3,5,8,3,3,0,2,5,21,19.6,-4
29,30,2018,24,74.04,1,32,3,8,.375,3,7,.429,3,3,1.000,0,4,4,5,4,0,3,2,12,12.5,+8
30,31,2018,24,0.01,1,29,2,8,.250,0,2,.000,4,4,1.000,1,2,3,4,2,0,0,2,8,8.5,-15
31,32,2018,24,56.56,1,28,2,5,.400,2,4,.500,0,0,,2,0,2,5,3,0,0,3,6,10.0,+17
32,33,2018,24,33.18,1,29,2,8,.250,2,5,.400,0,0,,2,2,4,3,1,0,1,1,6,4.9,-4
33,34,2018,24,56.16,1,31,4,10,.400,1,5,.200,2,4,.500,0,2,2,3,1,0,3,3,11,4.3,+4
34,35,2018,24,25.25,1,28,3,7,.429,1,3,.333,1,1,1.000,0,1,1,1,4,0,1,2,8,7.5,+7
35,36,2018,24,50.25,1,26,3,5,.600,0,2,.000,1,2,.500,0,3,3,4,1,1,3,2,7,5.9,-13
36,37,2019,24,63.2,1,22,1,2,.500,0,1,.000,0,0,,0,3,3,8,2,0,2,1,2,7.1,+17
37,38,2019,24,45.96,1,32,6,11,.545,5,8,.625,0,0,,3,1,4,3,1,0,1,1,17,15.8,+1
38,39,2019,24,39.57,1,27,4,10,.400,4,8,.500,0,0,,0,4,4,7,2,0,2,1,12,12.3,+8
39,40,2019,24,7.78,1,22,1,3,.333,0,2,.000,0,0,,0,2,2,3,1,1,1,2,2,2.9,+14
40,41,2019,24,23.8,1,33,5,10,.500,4,8,.500,4,5,.800,0,1,1,2,0,1,2,3,18,11.8,-3
41,42,2019,24,24.36,1,33,4,7,.571,2,4,.500,0,0,,0,3,3,1,0,0,0,1,10,7.9,+11
42,43,2019,24,23.72,1,31,2,5,.400,1,2,.500,0,0,,1,3,4,3,3,0,0,4,5,7.4,+6
