,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2015,24,71.14,0,5,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,0,0,0.6,+2
1,2,2015,24,45.07,0,1,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,-4
2,3,2015,24,82.5,0,4,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,-14
3,4,2015,24,82.5,0,2,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-4
4,5,2015,24,61.64,0,1,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-1
5,1,2016,25,51.86,0,25,6,15,.400,4,9,.444,0,0,,0,4,4,3,2,2,3,3,16,10.4,+3
6,2,2016,25,55.34,0,17,2,7,.286,2,6,.333,0,0,,0,3,3,1,1,0,1,2,6,2.7,-1
7,3,2016,25,62.42,0,18,2,7,.286,1,4,.250,0,0,,0,2,2,1,1,0,2,1,5,0.8,-2
8,4,2016,25,36.65,0,22,4,8,.500,1,5,.200,0,1,.000,0,2,2,1,1,0,1,3,9,4.7,-22
9,5,2016,25,38.55,0,26,6,9,.667,1,4,.250,0,0,,0,2,2,1,1,0,2,2,13,8.6,+3
10,6,2016,25,53.44,0,22,0,4,.000,0,2,.000,0,0,,0,3,3,1,0,0,1,3,0,-3.4,-3
11,7,2016,25,89.66,0,22,5,9,.556,1,5,.200,0,0,,0,1,1,1,0,0,0,2,11,6.9,-9
12,8,2016,25,85.54,0,29,3,7,.429,1,4,.250,1,2,.500,1,6,7,1,1,0,1,4,8,5.5,-11
13,9,2016,25,90.19,0,24,6,10,.600,5,8,.625,2,2,1.000,2,0,2,1,0,0,3,4,19,11.9,+3
14,10,2016,25,48.9,0,25,3,6,.500,1,3,.333,1,2,.500,1,1,2,2,2,0,1,4,8,6.4,-18
15,11,2016,25,100.01,0,29,3,9,.333,1,7,.143,0,0,,0,3,3,1,1,0,1,4,7,1.9,-3
16,12,2016,25,41.4,0,20,2,3,.667,1,1,1.000,2,4,.500,0,1,1,2,0,0,0,0,7,6.6,-7
17,13,2016,25,76.15,0,26,2,7,.286,0,3,.000,4,4,1.000,0,4,4,3,0,0,2,1,8,4.8,-12
