,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2015,21,35.42,0,26,2,7,.286,0,1,.000,5,5,1.000,1,5,6,0,2,0,0,2,9,8.3,-22
1,2,2015,21,40.71,0,25,4,9,.444,1,2,.500,3,4,.750,0,5,5,2,0,2,3,1,12,7.8,-1
2,3,2015,21,44.91,0,22,3,8,.375,0,1,.000,1,2,.500,1,1,2,1,1,0,2,3,7,1.7,+6
3,4,2015,21,78.61,1,22,3,9,.333,0,3,.000,2,2,1.000,1,6,7,3,0,4,0,2,8,9.5,+22
4,5,2015,21,44.91,1,27,3,5,.600,0,2,.000,2,4,.500,1,3,4,2,0,2,0,3,8,8.1,-12
5,6,2015,21,61.64,1,23,4,7,.571,1,3,.333,2,3,.667,0,4,4,0,0,1,1,2,11,7.4,-1
6,7,2015,21,60.17,1,29,4,12,.333,0,2,.000,3,4,.750,1,2,3,1,1,3,1,3,11,6.7,-26
7,8,2015,21,51.45,1,32,5,10,.500,0,1,.000,2,4,.500,5,5,10,1,1,2,0,3,12,13.1,-16
8,9,2015,21,51.92,1,31,2,10,.200,0,3,.000,5,6,.833,2,4,6,1,0,2,2,5,9,3.1,-15
9,10,2015,21,0.01,1,25,4,7,.571,2,3,.667,2,2,1.000,0,4,4,0,1,1,1,5,12,8.6,-4
10,11,2015,21,61.72,1,29,5,10,.500,0,1,.000,3,5,.600,1,2,3,0,1,0,3,5,13,4.5,-21
11,12,2015,21,30.83,1,29,4,6,.667,0,1,.000,5,6,.833,2,2,4,1,0,3,2,1,13,12.4,-16
12,13,2015,21,42.5,1,24,6,9,.667,0,0,,0,2,.000,3,2,5,1,1,1,1,4,12,9.8,-19
13,14,2015,21,45.07,1,30,0,7,.000,0,2,.000,4,6,.667,2,4,6,3,0,2,1,3,4,2.2,-21
14,15,2015,21,89.27,1,31,3,10,.300,1,3,.333,2,3,.667,2,4,6,1,0,2,2,4,9,3.9,-2
15,16,2015,21,35.42,0,21,3,7,.429,0,2,.000,0,0,,2,3,5,2,1,2,2,2,6,5.6,+1
16,17,2015,21,74.33,1,31,6,13,.462,3,7,.429,3,4,.750,1,2,3,1,1,1,1,3,18,12.4,-6
17,18,2015,21,71.14,1,30,3,9,.333,1,4,.250,4,5,.800,2,5,7,1,2,3,1,4,11,10.6,-14
18,19,2015,21,100.01,1,30,6,7,.857,0,1,.000,2,2,1.000,0,7,7,4,1,4,0,3,14,19.0,+7
19,20,2015,21,69.12,1,20,2,10,.200,0,5,.000,2,3,.667,1,3,4,0,1,3,0,1,6,3.7,-10
