,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2015,20,82.66,0,13,1,4,.250,0,1,.000,0,0,,0,0,0,0,0,0,1,2,2,-2.2,-11
1,2,2015,20,79.78,0,21,1,2,.500,0,0,,0,0,,2,4,6,1,0,1,0,2,2,4.2,-3
2,3,2015,20,79.78,0,6,0,1,.000,0,0,,0,0,,1,3,4,1,0,0,0,0,0,1.6,+2
3,4,2015,20,89.27,0,19,1,3,.333,0,1,.000,3,4,.750,0,3,3,0,0,0,2,3,5,0.6,+8
4,5,2015,20,40.71,0,13,0,3,.000,0,2,.000,1,2,.500,0,0,0,0,0,0,1,3,1,-3.7,+4
5,6,2015,20,71.14,0,11,1,4,.250,0,2,.000,0,0,,0,3,3,0,0,2,2,1,2,-0.5,-11
6,7,2015,20,51.68,0,9,2,3,.667,0,0,,0,0,,1,2,3,1,0,0,1,1,4,3.3,+9
7,8,2015,20,77.21,0,12,0,3,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-1.5,-15
8,9,2015,20,0.01,0,7,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,1,2,1.2,-8
9,10,2015,20,71.14,0,6,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-6
10,11,2015,20,42.5,1,23,3,6,.500,0,1,.000,3,4,.750,3,3,6,1,0,0,2,3,9,6.1,-6
11,12,2015,20,0.01,0,22,1,2,.500,1,1,1.000,0,0,,0,6,6,1,0,0,0,3,3,3.3,-5
12,13,2015,20,74.33,1,12,2,4,.500,0,0,,0,0,,2,4,6,0,0,0,1,4,4,2.0,+3
13,14,2015,20,39.08,1,17,1,2,.500,0,0,,2,2,1.000,0,3,3,0,1,0,2,2,4,2.1,0
14,15,2015,20,100.01,1,16,0,3,.000,0,1,.000,0,0,,0,3,3,0,0,2,1,0,0,-0.8,+3
15,16,2015,20,60.17,1,12,3,7,.429,1,2,.500,0,0,,2,1,3,0,0,1,0,3,7,4.5,-4
16,17,2015,20,100.01,1,19,2,2,1.000,0,0,,0,0,,1,4,5,1,1,0,1,1,4,5.6,+8
17,18,2015,20,39.08,1,12,1,4,.250,0,0,,0,0,,0,1,1,0,0,0,0,4,2,-1.7,-16
18,19,2015,20,61.72,1,5,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-15
19,20,2015,20,30.83,1,17,3,3,1.000,0,0,,0,0,,2,2,4,0,0,0,1,1,6,5.7,-6
20,21,2015,20,89.27,1,15,2,4,.500,0,0,,0,0,,0,3,3,1,1,0,2,0,4,2.6,+9
21,22,2015,20,78.61,1,14,3,5,.600,0,0,,0,0,,6,1,7,1,0,0,1,2,6,7.1,-6
22,23,2015,20,44.91,1,11,1,1,1.000,0,0,,0,0,,1,3,4,0,0,0,0,2,2,2.5,+9
23,24,2015,20,79.78,1,16,1,1,1.000,0,0,,0,0,,1,4,5,1,0,0,0,1,2,3.9,+9
24,25,2015,20,69.12,1,17,2,2,1.000,1,1,1.000,2,2,1.000,4,1,5,2,2,0,1,2,7,11.1,+11
25,26,2015,20,82.66,1,17,1,5,.200,0,0,,0,0,,2,3,5,1,1,1,0,3,2,2.4,+2
26,27,2015,20,51.92,1,26,0,2,.000,0,0,,2,2,1.000,4,3,7,0,0,0,0,3,2,3.1,-10
27,28,2015,20,61.64,1,12,2,4,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,1,4,2.3,-10
28,29,2015,20,45.07,1,11,1,4,.250,0,0,,0,0,,1,2,3,0,0,0,1,3,2,-1.3,-12
29,30,2015,20,19.08,1,12,2,3,.667,0,0,,1,1,1.000,0,3,3,0,1,0,1,1,5,4.2,-4
30,31,2015,20,82.66,1,21,2,3,.667,0,0,,2,2,1.000,2,4,6,0,1,0,0,1,6,7.9,-16
31,32,2015,20,44.91,1,21,1,3,.333,0,0,,0,0,,2,4,6,1,4,0,0,3,2,6.4,+24
32,33,2015,20,74.1,1,13,1,5,.200,0,0,,0,0,,2,1,3,0,2,0,0,0,2,2.6,-10
33,34,2015,20,77.21,1,16,0,2,.000,0,1,.000,0,0,,1,3,4,2,3,0,1,1,0,3.2,+8
34,35,2015,20,40.71,1,18,1,1,1.000,0,0,,4,4,1.000,0,4,4,2,0,0,0,1,6,7.9,+3
35,36,2016,20,77.21,1,25,2,6,.333,0,2,.000,1,2,.500,2,6,8,2,0,1,0,6,5,4.1,+1
36,37,2016,20,71.14,1,12,1,3,.333,0,0,,0,0,,3,3,6,0,0,1,1,2,2,2.2,0
37,38,2016,20,39.08,1,15,3,5,.600,0,1,.000,1,1,1.000,0,1,1,0,0,0,0,1,7,4.6,-1
38,39,2016,20,37.13,1,17,0,3,.000,0,0,,0,0,,4,2,6,0,0,0,0,1,0,0.9,-15
39,40,2016,20,51.92,1,13,0,3,.000,0,0,,0,0,,0,3,3,1,2,1,1,5,0,-0.8,-8
40,41,2016,20,40.71,1,18,2,7,.286,0,1,.000,0,0,,2,3,5,1,0,0,0,0,4,2.9,+1
41,42,2016,20,93.78,1,15,3,8,.375,0,1,.000,0,0,,3,1,4,0,0,0,0,1,6,3.6,-9
