,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2018,24,52.19,1,34,6,16,.375,0,3,.000,8,8,1.000,3,0,3,2,0,0,0,3,20,13.5,+15
1,2,2018,24,74.04,1,35,7,15,.467,1,4,.250,3,4,.750,0,5,5,4,2,1,1,2,18,15.1,+37
2,3,2018,24,41.19,1,34,11,20,.550,2,9,.222,4,7,.571,1,2,3,1,2,1,0,3,28,20.7,+13
3,4,2018,24,45.48,1,26,8,12,.667,2,4,.500,0,0,,1,2,3,5,1,0,1,0,18,17.6,+21
4,5,2018,24,40.71,1,36,6,13,.462,1,3,.333,0,0,,0,3,3,5,0,0,1,1,13,9.3,-9
5,6,2018,24,57.78,1,33,8,16,.500,1,3,.333,6,8,.750,1,5,6,6,2,1,0,3,23,22.1,+2
6,7,2018,24,66.51,1,37,7,19,.368,2,6,.333,0,0,,1,4,5,2,1,0,3,3,16,5.6,-3
7,8,2018,24,100.01,1,27,4,12,.333,1,5,.200,5,5,1.000,0,3,3,3,1,2,1,0,14,11.6,+14
8,9,2018,24,6.48,1,31,8,13,.615,1,4,.250,3,5,.600,0,4,4,1,0,0,3,3,20,11.0,+1
9,10,2018,24,18.05,1,37,4,13,.308,1,4,.250,4,4,1.000,2,3,5,3,3,0,0,3,13,11.7,+8
10,11,2018,24,25.25,1,32,6,16,.375,3,6,.500,5,6,.833,1,1,2,2,0,0,3,1,20,9.8,-2
11,12,2018,24,39.57,1,36,1,11,.091,0,5,.000,2,2,1.000,2,0,2,4,0,1,1,5,4,-1.4,+6
12,13,2018,24,0.01,1,30,5,14,.357,2,6,.333,3,5,.600,1,3,4,0,3,0,2,3,15,7.8,-17
13,14,2018,24,56.16,1,36,6,13,.462,3,6,.500,0,0,,0,2,2,1,4,0,2,1,15,11.2,-10
14,15,2018,24,68.05,1,27,7,9,.778,2,3,.667,2,3,.667,0,3,3,4,0,2,1,2,18,17.4,+34
15,16,2018,24,57.78,1,38,9,16,.563,6,9,.667,0,0,,1,4,5,4,1,1,0,3,24,21.6,+1
16,17,2018,24,0.01,1,34,6,16,.375,2,6,.333,0,0,,0,0,0,6,2,0,3,3,14,7.2,-12
17,18,2018,24,63.2,1,36,7,16,.438,1,8,.125,2,2,1.000,1,3,4,2,2,0,1,2,17,11.8,-1
18,19,2018,24,24.36,1,25,4,13,.308,1,5,.200,0,0,,0,2,2,2,0,0,2,1,9,1.1,+7
19,20,2018,24,42.73,1,36,9,21,.429,4,10,.400,5,6,.833,0,3,3,3,1,0,1,4,27,16.9,0
20,21,2018,24,23.72,1,8,1,3,.333,0,2,.000,1,2,.500,0,1,1,0,0,0,0,1,3,0.8,-1
21,22,2019,24,68.29,0,19,1,5,.200,0,0,,4,4,1.000,1,1,2,2,0,0,0,3,6,4.1,+7
22,23,2019,24,45.48,0,31,4,10,.400,2,5,.400,4,5,.800,0,3,3,0,0,0,2,1,14,6.7,-8
23,24,2019,24,56.56,0,25,7,15,.467,3,8,.375,0,1,.000,2,4,6,5,1,0,0,1,17,15.6,+23
24,25,2019,24,56.16,1,27,4,11,.364,2,5,.400,4,4,1.000,1,3,4,2,0,0,0,2,14,10.1,-12
25,26,2019,24,66.51,0,18,6,11,.545,2,3,.667,0,0,,1,0,1,2,0,0,1,0,14,9.8,+7
26,27,2019,24,100.01,0,17,2,7,.286,0,2,.000,0,0,,1,0,1,1,0,1,1,0,4,1.0,+12
27,28,2019,24,6.48,1,27,6,9,.667,0,2,.000,4,4,1.000,0,2,2,2,0,1,2,3,16,11.6,-9
28,29,2019,24,74.04,1,20,3,9,.333,2,6,.333,2,2,1.000,0,3,3,3,1,0,1,1,10,7.5,+23
29,30,2019,24,33.18,1,24,4,10,.400,1,4,.250,0,0,,0,1,1,3,1,2,2,3,9,5.2,+20
30,31,2019,24,25.25,1,31,4,11,.364,0,4,.000,3,3,1.000,1,3,4,3,0,0,2,4,11,5.0,+4
31,32,2019,24,57.78,1,33,3,14,.214,2,9,.222,1,2,.500,0,2,2,4,3,1,2,3,9,3.9,+13
32,33,2019,24,45.96,0,20,3,8,.375,1,3,.333,1,2,.500,0,2,2,1,1,0,0,2,8,4.7,+5
33,34,2019,24,52.19,0,21,4,8,.500,2,4,.500,4,6,.667,0,2,2,2,1,0,1,3,14,10.0,+8
34,35,2019,24,9.96,0,22,0,2,.000,0,1,.000,5,6,.833,0,2,2,0,2,0,2,3,5,2.6,+4
35,36,2019,24,6.48,0,22,3,10,.300,0,3,.000,2,2,1.000,2,2,4,4,0,0,1,2,8,5.2,+2
36,37,2019,24,57.78,1,25,3,9,.333,1,3,.333,1,1,1.000,0,0,0,2,1,1,3,1,8,2.6,+3
37,38,2019,24,50.25,1,26,3,9,.333,2,4,.500,0,0,,0,2,2,1,0,0,0,0,8,4.2,+9
38,39,2019,24,40.71,1,29,8,11,.727,2,4,.500,1,1,1.000,4,2,6,4,1,0,0,2,19,20.9,+26
39,40,2019,24,41.19,1,22,0,2,.000,0,0,,6,8,.750,1,1,2,1,0,0,2,3,6,2.3,-10
40,41,2019,24,63.2,1,27,5,8,.625,2,3,.667,0,0,,0,2,2,2,0,1,1,0,12,10.1,+18
41,42,2019,24,45.96,1,26,3,7,.429,1,1,1.000,2,2,1.000,0,1,1,2,1,0,3,1,9,4.6,-11
42,43,2019,24,7.78,1,28,4,10,.400,1,4,.250,1,2,.500,2,2,4,2,1,1,0,1,10,8.9,+9
