,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2015,21,53.94,1,34,5,15,.333,1,3,.333,0,0,,4,6,10,8,1,0,2,1,11,11.3,-11
1,2,2015,21,51.92,1,36,5,11,.455,2,4,.500,2,2,1.000,1,2,3,5,1,0,0,5,14,12.1,-7
2,3,2015,21,60.17,1,22,2,7,.286,0,2,.000,0,0,,0,1,1,3,0,1,3,5,4,-2.0,-11
3,4,2015,21,82.66,1,29,4,12,.333,0,2,.000,0,0,,2,2,4,10,1,0,5,2,8,5.4,+4
4,5,2015,21,74.33,1,29,2,8,.250,1,1,1.000,0,0,,1,1,2,7,2,1,3,4,5,4.2,-13
5,6,2015,21,51.45,1,15,0,4,.000,0,1,.000,0,0,,1,1,2,2,0,0,2,2,0,-3.2,-17
6,7,2015,21,82.5,1,32,8,10,.800,0,0,,4,4,1.000,0,2,2,5,3,1,2,2,20,21.2,+11
7,8,2015,21,30.83,1,37,3,7,.429,0,0,,5,6,.833,0,2,2,7,3,0,4,1,11,11.0,-6
8,9,2015,21,100.01,1,28,1,13,.077,0,0,,0,2,.000,3,7,10,8,1,0,1,1,2,1.9,-1
9,10,2015,21,40.71,1,36,3,8,.375,2,3,.667,8,10,.800,0,3,3,6,2,1,5,2,16,12.8,+15
10,11,2015,21,53.94,1,38,5,15,.333,0,1,.000,7,8,.875,1,4,5,5,1,0,4,3,17,9.3,-12
11,12,2015,21,89.27,1,40,11,23,.478,0,0,,2,5,.400,2,5,7,6,4,0,1,2,24,20.4,+12
12,13,2015,21,74.1,1,37,3,12,.250,1,2,.500,0,0,,2,3,5,8,0,0,5,1,7,2.3,-3
13,14,2015,21,44.91,1,18,0,7,.000,0,1,.000,0,0,,0,2,2,4,1,0,0,1,0,-0.9,-19
14,15,2015,21,69.12,1,35,6,12,.500,0,1,.000,0,1,.000,2,4,6,11,0,0,2,2,12,13.1,+1
15,16,2015,21,78.61,1,30,10,12,.833,1,1,1.000,1,1,1.000,1,1,2,10,1,0,4,3,22,21.4,+20
16,17,2015,21,35.42,1,35,2,12,.167,0,0,,2,4,.500,1,2,3,5,1,1,2,1,6,1.7,+9
17,18,2015,21,89.27,1,34,6,13,.462,0,1,.000,2,4,.500,1,7,8,5,0,0,2,5,14,8.8,+7
18,19,2015,21,40.71,1,32,6,14,.429,0,1,.000,2,2,1.000,0,3,3,7,2,0,2,3,14,11.2,+13
19,20,2015,21,39.08,1,36,9,18,.500,1,3,.333,2,4,.500,2,2,4,8,4,0,1,4,21,20.2,+1
20,21,2015,21,77.21,1,32,8,15,.533,0,0,,2,2,1.000,2,3,5,4,1,0,2,1,18,14.4,+13
21,22,2015,21,79.78,1,33,6,15,.400,0,1,.000,0,2,.000,0,3,3,10,5,0,3,2,12,12.2,-1
22,23,2015,21,44.91,1,20,4,9,.444,0,1,.000,1,2,.500,0,3,3,2,1,0,0,2,9,6.4,-14
23,24,2015,21,93.78,1,29,6,11,.545,1,1,1.000,4,6,.667,2,3,5,5,2,0,2,1,17,16.3,+16
24,25,2015,21,42.5,1,30,5,9,.556,0,1,.000,2,2,1.000,0,3,3,9,1,0,2,1,12,13.5,+16
25,26,2015,21,70.98,1,35,4,9,.444,0,1,.000,11,17,.647,3,3,6,3,2,1,4,5,19,13.7,+8
26,27,2015,21,19.08,1,30,6,14,.429,0,1,.000,2,6,.333,0,2,2,6,5,1,2,2,14,12.7,+4
27,28,2015,21,69.12,1,9,2,3,.667,0,0,,1,1,1.000,0,0,0,3,0,0,0,0,5,5.8,+1
28,29,2015,21,74.33,1,31,5,11,.455,0,0,,2,4,.500,0,2,2,9,1,0,3,1,12,10.0,-8
29,30,2015,21,45.07,1,33,9,13,.692,0,0,,0,2,.000,0,2,2,7,1,0,3,2,18,14.4,-13
30,31,2015,21,82.66,1,21,3,5,.600,0,0,,0,0,,0,3,3,0,0,0,2,0,6,2.6,+14
31,32,2015,21,93.78,1,4,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,0
32,33,2016,21,53.94,1,24,1,6,.167,1,2,.500,0,0,,0,1,1,7,1,0,3,2,3,1.6,-17
33,34,2016,21,44.91,1,16,0,5,.000,0,0,,0,0,,2,1,3,4,0,0,2,2,0,-1.8,-24
34,35,2016,21,51.45,0,20,2,8,.250,0,1,.000,0,0,,0,1,1,4,0,0,3,1,4,-1.1,-12
35,36,2016,21,19.08,1,26,7,14,.500,2,2,1.000,0,3,.000,0,2,2,5,1,0,5,0,16,7.9,-14
36,37,2016,21,82.5,1,40,8,13,.615,0,1,.000,5,9,.556,3,3,6,10,2,0,3,2,21,21.7,-1
37,38,2016,21,42.5,1,35,4,14,.286,2,3,.667,1,1,1.000,3,6,9,10,1,0,4,4,11,9.1,-12
38,39,2016,21,71.14,1,38,6,11,.545,0,1,.000,2,4,.500,1,1,2,3,1,1,5,5,14,5.7,-14
39,40,2016,21,78.61,1,24,3,5,.600,1,2,.500,1,1,1.000,0,0,0,3,0,1,2,3,8,5.3,-6
40,41,2016,21,35.42,1,28,6,11,.545,0,0,,0,0,,0,2,2,1,2,0,0,3,12,8.8,-7
41,42,2016,21,35.42,1,14,3,5,.600,1,2,.500,2,2,1.000,2,2,4,1,0,0,3,4,9,4.8,-6
42,43,2016,21,0.01,1,32,3,12,.250,0,1,.000,0,1,.000,3,2,5,8,1,1,1,2,6,6.6,-3
43,44,2016,21,51.92,1,29,3,11,.273,0,0,,0,0,,1,4,5,6,0,0,1,4,6,3.0,-6
44,45,2016,21,39.08,1,29,2,7,.286,0,1,.000,2,4,.500,0,1,1,3,0,0,3,4,6,-1.1,-11
45,46,2016,21,19.08,1,32,5,10,.500,2,4,.500,0,0,,0,4,4,12,1,1,3,3,12,14.1,+6
46,47,2016,21,19.08,1,41,8,15,.533,2,4,.500,2,4,.500,0,4,4,7,3,1,2,2,20,18.9,+8
47,48,2016,21,0.01,1,41,5,11,.455,0,1,.000,3,4,.750,1,5,6,7,2,0,2,3,13,12.8,-4
48,49,2016,21,61.72,1,28,4,9,.444,1,3,.333,0,0,,1,2,3,3,0,1,0,1,9,8.0,+8
49,50,2016,21,30.83,1,22,1,5,.200,0,1,.000,2,2,1.000,1,1,2,4,2,0,3,3,4,2.5,-1
50,51,2016,22,82.5,1,20,0,4,.000,0,1,.000,3,6,.500,1,0,1,8,0,0,0,2,3,4.5,+9
51,52,2016,22,37.13,1,28,5,8,.625,2,3,.667,0,2,.000,0,2,2,6,1,0,4,2,12,8.6,-14
52,53,2016,22,69.12,1,27,4,7,.571,0,1,.000,0,0,,2,3,5,9,0,0,2,2,8,10.5,0
53,54,2016,22,82.5,1,32,4,9,.444,0,0,,3,4,.750,2,2,4,10,1,1,5,3,11,10.4,+11
54,55,2016,22,61.72,1,24,5,8,.625,2,4,.500,0,0,,0,2,2,3,2,0,4,4,12,7.5,-13
55,56,2016,22,60.17,1,33,4,9,.444,1,1,1.000,0,0,,0,4,4,12,1,1,3,2,9,11.8,+23
56,57,2016,22,79.78,1,34,9,17,.529,1,3,.333,0,2,.000,2,0,2,11,3,0,3,2,19,18.2,-9
57,58,2016,22,37.13,1,23,2,7,.286,0,0,,2,3,.667,0,2,2,7,3,0,1,2,6,8.2,-10
58,59,2016,22,100.01,1,20,3,7,.429,1,1,1.000,0,2,.000,1,1,2,3,1,0,1,1,7,5.2,-6
59,60,2016,22,51.45,0,16,1,3,.333,0,1,.000,0,1,.000,2,0,2,4,1,1,4,1,2,1.4,-3
60,61,2016,22,35.42,0,31,4,9,.444,0,1,.000,0,1,.000,0,1,1,6,0,1,2,3,8,4.9,+1
61,62,2016,22,51.68,0,34,9,21,.429,0,3,.000,2,4,.500,5,5,10,10,1,0,1,3,20,18.9,-6
62,63,2016,22,45.07,1,34,6,9,.667,0,0,,2,4,.500,4,3,7,7,0,0,4,2,14,13.1,-7
63,64,2016,22,60.17,1,29,7,9,.778,0,0,,1,1,1.000,1,2,3,10,0,2,3,1,15,17.8,+16
64,65,2016,22,93.78,1,26,4,11,.364,0,1,.000,3,3,1.000,1,4,5,12,2,0,1,3,11,15.0,+19
65,66,2016,22,30.83,1,29,5,10,.500,0,0,,0,0,,2,5,7,5,0,0,2,0,10,9.4,+12
66,67,2016,22,78.61,1,30,3,9,.333,0,1,.000,0,0,,0,6,6,10,1,0,3,3,6,6.5,-8
67,68,2016,22,71.14,1,31,2,8,.250,0,1,.000,3,3,1.000,2,0,2,11,0,0,1,0,7,10.3,+1
68,69,2016,22,51.68,1,32,8,13,.615,0,1,.000,1,1,1.000,1,1,2,5,2,1,3,2,17,14.5,-6
69,70,2016,22,45.07,1,37,6,12,.500,0,2,.000,4,7,.571,0,3,3,10,1,0,3,2,16,13.9,+2
70,71,2016,22,45.07,1,25,3,8,.375,1,1,1.000,1,2,.500,1,3,4,4,1,0,2,2,8,5.8,-11
71,72,2016,22,78.61,1,31,3,8,.375,0,2,.000,5,10,.500,0,3,3,11,3,0,4,1,11,11.8,+22
72,73,2016,22,42.5,1,24,1,5,.200,0,2,.000,0,2,.000,1,3,4,7,1,0,2,1,2,3.2,-5
73,1,2016,22,35.91,1,37,4,12,.333,0,2,.000,8,8,1.000,2,2,4,5,0,2,4,1,16,11.7,-4
74,2,2016,22,38.55,1,27,6,13,.462,1,4,.250,2,2,1.000,1,4,5,6,2,0,3,0,15,13.4,-16
75,3,2016,22,71.18,1,34,5,11,.455,0,2,.000,0,2,.000,0,4,4,5,0,1,0,3,10,7.7,-9
76,4,2016,22,58.72,1,38,8,17,.471,1,3,.333,1,3,.333,0,3,3,10,2,1,2,0,18,17.1,+19
77,5,2016,22,83.75,1,33,3,13,.231,0,5,.000,0,1,.000,0,3,3,11,0,0,1,1,6,4.9,+9
78,6,2016,22,61.36,1,28,2,8,.250,1,3,.333,1,2,.500,1,0,1,3,0,0,2,2,6,0.8,-12
79,7,2016,22,36.65,1,18,2,3,.667,0,0,,0,0,,0,0,0,6,1,1,3,3,4,4.4,-4
80,8,2016,22,89.66,1,26,8,14,.571,1,3,.333,1,1,1.000,0,3,3,7,1,0,1,1,18,16.8,-3
81,9,2016,22,20.5,1,23,1,5,.200,0,0,,0,0,,1,2,3,0,1,1,1,4,2,-0.7,-9
82,10,2016,22,41.4,1,37,10,19,.526,3,7,.429,0,2,.000,0,7,7,9,2,1,0,3,23,22.8,-8
83,11,2016,22,55.34,1,29,5,11,.455,0,1,.000,2,2,1.000,1,6,7,2,2,0,3,2,12,8.4,-8
84,12,2016,22,39.71,1,29,2,9,.222,0,3,.000,1,2,.500,1,3,4,4,3,2,1,2,5,6.1,0
85,13,2016,22,53.97,1,20,2,3,.667,0,0,,0,0,,0,3,3,2,1,2,4,0,4,3.4,+4
86,14,2016,22,62.42,1,35,4,9,.444,0,3,.000,0,2,.000,0,8,8,7,3,0,1,2,8,11.0,+10
