,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2015,20,89.27,1,30,5,13,.385,0,0,,5,6,.833,2,9,11,2,0,0,1,3,15,10.8,+2
1,2,2015,20,74.1,1,16,1,4,.250,0,0,,1,4,.250,0,2,2,1,0,0,5,5,3,-6.3,-27
2,3,2015,20,61.72,1,33,9,17,.529,0,0,,4,8,.500,0,15,15,4,4,1,2,2,22,21.3,+2
3,4,2015,20,77.21,1,32,7,14,.500,0,0,,2,3,.667,0,5,5,2,1,1,2,2,16,10.4,-7
4,5,2015,20,93.78,1,31,5,9,.556,0,0,,4,6,.667,0,7,7,3,1,1,3,2,14,11.0,-6
5,6,2015,20,69.12,1,29,3,12,.250,0,1,.000,0,0,,5,6,11,3,0,0,0,4,6,4.6,-12
6,7,2015,20,45.07,1,25,2,6,.333,0,1,.000,3,5,.600,0,7,7,4,0,0,2,3,7,4.5,-19
7,8,2015,20,61.64,1,27,6,10,.600,0,1,.000,0,3,.000,0,8,8,4,0,1,0,2,12,11.3,-4
8,9,2015,20,61.72,1,30,2,9,.222,0,0,,2,2,1.000,0,10,10,2,1,1,4,5,6,0.6,-5
9,10,2015,20,51.68,1,30,3,8,.375,0,0,,2,3,.667,3,5,8,2,1,1,2,2,8,7.1,-3
10,11,2015,20,79.78,1,25,2,6,.333,0,0,,2,2,1.000,1,4,5,2,0,0,4,5,6,-0.1,-1
11,12,2015,20,51.45,1,29,6,9,.667,0,0,,6,6,1.000,2,10,12,1,0,1,1,5,18,16.9,+15
12,13,2015,20,70.98,1,31,5,15,.333,0,0,,3,3,1.000,7,6,13,1,0,0,0,0,13,11.9,-16
13,14,2015,20,37.13,1,24,3,6,.500,0,0,,4,4,1.000,0,6,6,0,1,1,0,0,10,10.5,-18
14,15,2015,20,70.98,1,29,8,13,.615,0,0,,0,2,.000,1,5,6,4,3,1,1,3,16,15.8,-3
15,16,2015,21,30.83,1,27,4,11,.364,0,0,,3,4,.750,1,11,12,1,0,1,4,5,11,3.9,+5
16,17,2015,21,82.5,1,28,5,12,.417,0,1,.000,2,3,.667,3,8,11,2,1,0,0,4,12,10.5,-5
17,18,2015,21,53.94,1,31,7,15,.467,0,1,.000,1,2,.500,7,12,19,1,2,0,2,2,15,15.3,-9
18,19,2015,21,19.08,1,27,3,12,.250,0,0,,2,2,1.000,3,2,5,0,3,1,1,2,8,5.4,-27
19,20,2015,21,51.68,1,24,5,9,.556,0,0,,5,7,.714,2,9,11,0,0,0,0,2,15,13.2,-22
20,21,2015,21,51.45,0,20,6,13,.462,0,0,,3,3,1.000,7,4,11,0,0,0,1,1,15,13.0,-4
21,22,2015,21,89.27,0,33,7,13,.538,0,0,,6,11,.545,3,9,12,1,1,0,0,3,20,17.0,+8
22,23,2015,21,0.01,0,20,2,9,.222,0,0,,0,0,,1,6,7,0,0,1,2,4,4,-1.9,-8
23,24,2015,21,74.33,0,22,3,11,.273,0,1,.000,1,2,.500,3,7,10,2,1,0,3,5,7,1.7,-34
24,25,2015,21,78.61,0,24,6,12,.500,0,1,.000,2,2,1.000,6,8,14,1,0,0,4,4,14,9.7,-4
25,26,2015,21,74.33,0,23,6,15,.400,1,1,1.000,5,6,.833,3,7,10,2,1,0,1,5,18,13.1,-4
26,27,2015,21,51.92,0,25,1,7,.143,0,1,.000,0,0,,3,4,7,0,0,0,5,3,2,-5.4,-28
27,28,2015,21,77.21,0,28,3,7,.429,0,0,,2,3,.667,3,7,10,1,0,0,2,1,8,6.4,-1
28,29,2015,21,39.08,0,27,3,11,.273,1,3,.333,4,6,.667,2,6,8,2,3,0,3,2,11,7.5,-1
29,30,2015,21,71.14,0,23,3,8,.375,1,1,1.000,2,6,.333,3,10,13,1,0,0,1,3,9,6.6,+2
30,31,2015,21,42.5,0,19,4,8,.500,1,1,1.000,2,2,1.000,0,6,6,0,0,0,0,2,11,8.0,-1
31,32,2015,21,35.42,0,26,6,16,.375,1,1,1.000,2,4,.500,3,9,12,4,0,0,1,3,15,10.8,-1
32,33,2016,21,82.5,0,23,6,10,.600,0,0,,3,4,.750,2,7,9,0,2,0,1,2,15,13.7,+9
33,34,2016,21,79.78,0,15,0,4,.000,0,1,.000,2,2,1.000,2,10,12,3,0,0,2,3,2,2.5,+4
34,35,2016,21,37.13,0,19,1,8,.125,0,0,,0,0,,3,6,9,4,0,1,2,1,2,1.8,-10
35,36,2016,21,74.1,0,29,1,4,.250,0,0,,4,4,1.000,1,9,10,1,1,0,5,4,6,2.1,+17
36,37,2016,21,51.92,0,23,1,7,.143,0,1,.000,0,0,,2,6,8,2,0,0,3,6,2,-3.3,+6
37,38,2016,21,40.71,0,26,5,12,.417,0,1,.000,1,1,1.000,1,6,7,1,1,0,0,6,11,6.4,-13
38,39,2016,21,82.66,0,25,3,8,.375,0,0,,1,2,.500,2,9,11,0,1,0,1,2,7,5.5,+2
39,40,2016,21,37.13,0,29,7,14,.500,0,0,,0,0,,3,6,9,3,0,1,4,4,14,8.1,-12
40,41,2016,21,40.71,0,24,3,10,.300,0,0,,0,0,,2,4,6,1,1,2,0,2,6,5.1,-28
41,42,2016,21,74.33,1,26,5,10,.500,0,0,,2,3,.667,1,10,11,2,0,1,1,3,12,10.2,-10
42,43,2016,21,74.1,1,30,2,11,.182,0,0,,2,4,.500,4,8,12,2,0,1,1,1,6,4.2,-14
43,44,2016,21,0.01,1,33,6,14,.429,0,0,,0,0,,3,11,14,1,0,0,0,3,12,9.5,-6
44,45,2016,21,70.98,1,24,4,7,.571,0,0,,3,5,.600,2,7,9,0,0,1,1,3,11,8.9,-21
45,46,2016,21,61.72,1,30,6,14,.429,0,2,.000,4,5,.800,0,11,11,2,0,2,2,4,16,10.7,+2
46,47,2016,21,60.17,1,26,4,8,.500,0,0,,6,6,1.000,0,8,8,1,1,1,2,2,14,12.0,-18
47,48,2016,21,39.08,1,34,9,16,.563,1,1,1.000,4,4,1.000,4,10,14,1,1,0,6,3,23,15.7,-1
48,49,2016,21,42.5,1,30,5,10,.500,0,0,,0,0,,1,10,11,2,0,0,2,4,10,6.5,-4
49,50,2016,21,89.27,1,32,7,14,.500,0,0,,1,2,.500,3,9,12,2,0,0,1,3,15,11.6,+9
50,51,2016,21,82.66,1,31,5,10,.500,0,0,,1,2,.500,0,8,8,3,0,0,1,5,11,7.1,+3
51,52,2016,21,0.01,1,30,5,12,.417,0,0,,5,6,.833,3,13,16,4,2,0,3,4,15,14.4,-4
52,53,2016,21,30.83,1,33,5,9,.556,1,2,.500,4,6,.667,4,15,19,3,0,0,5,3,15,13.1,-5
53,54,2016,21,44.91,1,26,2,7,.286,0,0,,3,4,.750,1,7,8,0,0,0,1,3,7,3.1,-25
54,55,2016,21,0.01,1,31,5,10,.500,1,1,1.000,0,1,.000,5,10,15,0,0,0,1,3,11,9.9,-5
55,56,2016,21,60.17,1,32,10,19,.526,0,1,.000,2,3,.667,4,8,12,0,0,0,1,4,22,14.9,-22
56,57,2016,21,78.61,1,26,1,5,.200,0,0,,3,6,.500,0,7,7,1,0,1,2,3,5,1.0,-21
57,58,2016,21,71.14,1,33,4,9,.444,0,0,,3,6,.500,4,10,14,0,0,0,2,2,11,8.1,-20
58,59,2016,21,71.14,1,24,6,12,.500,0,1,.000,5,8,.625,2,5,7,0,1,0,2,3,17,10.5,-22
59,60,2016,21,93.78,1,31,6,13,.462,0,0,,2,3,.667,0,13,13,1,1,0,2,3,14,9.3,-4
60,61,2016,21,77.21,1,31,5,11,.455,0,1,.000,7,8,.875,1,6,7,1,0,0,0,2,17,13.3,-21
61,62,2016,21,19.08,1,28,7,14,.500,1,2,.500,1,1,1.000,2,8,10,2,1,0,0,0,16,15.2,-20
62,63,2016,21,37.13,1,29,6,12,.500,0,0,,0,0,,3,11,14,2,0,0,1,5,12,9.8,+3
63,64,2016,21,61.64,1,30,9,16,.563,0,2,.000,5,6,.833,3,8,11,1,2,0,2,3,23,19.0,+7
64,65,2016,21,44.91,1,32,6,10,.600,0,0,,3,3,1.000,1,8,9,1,2,0,4,4,15,10.6,-12
65,66,2016,21,69.12,1,22,2,7,.286,0,0,,3,4,.750,1,7,8,1,0,0,3,3,7,1.8,-7
66,67,2016,21,74.1,1,30,5,12,.417,0,0,,4,6,.667,4,7,11,3,2,0,2,4,14,12.2,-15
67,68,2016,21,79.78,1,25,1,9,.111,0,0,,0,0,,0,9,9,0,0,0,1,1,2,-2.6,-8
68,69,2016,21,71.14,1,33,6,8,.750,0,0,,1,1,1.000,2,12,14,5,1,3,2,4,13,17.8,+10
69,70,2016,21,79.78,1,31,7,14,.500,0,1,.000,5,5,1.000,4,11,15,1,1,0,4,5,19,13.8,-22
70,71,2016,21,77.21,1,33,6,10,.600,0,0,,1,2,.500,0,18,18,10,0,1,2,2,13,18.3,+2
71,72,2016,21,53.94,1,29,7,11,.636,0,1,.000,0,0,,2,5,7,1,2,0,1,4,14,12.1,-7
72,73,2016,21,40.71,1,23,1,5,.200,0,0,,0,0,,0,1,1,0,0,0,1,2,2,-2.6,-38
73,74,2016,21,45.07,1,38,4,11,.364,0,0,,5,6,.833,2,12,14,3,1,0,1,5,13,11.6,-11
74,75,2016,21,35.42,1,29,7,11,.636,0,0,,6,8,.750,2,8,10,2,0,0,1,1,20,18.1,0
75,76,2016,21,39.08,1,31,0,6,.000,0,0,,4,4,1.000,3,9,12,4,0,1,3,2,4,4.3,-30
76,77,2016,21,39.08,1,26,3,11,.273,0,0,,1,2,.500,6,14,20,1,1,0,2,2,7,7.4,-9
77,78,2016,21,82.66,1,31,2,7,.286,0,0,,3,4,.750,2,2,4,6,1,0,1,3,7,7.5,-10
78,79,2016,21,74.33,1,29,4,8,.500,0,1,.000,3,3,1.000,0,7,7,4,1,0,4,4,11,7.3,-19
79,80,2016,21,51.92,1,27,4,11,.364,1,2,.500,0,0,,1,12,13,2,1,0,2,1,9,7.2,-28
80,81,2016,21,40.71,1,33,1,4,.250,0,0,,0,0,,0,9,9,1,1,1,1,2,2,2.9,+3
81,1,2016,21,60.31,1,29,9,11,.818,0,1,.000,0,1,.000,0,7,7,6,0,1,2,4,18,16.9,-8
82,2,2016,21,20.5,1,27,3,7,.429,1,1,1.000,0,0,,1,3,4,1,0,2,2,4,7,3.4,-8
83,3,2016,21,41.4,1,32,7,10,.700,0,1,.000,6,9,.667,1,8,9,3,3,0,2,4,20,19.2,-10
84,4,2016,21,55.34,1,20,3,6,.500,0,1,.000,3,3,1.000,0,10,10,0,1,0,3,6,9,4.6,+4
85,5,2016,21,24.19,1,28,3,7,.429,0,1,.000,3,4,.750,2,4,6,2,1,1,2,4,9,7.0,+10
86,6,2016,21,3.39,1,29,10,18,.556,0,1,.000,0,0,,6,8,14,2,1,1,5,3,20,14.9,+9
87,7,2016,21,90.19,1,27,6,9,.667,0,0,,6,6,1.000,0,5,5,4,1,0,1,4,18,16.8,+7
88,8,2016,21,53.97,1,31,6,12,.500,0,0,,3,4,.750,5,5,10,1,1,0,6,4,15,7.7,-16
89,9,2016,21,83.75,1,26,4,10,.400,0,1,.000,7,7,1.000,1,7,8,5,0,1,2,2,15,13.8,+8
90,10,2016,21,39.71,1,27,4,11,.364,0,0,,0,0,,2,9,11,8,2,2,1,3,8,12.8,+17
91,11,2016,21,89.66,1,28,5,8,.625,1,1,1.000,3,5,.600,1,5,6,3,1,0,4,2,14,10.1,-26
92,12,2016,21,74.88,1,31,5,8,.625,0,0,,7,10,.700,1,13,14,10,0,0,3,1,17,20.4,+15
93,13,2016,21,0.01,1,30,6,13,.462,0,1,.000,1,2,.500,1,8,9,7,0,0,2,2,13,11.1,-10
94,14,2016,21,36.65,1,25,6,11,.545,0,1,.000,2,4,.500,0,3,3,2,0,1,2,3,14,7.7,-9
95,15,2016,21,41.4,1,20,1,5,.200,1,1,1.000,0,0,,0,5,5,4,0,0,6,1,3,-2.2,-2
96,16,2016,22,39.71,1,21,6,9,.667,0,1,.000,0,2,.000,0,10,10,3,0,0,2,3,12,9.2,-17
97,17,2016,22,36.65,1,30,4,13,.308,0,0,,5,8,.625,9,11,20,2,2,0,5,4,13,10.7,-5
98,18,2016,22,46.79,1,22,4,8,.500,0,0,,0,0,,2,6,8,2,0,1,5,3,8,3.1,-12
99,19,2016,22,38.45,1,29,3,8,.375,0,1,.000,0,3,.000,2,4,6,2,0,0,1,5,6,1.4,-10
100,20,2016,22,20.5,1,36,5,12,.417,0,0,,1,2,.500,4,7,11,1,2,0,0,4,11,10.2,-8
101,21,2016,22,60.31,1,28,9,19,.474,0,1,.000,3,4,.750,5,5,10,1,0,0,3,2,21,12.8,-18
102,22,2016,22,90.19,1,33,4,11,.364,0,2,.000,6,7,.857,1,8,9,5,1,0,6,5,14,7.1,-3
103,23,2016,22,85.54,1,33,7,12,.583,0,0,,3,4,.750,2,8,10,4,0,0,1,4,17,15.0,-1
104,24,2016,22,83.75,1,28,1,7,.143,0,1,.000,0,0,,4,4,8,0,1,0,2,4,2,-1.1,-18
105,25,2016,22,74.88,1,31,2,8,.250,0,0,,2,5,.400,1,9,10,1,0,0,0,5,6,2.1,-7
106,26,2016,22,58.72,1,33,10,13,.769,0,0,,5,6,.833,1,8,9,4,3,0,5,4,25,21.8,+13
107,27,2016,22,71.18,1,28,8,15,.533,0,0,,0,1,.000,1,3,4,7,0,0,5,1,16,9.4,-3
108,28,2016,22,53.44,1,31,4,12,.333,0,0,,0,0,,1,6,7,4,0,5,3,5,8,5.0,-12
109,29,2016,22,48.9,1,31,5,11,.455,0,1,.000,3,4,.750,2,5,7,8,2,0,0,4,13,15.8,+12
110,30,2016,22,20.5,1,31,9,12,.750,1,1,1.000,6,8,.750,6,6,12,3,1,0,2,2,25,25.7,-8
111,31,2016,22,53.97,1,27,5,10,.500,0,1,.000,8,10,.800,1,3,4,3,0,0,4,3,18,10.7,-9
112,32,2017,22,46.79,1,35,3,10,.300,0,0,,9,10,.900,3,6,9,6,3,2,2,4,15,17.7,-7
113,33,2017,22,38.45,1,37,9,15,.600,0,0,,1,4,.250,2,12,14,11,1,0,2,3,19,21.4,+21
114,34,2017,22,76.15,1,36,4,13,.308,0,1,.000,9,11,.818,2,7,9,5,1,0,2,5,17,12.7,-17
115,35,2017,22,35.91,1,24,6,9,.667,0,0,,3,3,1.000,0,6,6,3,1,1,0,2,15,15.9,+11
116,36,2017,22,72.45,1,34,6,12,.500,1,1,1.000,6,8,.750,1,8,9,5,1,1,2,5,19,16.5,+12
117,37,2017,22,76.15,1,26,2,9,.222,0,0,,2,4,.500,2,8,10,3,0,0,2,5,6,1.6,-8
118,38,2017,22,0.01,1,33,8,13,.615,0,0,,6,7,.857,0,6,6,5,1,0,0,3,22,20.8,-30
119,39,2017,22,48.9,1,27,2,7,.286,0,0,,0,0,,1,7,8,2,0,0,3,4,4,-0.5,-9
120,40,2017,22,38.55,1,31,1,6,.167,0,0,,0,0,,1,9,10,4,0,0,3,2,2,0.6,-5
121,41,2017,22,96.95,1,25,2,8,.250,0,0,,3,3,1.000,3,4,7,7,1,0,5,4,7,4.8,-10
122,42,2017,22,55.34,1,34,7,13,.538,0,0,,2,3,.667,1,4,5,4,1,1,2,5,16,11.7,+1
123,43,2017,22,53.97,1,22,4,4,1.000,0,0,,1,2,.500,0,6,6,4,1,0,3,3,9,8.8,-13
124,44,2017,22,76.15,1,20,4,9,.444,0,0,,0,1,.000,1,4,5,1,0,0,2,2,8,2.7,-10
125,45,2017,22,61.36,0,5,1,4,.250,0,0,,0,0,,1,1,2,0,0,0,1,1,2,-0.8,-12
126,46,2017,22,85.54,1,17,7,14,.500,0,0,,0,0,,2,0,2,2,0,1,0,6,14,8.1,+6
127,47,2017,22,38.55,1,29,7,13,.538,0,0,,3,4,.750,1,5,6,1,0,0,3,3,17,9.0,-3
128,48,2017,22,62.42,1,25,6,12,.500,0,1,.000,3,6,.500,1,6,7,2,1,0,3,5,15,7.7,+7
129,49,2017,22,83.75,1,20,5,11,.455,1,1,1.000,0,0,,3,4,7,2,0,0,1,1,11,8.6,-9
130,50,2017,22,90.19,1,28,4,9,.444,0,0,,5,5,1.000,3,7,10,3,1,0,0,4,13,14.0,-30
131,51,2017,22,41.4,1,28,6,12,.500,0,1,.000,1,2,.500,3,8,11,3,1,0,1,5,13,11.2,-17
132,52,2017,22,0.01,1,27,2,9,.222,0,2,.000,2,6,.333,2,10,12,4,0,0,3,3,6,1.9,-17
133,53,2017,22,53.44,1,33,10,14,.714,0,1,.000,3,3,1.000,4,15,19,6,3,2,1,2,23,31.3,+3
134,54,2017,22,51.86,1,29,5,13,.385,0,0,,3,3,1.000,1,6,7,3,0,0,1,2,13,8.7,-31
135,55,2017,22,39.71,1,32,2,7,.286,0,0,,1,2,.500,2,10,12,6,1,0,2,5,5,6.1,-8
136,56,2017,22,53.97,1,35,3,8,.375,0,0,,7,8,.875,4,14,18,10,1,0,3,4,13,18.6,-15
137,57,2017,22,90.19,1,32,5,11,.455,2,3,.667,1,2,.500,4,4,8,4,1,1,2,3,13,12.2,-4
138,58,2017,22,58.72,1,34,8,18,.444,0,3,.000,5,6,.833,2,10,12,3,0,2,3,5,21,14.1,-11
139,59,2017,22,96.95,1,23,3,8,.375,1,2,.500,0,0,,2,6,8,2,0,1,2,2,7,5.1,-20
140,60,2017,22,60.31,1,29,13,17,.765,0,1,.000,6,9,.667,3,5,8,2,0,0,2,4,32,25.5,-20
141,61,2017,22,62.42,1,32,1,6,.167,0,1,.000,2,4,.500,5,7,12,8,0,1,5,2,4,5.5,-7
142,62,2017,22,71.18,1,37,3,9,.333,1,3,.333,3,4,.750,2,5,7,7,0,0,1,5,10,9.3,-5
143,63,2017,22,48.9,1,30,7,13,.538,1,2,.500,4,5,.800,3,4,7,3,1,1,1,3,19,17.2,-3
144,64,2017,22,89.66,1,34,8,14,.571,2,4,.500,5,6,.833,3,9,12,3,1,2,4,4,23,19.7,+11
145,65,2017,22,76.15,1,27,2,7,.286,0,0,,0,0,,0,9,9,2,1,1,2,3,4,2.5,-21
146,66,2017,22,61.36,1,32,2,7,.286,0,1,.000,2,2,1.000,0,6,6,5,0,1,3,2,6,4.1,-4
147,67,2017,22,89.66,1,28,5,12,.417,1,3,.333,1,1,1.000,6,7,13,1,0,1,3,5,12,8.3,-8
148,68,2017,22,48.9,1,22,5,10,.500,2,3,.667,2,3,.667,1,5,6,2,1,0,2,3,14,10.0,-26
149,69,2017,22,38.45,1,35,6,12,.500,1,4,.250,5,6,.833,3,8,11,0,1,1,1,0,18,16.8,-4
150,70,2017,22,0.01,1,28,4,10,.400,0,1,.000,3,3,1.000,1,7,8,3,0,1,3,3,11,7.0,+2
151,71,2017,22,83.75,1,33,10,13,.769,0,2,.000,5,7,.714,4,1,5,2,0,0,2,3,25,20.4,0
152,72,2017,22,89.66,1,27,5,9,.556,0,2,.000,3,5,.600,3,5,8,2,1,1,2,3,13,11.4,-5
153,73,2017,22,39.71,1,15,4,7,.571,0,0,,3,4,.750,0,5,5,2,0,0,0,4,11,8.6,-2
154,74,2017,22,3.39,1,24,6,10,.600,0,0,,1,1,1.000,1,7,8,3,0,0,1,1,13,11.9,-12
155,1,2017,22,72.19,0,17,4,8,.500,0,1,.000,1,2,.500,2,4,6,1,0,1,2,2,9,5.8,-25
