,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2015,21,35.42,0,19,3,4,.750,0,0,,4,5,.800,1,1,2,0,1,0,1,0,10,9.0,-4
1,2,2015,21,45.07,0,15,3,5,.600,0,1,.000,1,2,.500,1,1,2,1,0,0,0,0,7,6.0,+2
2,3,2015,21,44.91,0,13,1,4,.250,0,1,.000,0,0,,0,2,2,1,0,0,1,0,2,-0.1,-5
3,4,2015,21,61.64,0,4,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-1
4,5,2015,21,35.42,0,13,0,1,.000,0,0,,0,0,,1,2,3,0,1,1,0,0,0,2.3,-6
5,6,2015,21,89.27,0,21,4,8,.500,1,3,.333,2,3,.667,0,5,5,1,0,1,1,0,11,8.5,+6
6,7,2015,21,60.17,0,15,1,7,.143,0,2,.000,2,2,1.000,0,1,1,0,0,0,0,3,4,-1.4,-6
7,8,2015,21,82.5,0,20,3,5,.600,1,1,1.000,2,3,.667,0,3,3,0,2,0,1,0,9,8.2,0
8,9,2015,21,78.61,0,20,6,7,.857,4,4,1.000,1,2,.500,0,0,0,0,2,0,1,0,17,15.1,+18
9,10,2015,21,53.94,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
10,11,2015,21,60.17,0,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
11,12,2015,21,70.98,0,8,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,-0.7,+3
12,13,2015,21,51.68,0,11,3,4,.750,0,1,.000,1,2,.500,0,2,2,0,0,0,0,1,7,5.2,-3
13,14,2015,21,51.45,0,3,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,-9
14,15,2015,21,61.72,0,3,1,2,.500,0,0,,0,0,,1,0,1,1,0,0,0,0,2,2.4,+5
15,16,2015,21,71.14,0,1,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,0
16,17,2015,21,0.01,0,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
