,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2015,20,53.94,0,17,4,8,.500,0,2,.000,4,6,.667,4,3,7,1,0,1,0,0,12,12.3,+2
1,2,2015,20,51.92,0,17,4,4,1.000,1,1,1.000,6,8,.750,1,2,3,0,1,1,1,5,15,13.0,-6
2,3,2015,20,60.17,0,24,2,7,.286,0,1,.000,0,0,,2,5,7,1,2,2,3,1,4,3.5,-4
3,4,2015,20,82.66,0,4,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,1,2,2,-0.2,+3
4,5,2015,20,74.33,0,32,7,11,.636,0,0,,5,7,.714,4,4,8,1,0,1,1,1,19,17.3,-4
5,6,2015,20,51.45,0,11,2,8,.250,1,3,.333,0,0,,2,2,4,1,0,1,1,2,5,1.8,+4
6,7,2015,20,82.5,0,22,4,7,.571,1,3,.333,1,2,.500,3,3,6,2,1,0,0,1,10,11.3,+3
7,8,2015,20,30.83,0,17,1,5,.200,0,2,.000,2,3,.667,1,1,2,2,0,1,3,4,4,-1.0,-2
8,9,2015,20,100.01,0,15,1,3,.333,1,2,.500,1,2,.500,3,2,5,1,0,0,1,2,4,3.5,+1
9,10,2015,20,40.71,0,27,3,9,.333,0,1,.000,4,5,.800,3,2,5,3,1,4,0,4,10,11.5,-11
10,11,2015,20,53.94,0,31,4,10,.400,0,2,.000,4,6,.667,1,6,7,2,3,0,0,4,12,11.1,-10
11,12,2015,20,89.27,0,13,2,3,.667,0,0,,1,2,.500,2,0,2,2,0,2,1,1,5,6.1,-2
12,13,2015,20,74.1,0,20,3,7,.429,0,2,.000,0,0,,2,5,7,2,1,1,1,4,6,5.7,-6
13,14,2015,20,44.91,0,24,5,10,.500,1,2,.500,0,0,,3,3,6,1,0,3,2,3,11,8.6,+12
14,15,2015,20,69.12,0,17,0,4,.000,0,0,,2,4,.500,3,2,5,2,0,2,0,3,2,2.7,+4
15,16,2015,20,78.61,0,18,1,2,.500,0,1,.000,0,0,,0,5,5,1,1,0,2,2,2,1.4,+4
16,17,2015,20,35.42,0,21,5,7,.714,2,3,.667,0,0,,1,4,5,2,0,1,0,2,12,12.3,+11
