,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2019,23,45.48,0,8,0,4,.000,0,3,.000,0,0,,1,0,1,0,1,1,0,0,0,-0.4,-1
1,2,2019,23,7.78,0,28,3,5,.600,3,4,.750,2,2,1.000,2,2,4,1,1,2,0,2,11,13.0,+5
2,3,2019,23,33.99,0,23,1,6,.167,1,6,.167,2,2,1.000,1,4,5,0,0,0,0,3,5,1.9,-5
3,4,2019,23,63.2,0,31,3,7,.429,1,5,.200,0,0,,1,2,3,3,0,4,1,3,7,7.3,-1
4,5,2019,23,56.56,0,22,1,7,.143,0,5,.000,5,5,1.000,0,4,4,1,1,1,2,2,7,3.3,+6
5,6,2019,23,68.29,1,16,0,4,.000,0,2,.000,0,0,,1,1,2,1,1,0,1,4,0,-2.7,+8
6,7,2019,23,63.2,0,22,2,5,.400,1,3,.333,4,4,1.000,0,2,2,0,1,2,0,3,9,8.1,-12
7,8,2019,23,9.96,0,29,6,9,.667,3,5,.600,1,1,1.000,1,4,5,1,0,0,4,3,16,9.5,+10
8,9,2019,23,57.78,0,7,1,3,.333,0,2,.000,0,0,,1,1,2,0,0,1,1,5,2,-1.0,-3
9,10,2019,23,50.25,0,20,2,7,.286,0,1,.000,0,0,,1,3,4,1,0,3,0,2,4,3.5,+1
10,11,2019,23,66.51,0,10,3,4,.750,2,3,.667,0,0,,1,4,5,2,0,0,0,1,8,9.3,+13
11,12,2019,23,52.19,1,10,3,5,.600,2,3,.667,0,0,,0,2,2,1,0,0,0,5,8,5.0,-6
12,13,2019,23,100.01,0,19,2,5,.400,0,3,.000,0,0,,2,0,2,0,0,1,1,1,4,2.0,+4
13,14,2019,23,40.71,0,27,2,5,.400,1,4,.250,0,0,,0,5,5,1,1,1,0,3,5,5.0,+9
14,15,2019,23,66.51,1,27,3,6,.500,1,3,.333,0,0,,1,1,2,1,1,0,3,2,7,2.9,+5
15,16,2019,23,45.96,1,34,3,8,.375,2,5,.400,1,2,.500,2,9,11,6,0,1,1,4,9,10.6,+8
16,17,2019,23,9.96,1,28,3,6,.500,1,1,1.000,4,4,1.000,2,2,4,1,0,1,2,5,11,7.4,-11
17,18,2019,23,42.73,1,15,0,2,.000,0,2,.000,1,2,.500,0,1,1,2,0,0,3,2,1,-2.9,-10
18,19,2019,23,6.48,0,9,1,2,.500,1,2,.500,0,0,,0,3,3,0,0,0,0,2,3,2.1,-6
19,20,2019,23,24.36,1,17,1,4,.250,0,3,.000,0,0,,0,3,3,1,0,2,0,0,2,2.6,+3
20,21,2019,23,68.05,0,10,1,2,.500,1,2,.500,0,0,,0,3,3,2,0,0,2,1,3,1.9,+7
21,22,2019,23,69.91,1,6,1,2,.500,1,2,.500,0,0,,0,3,3,1,1,0,1,2,3,2.8,-9
