,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2018,24,18.05,1,36,9,21,.429,1,4,.250,4,5,.800,2,8,10,2,1,2,5,3,23,12.9,-8
1,2,2018,24,66.51,1,32,9,14,.643,0,3,.000,12,14,.857,1,11,12,3,1,4,2,4,30,29.3,+26
2,3,2018,24,24.36,1,33,13,26,.500,3,5,.600,3,4,.750,4,6,10,3,0,0,0,2,32,24.5,-8
3,4,2018,24,33.26,1,38,11,20,.550,0,4,.000,11,14,.786,1,10,11,7,0,3,1,5,33,29.9,+3
4,5,2018,24,0.01,1,35,9,24,.375,2,7,.286,10,13,.769,3,16,19,6,0,3,2,2,30,26.0,+3
5,6,2018,24,56.56,1,36,10,22,.455,1,5,.200,6,6,1.000,2,13,15,2,0,2,3,3,27,19.5,-2
6,7,2018,24,68.05,1,29,3,9,.333,0,2,.000,4,4,1.000,2,4,6,6,0,2,4,3,10,7.9,+12
7,8,2018,24,23.72,1,32,11,21,.524,3,4,.750,6,7,.857,5,6,11,4,0,1,2,4,31,25.5,-7
8,9,2018,24,52.19,1,33,16,32,.500,3,8,.375,6,9,.667,4,9,13,1,0,4,2,5,41,28.8,+16
9,10,2018,24,33.26,1,33,10,18,.556,1,3,.333,18,23,.783,0,17,17,1,0,2,4,5,39,29.6,+1
10,11,2018,24,39.57,1,32,4,8,.500,0,1,.000,8,10,.800,1,14,15,4,0,1,5,5,16,12.6,-5
11,12,2018,24,7.78,1,36,7,16,.438,1,5,.200,5,6,.833,1,9,10,2,1,3,5,2,20,13.3,+7
12,13,2018,24,56.56,1,39,11,18,.611,1,2,.500,19,22,.864,2,16,18,4,0,4,3,4,42,39.8,+9
13,14,2018,24,25.25,1,39,4,15,.267,0,6,.000,6,10,.600,2,14,16,5,1,1,6,5,14,6.3,+4
14,15,2018,24,23.8,1,35,8,15,.533,3,4,.750,16,20,.800,6,12,18,3,0,0,2,1,35,33.6,+12
15,16,2018,24,24.36,1,35,6,20,.300,4,7,.571,3,4,.750,0,13,13,10,0,2,2,2,19,16.5,+2
16,17,2018,24,6.48,1,26,7,20,.350,1,4,.250,8,9,.889,1,6,7,2,2,3,1,4,23,16.8,+12
17,18,2018,24,56.56,1,40,9,23,.391,2,5,.400,13,14,.929,2,9,11,3,1,2,4,5,33,22.7,-4
18,19,2018,24,74.04,1,35,12,23,.522,0,5,.000,9,12,.750,3,14,17,1,3,1,6,4,33,23.6,+18
19,20,2018,24,57.78,1,32,11,23,.478,2,4,.500,7,9,.778,5,14,19,2,0,2,7,5,31,20.0,-11
20,21,2018,24,100.01,1,32,8,13,.615,2,4,.500,6,8,.750,0,12,12,3,0,0,2,3,24,19.8,-19
21,22,2018,24,39.57,1,36,11,19,.579,0,3,.000,10,12,.833,2,10,12,4,0,2,4,4,32,25.3,+11
22,23,2018,24,68.29,1,30,10,21,.476,0,3,.000,6,8,.750,2,12,14,7,1,1,1,1,26,24.7,+25
23,24,2018,24,69.91,1,22,5,12,.417,1,3,.333,5,10,.500,5,10,15,0,0,3,0,0,16,16.2,+30
24,25,2018,24,25.25,1,37,4,13,.308,0,2,.000,7,8,.875,0,14,14,3,1,1,4,3,15,9.9,+13
25,26,2018,24,23.72,1,36,5,17,.294,0,4,.000,0,2,.000,2,10,12,5,0,2,4,5,10,2.6,-23
26,27,2018,24,33.26,1,32,6,16,.375,1,4,.250,11,14,.786,2,6,8,3,2,2,3,3,24,18.5,+30
27,28,2018,24,39.57,1,38,12,18,.667,2,3,.667,7,8,.875,3,14,17,6,1,1,6,5,33,29.0,+7
28,29,2018,24,7.78,1,34,13,22,.591,1,6,.167,13,16,.813,8,13,21,3,1,1,6,4,40,34.3,-4
29,30,2018,24,100.01,1,28,10,16,.625,0,1,.000,4,6,.667,1,8,9,2,0,1,3,1,24,17.8,+13
30,31,2018,24,50.25,1,29,6,17,.353,0,6,.000,1,1,1.000,3,8,11,5,0,0,4,0,13,7.5,-18
31,32,2018,24,68.29,1,25,10,17,.588,0,0,,4,4,1.000,3,7,10,3,0,1,4,4,24,17.5,+10
32,33,2018,24,23.72,1,30,10,15,.667,0,0,,7,9,.778,1,10,11,1,1,1,3,3,27,21.6,+15
33,34,2018,24,18.05,1,40,10,17,.588,2,4,.500,12,12,1.000,0,16,16,2,0,2,5,2,34,27.9,+2
34,35,2018,24,6.48,1,32,9,17,.529,2,6,.333,3,4,.750,2,13,15,6,0,5,4,6,23,20.9,+17
35,36,2019,24,52.19,1,35,9,19,.474,2,4,.500,8,12,.667,4,15,19,3,1,3,5,5,28,22.2,-4
36,37,2019,24,74.04,1,36,12,23,.522,1,1,1.000,17,19,.895,4,14,18,2,3,2,4,3,42,37.5,+6
37,38,2019,24,45.96,1,34,7,17,.412,1,3,.333,10,11,.909,0,12,12,5,1,1,2,4,25,20.7,+7
