,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
49,50,2016,23,82.66,1,34,8,14,.571,2,3,.667,0,0,,2,3,5,2,0,0,4,4,18,9.5,+17
50,51,2016,23,0.01,1,36,9,14,.643,1,2,.500,2,2,1.000,2,4,6,4,1,0,1,3,21,19.0,+2
51,52,2016,23,30.83,1,32,4,12,.333,0,2,.000,2,2,1.000,1,2,3,2,2,0,1,6,10,4.5,-3
52,53,2016,23,44.91,1,35,8,15,.533,3,5,.600,3,3,1.000,1,5,6,7,1,0,2,1,22,20.4,-11
53,54,2016,23,0.01,1,34,6,11,.545,4,5,.800,4,4,1.000,2,1,3,6,2,0,2,3,20,19.4,-7
54,55,2016,23,60.17,1,36,7,16,.438,2,5,.400,4,6,.667,4,5,9,4,1,0,1,4,20,16.3,-4
55,56,2016,23,78.61,1,24,5,10,.500,4,6,.667,1,1,1.000,1,2,3,3,2,0,3,2,15,11.6,-14
56,57,2016,23,71.14,1,40,10,18,.556,6,11,.545,2,3,.667,1,5,6,3,0,0,2,3,28,20.1,-17
57,58,2016,23,71.14,1,28,4,16,.250,0,7,.000,0,0,,0,2,2,2,1,0,0,0,8,1.4,-23
58,59,2016,23,93.78,1,34,6,15,.400,1,5,.200,3,4,.750,2,5,7,7,0,0,1,0,16,14.3,-2
59,60,2016,23,77.21,1,22,4,13,.308,3,8,.375,2,2,1.000,2,1,3,0,1,0,1,1,13,6.8,-3
60,61,2016,23,37.13,1,37,10,21,.476,4,7,.571,1,1,1.000,2,2,4,0,2,0,2,4,25,14.7,+11
61,62,2016,23,61.64,1,36,9,17,.529,5,12,.417,1,1,1.000,0,5,5,3,0,0,1,3,24,17.1,+15
62,63,2016,23,44.91,1,34,2,12,.167,0,6,.000,1,1,1.000,0,1,1,1,2,0,0,0,5,0.4,-17
63,64,2016,23,69.12,1,22,6,16,.375,0,3,.000,0,0,,2,1,3,2,3,0,1,3,12,7.1,-8
64,65,2016,23,74.1,1,26,5,16,.313,2,8,.250,0,0,,0,1,1,1,1,0,2,1,12,2.4,-16
65,66,2016,23,79.78,1,24,2,13,.154,1,5,.200,3,3,1.000,1,0,1,2,0,0,1,0,8,0.8,-14
66,67,2016,23,71.14,1,32,8,13,.615,2,3,.667,4,4,1.000,2,3,5,1,2,0,3,2,22,17.3,+14
67,68,2016,23,79.78,1,30,5,14,.357,1,5,.200,2,2,1.000,1,1,2,2,0,0,1,4,13,5.0,-14
68,69,2016,23,77.21,1,35,8,16,.500,4,7,.571,0,0,,0,4,4,1,1,0,0,3,20,13.7,-17
69,70,2016,23,53.94,1,30,1,7,.143,0,4,.000,0,0,,1,4,5,3,0,0,3,2,2,-2.3,-10
70,71,2016,23,40.71,1,34,5,18,.278,1,4,.250,1,2,.500,0,8,8,2,2,0,1,1,12,5.4,-36
71,72,2016,23,45.07,1,36,9,19,.474,2,6,.333,6,8,.750,2,4,6,1,1,0,0,0,26,19.8,-5
72,73,2016,23,35.42,1,36,6,16,.375,2,5,.400,3,4,.750,3,2,5,1,3,0,2,4,17,10.6,-6
73,74,2016,23,39.08,1,30,4,13,.308,2,6,.333,0,0,,0,1,1,1,2,0,1,2,10,3.7,-27
74,75,2016,23,39.08,1,32,5,15,.333,1,7,.143,2,2,1.000,0,2,2,2,2,0,1,3,13,6.3,-2
75,76,2016,23,82.66,1,34,10,15,.667,5,8,.625,1,2,.500,1,2,3,0,1,0,2,3,26,18.2,-5
76,77,2016,23,74.33,1,35,9,17,.529,3,8,.375,0,0,,2,6,8,4,0,0,3,0,21,15.7,-24
77,78,2016,23,51.92,1,34,2,14,.143,1,9,.111,6,6,1.000,1,1,2,4,0,0,3,2,11,2.0,-22
78,79,2016,23,40.71,1,34,6,10,.600,0,1,.000,0,0,,2,5,7,1,1,0,1,1,12,10.6,+9
79,1,2016,24,60.31,0,24,8,12,.667,2,3,.667,7,7,1.000,1,2,3,1,3,0,4,3,25,19.6,+6
80,2,2016,24,20.5,0,25,2,9,.222,0,3,.000,0,0,,0,2,2,0,0,1,3,2,4,-4.0,-2
81,3,2016,24,41.4,0,28,6,14,.429,0,3,.000,0,0,,2,3,5,2,3,0,4,2,12,6.5,-13
82,4,2016,24,55.34,0,30,7,16,.438,0,4,.000,1,1,1.000,1,0,1,0,0,0,0,2,15,6.5,-12
83,5,2016,24,24.19,0,23,8,13,.615,1,3,.333,1,2,.500,0,2,2,3,1,1,3,4,18,11.5,-5
84,6,2016,24,3.39,0,28,4,13,.308,1,3,.333,0,0,,0,1,1,5,2,0,1,1,9,5.9,+18
85,7,2016,24,90.19,0,30,8,16,.500,1,2,.500,1,2,.500,2,4,6,1,0,0,3,5,18,7.9,+13
