,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2015,23,51.68,1,29,6,15,.400,0,7,.000,0,0,,1,3,4,6,0,0,1,5,12,6.7,+7
1,2,2015,23,82.5,1,22,6,14,.429,3,6,.500,2,2,1.000,0,0,0,1,0,0,1,3,17,8.1,+15
2,3,2015,23,30.83,1,28,8,13,.615,1,3,.333,0,0,,1,4,5,1,4,0,3,4,17,13.1,+12
3,4,2015,23,70.98,1,23,4,10,.400,0,3,.000,2,2,1.000,1,1,2,4,1,0,0,4,10,7.8,-16
4,5,2015,23,77.21,1,22,3,7,.429,2,5,.400,0,0,,0,1,1,4,0,1,1,4,8,5.5,-2
5,6,2015,23,71.14,1,30,2,5,.400,1,3,.333,2,2,1.000,0,2,2,2,1,3,3,3,7,5.2,+4
6,7,2015,23,44.91,1,29,4,10,.400,2,7,.286,6,6,1.000,0,3,3,2,2,0,2,6,16,10.5,-10
7,8,2015,23,45.07,1,38,4,14,.286,1,5,.200,1,2,.500,0,1,1,3,2,0,1,3,10,3.6,+2
8,9,2015,23,19.08,1,36,8,17,.471,4,9,.444,0,0,,0,0,0,3,1,0,1,3,20,12.2,-4
9,10,2015,23,51.45,1,34,5,10,.500,2,4,.500,4,4,1.000,1,5,6,4,1,0,4,2,16,12.2,+12
10,11,2015,23,61.72,1,36,5,14,.357,0,4,.000,3,4,.750,1,0,1,4,1,0,3,3,13,5.1,-18
11,12,2015,23,51.92,1,20,3,6,.500,0,2,.000,3,5,.600,0,2,2,1,3,0,2,2,9,6.7,-2
12,13,2015,23,39.08,1,30,4,6,.667,0,0,,5,6,.833,0,4,4,5,0,0,2,4,13,11.1,+6
13,14,2015,23,82.66,1,33,5,15,.333,2,5,.400,4,4,1.000,1,1,2,4,2,0,1,3,16,11.1,+4
14,15,2015,23,37.13,1,34,4,12,.333,2,7,.286,2,2,1.000,0,0,0,3,1,0,1,2,12,6.5,+4
15,16,2015,23,61.64,1,24,1,8,.125,1,5,.200,0,0,,1,3,4,1,0,1,2,3,3,-2.4,-9
16,17,2015,23,30.83,1,20,2,5,.400,0,1,.000,2,2,1.000,0,4,4,2,0,0,0,6,6,3.5,+13
17,18,2015,23,74.1,1,33,6,12,.500,5,8,.625,0,0,,0,2,2,3,1,0,2,2,17,11.9,-15
18,19,2015,23,69.12,1,29,2,7,.286,0,4,.000,1,1,1.000,2,2,4,3,1,0,2,4,5,2.4,+18
19,20,2015,23,51.92,1,33,4,12,.333,1,6,.167,0,0,,0,5,5,1,0,0,2,2,9,1.6,-6
20,21,2015,23,51.92,1,37,8,17,.471,4,9,.444,3,4,.750,1,2,3,1,1,0,3,1,23,13.5,-4
21,22,2015,23,0.01,1,23,2,8,.250,0,2,.000,0,0,,0,2,2,2,0,0,2,1,4,-1.2,-34
22,23,2015,23,82.66,1,20,4,5,.800,1,1,1.000,0,0,,0,2,2,0,0,0,1,5,9,4.7,-20
23,24,2015,23,77.21,1,32,4,10,.400,1,5,.200,3,4,.750,0,4,4,5,1,0,0,2,12,11.1,+5
24,25,2015,23,79.78,1,34,3,8,.375,2,4,.500,6,8,.750,0,4,4,1,3,1,0,2,14,13.6,+33
25,26,2015,23,37.13,1,37,6,11,.545,3,5,.600,0,0,,0,4,4,3,1,0,3,3,15,9.8,-12
26,27,2015,23,39.08,1,25,6,13,.462,1,4,.250,2,2,1.000,0,0,0,1,0,0,1,2,15,7.2,+6
27,28,2015,23,82.5,1,27,4,15,.267,0,5,.000,5,5,1.000,1,3,4,1,1,0,2,4,13,3.8,-1
28,29,2015,23,89.27,1,34,1,13,.077,1,9,.111,3,4,.750,0,5,5,3,0,1,1,4,6,-1.4,-12
29,30,2015,23,70.98,1,29,7,16,.438,4,7,.571,0,0,,2,5,7,6,1,1,0,2,18,17.6,+27
30,31,2016,23,71.14,1,43,10,20,.500,5,10,.500,7,8,.875,1,7,8,0,1,1,2,4,32,22.5,+7
31,32,2016,23,74.33,1,35,6,9,.667,5,6,.833,6,8,.750,0,1,1,7,1,0,2,4,23,20.9,+1
32,33,2016,23,0.01,1,20,2,5,.400,1,2,.500,4,4,1.000,0,1,1,1,0,0,4,1,9,2.9,-21
33,34,2016,23,74.33,1,22,2,7,.286,1,6,.167,5,5,1.000,0,2,2,2,1,1,1,1,10,8.2,+4
34,35,2016,23,100.01,1,31,6,13,.462,1,2,.500,1,1,1.000,0,6,6,4,2,0,2,2,14,11.1,+18
35,36,2016,23,70.98,1,32,7,14,.500,3,5,.600,2,2,1.000,0,3,3,1,1,0,1,4,19,12.0,-6
36,37,2016,23,74.1,1,29,5,14,.357,2,8,.250,3,3,1.000,0,3,3,0,0,0,4,5,15,2.1,-4
37,38,2016,23,100.01,1,27,4,8,.500,4,6,.667,2,2,1.000,0,5,5,2,0,0,1,1,14,11.5,+22
38,39,2016,23,42.5,1,38,4,17,.235,2,10,.200,1,1,1.000,2,4,6,4,0,0,1,5,11,3.1,-3
39,40,2016,23,69.12,1,41,11,21,.524,5,10,.500,2,2,1.000,1,5,6,5,0,0,0,2,29,23.6,-3
40,41,2016,23,93.78,1,29,4,10,.400,1,2,.500,7,7,1.000,0,5,5,1,0,0,2,0,16,10.8,+11
41,42,2016,23,51.68,1,34,8,16,.500,6,9,.667,1,2,.500,1,1,2,2,2,0,1,1,23,17.6,-9
42,43,2016,23,42.5,1,31,8,16,.500,4,9,.444,4,4,1.000,0,4,4,4,1,0,1,1,24,19.6,+14
43,44,2016,23,89.27,1,36,8,16,.500,2,6,.333,4,4,1.000,0,1,1,4,1,0,2,3,22,14.9,+14
44,45,2016,23,60.17,1,32,7,16,.438,2,3,.667,3,3,1.000,1,4,5,3,0,0,3,6,19,9.2,0
45,46,2016,23,77.21,1,33,3,12,.250,1,6,.167,1,2,.500,0,1,1,1,0,1,3,3,8,-2.1,-3
46,47,2016,23,78.61,1,41,9,18,.500,3,9,.333,2,2,1.000,0,3,3,1,2,0,1,4,23,15.0,+8
47,48,2016,23,79.78,1,35,9,19,.474,3,7,.429,4,5,.800,1,3,4,1,1,0,1,3,25,16.0,+9
48,49,2016,23,61.72,1,43,12,26,.462,2,8,.250,3,4,.750,0,5,5,5,0,0,0,1,29,19.8,-7
