,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2015,22,51.92,0,12,2,4,.500,0,1,.000,0,0,,0,1,1,0,1,0,0,0,4,3.3,-10
1,2,2015,22,93.78,0,10,0,1,.000,0,0,,0,0,,0,2,2,0,1,1,0,3,0,0.4,+3
2,3,2015,22,35.42,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
3,4,2015,22,69.12,0,6,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,0.3,+3
4,5,2015,22,53.94,0,4,1,2,.500,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,1,4,2.9,+11
5,6,2015,22,42.5,0,12,2,5,.400,0,0,,0,2,.000,1,1,2,2,0,1,0,1,4,3.2,+1
6,7,2015,22,74.1,0,9,0,3,.000,0,0,,0,0,,2,2,4,0,0,1,0,1,0,0.2,-8
7,8,2015,22,70.98,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
8,9,2015,22,82.5,1,31,4,9,.444,2,2,1.000,0,0,,0,7,7,3,3,1,1,1,10,11.8,+20
9,10,2015,22,70.98,0,7,0,2,.000,0,1,.000,0,0,,0,3,3,1,0,1,2,1,0,-1.5,+1
10,11,2015,22,77.21,0,7,1,2,.500,0,0,,0,2,.000,0,0,0,1,0,0,0,0,2,0.9,-4
11,12,2015,22,82.66,0,7,0,1,.000,0,0,,1,2,.500,0,2,2,1,0,2,0,0,1,2.6,-1
12,13,2015,22,71.14,0,18,3,5,.600,0,0,,2,2,1.000,0,6,6,2,0,0,0,1,8,8.5,-1
13,14,2015,22,79.78,0,7,1,3,.333,0,0,,0,0,,0,0,0,0,2,0,1,0,2,1.3,+2
14,15,2015,22,61.72,0,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,+2
15,16,2015,22,77.21,0,28,1,3,.333,0,0,,3,4,.750,0,4,4,3,0,0,1,3,5,4.0,+19
16,17,2015,22,19.08,0,20,1,3,.333,1,1,1.000,2,2,1.000,0,6,6,1,1,0,1,0,5,5.8,-9
17,18,2015,22,60.17,0,4,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-8
18,19,2015,22,78.61,0,18,1,3,.333,0,1,.000,2,3,.667,0,5,5,0,3,1,2,2,4,4.3,+7
19,20,2015,22,71.14,0,15,0,2,.000,0,0,,0,0,,1,1,2,4,0,1,0,1,0,2.7,+3
20,21,2015,22,35.42,0,8,2,2,1.000,0,0,,0,0,,0,2,2,0,1,0,0,1,4,4.6,+5
21,22,2015,22,82.5,1,29,2,4,.500,0,0,,3,5,.600,0,5,5,1,0,0,0,3,7,5.2,+28
22,23,2015,22,51.45,0,12,2,3,.667,1,1,1.000,0,0,,0,1,1,2,0,0,0,0,5,5.4,+1
23,24,2015,22,100.01,0,20,0,1,.000,0,1,.000,0,0,,0,1,1,3,0,0,2,1,0,-0.7,0
24,25,2015,22,19.08,0,5,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,0,2,0.3,+1
25,26,2015,22,40.71,0,16,2,3,.667,0,0,,2,2,1.000,0,1,1,1,0,0,1,2,6,3.9,-2
26,27,2015,22,53.94,0,16,2,3,.667,0,0,,2,4,.500,0,1,1,2,0,2,1,2,6,5.2,+9
27,28,2015,22,30.83,0,4,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2
28,29,2015,22,89.27,0,20,5,6,.833,0,1,.000,0,0,,2,3,5,3,1,1,1,0,10,12.9,+14
29,30,2015,22,77.21,0,14,2,5,.400,0,0,,0,0,,1,2,3,0,0,0,1,0,4,1.6,+2
30,31,2015,22,89.27,0,10,2,2,1.000,0,0,,0,0,,0,2,2,0,1,1,2,0,4,3.7,+4
31,32,2015,22,79.78,0,9,3,3,1.000,0,0,,1,1,1.000,0,1,1,0,0,1,0,1,7,6.7,+7
32,33,2016,22,74.33,0,2,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,0
33,34,2016,22,78.61,0,8,1,2,.500,0,1,.000,0,0,,0,2,2,2,0,0,1,2,2,1.2,0
34,35,2016,22,40.71,0,19,6,9,.667,0,0,,1,1,1.000,1,2,3,2,1,0,1,2,13,11.0,+7
35,36,2016,22,93.78,0,17,1,2,.500,0,1,.000,3,4,.750,0,4,4,3,0,0,1,1,5,5.5,+7
36,37,2016,22,51.68,0,2,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2
