,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2015,22,61.72,0,20,4,13,.308,1,3,.333,0,0,,1,3,4,0,0,0,1,0,9,2.1,-4
1,2,2015,22,70.98,0,21,7,10,.700,1,2,.500,2,4,.500,1,5,6,1,0,0,1,2,17,13.1,+4
2,3,2015,22,70.98,0,18,0,6,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,3,0,-5.1,+2
3,4,2015,22,39.08,0,21,5,11,.455,0,1,.000,1,2,.500,4,1,5,1,1,0,0,2,11,8.9,-5
4,5,2015,22,74.1,0,26,6,9,.667,1,2,.500,0,0,,0,4,4,2,1,0,1,1,13,11.3,+15
5,6,2015,22,51.68,0,16,2,6,.333,0,0,,1,2,.500,2,1,3,0,1,0,0,3,5,2.7,-14
6,7,2015,22,51.92,0,23,7,10,.700,0,0,,3,3,1.000,0,2,2,0,0,0,2,0,17,11.4,+1
7,8,2015,22,39.08,0,25,7,10,.700,1,1,1.000,3,3,1.000,0,1,1,0,1,1,4,3,18,10.6,+5
8,9,2015,22,77.21,0,17,3,7,.429,0,1,.000,2,2,1.000,4,3,7,0,1,0,1,2,8,7.2,+2
9,10,2015,22,100.01,0,24,9,13,.692,0,0,,1,2,.500,2,2,4,0,2,0,0,1,19,16.7,+16
10,11,2015,22,77.21,0,11,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,1,0,0.3,-11
11,12,2015,22,82.66,0,21,3,9,.333,3,4,.750,0,0,,1,1,2,0,0,0,0,1,9,4.5,+2
12,13,2015,22,0.01,0,26,7,15,.467,0,1,.000,2,2,1.000,3,0,3,2,0,1,2,3,16,9.3,-13
13,14,2015,22,82.66,0,27,8,13,.615,0,0,,2,2,1.000,1,0,1,0,0,0,0,4,18,11.2,+4
14,15,2015,22,37.13,0,35,12,16,.750,2,3,.667,2,2,1.000,2,4,6,2,2,0,2,2,28,24.8,-5
15,16,2015,22,51.45,0,29,7,13,.538,0,1,.000,1,2,.500,3,8,11,0,1,3,0,2,15,15.1,+2
16,17,2015,22,93.78,0,18,3,6,.500,0,0,,0,0,,1,2,3,0,2,0,0,1,6,5.9,-7
17,18,2015,22,51.68,0,21,6,11,.545,0,1,.000,0,0,,1,3,4,1,1,0,0,3,12,8.8,+17
18,19,2015,22,53.94,0,21,5,9,.556,1,1,1.000,0,0,,0,0,0,2,0,0,1,4,11,5.5,-9
19,20,2015,22,71.14,0,13,3,4,.750,0,1,.000,0,0,,0,0,0,0,1,0,2,3,6,2.2,-14
20,21,2015,22,60.17,0,24,2,8,.250,0,0,,1,1,1.000,1,2,3,3,2,0,2,3,5,2.4,+4
21,22,2015,22,61.64,0,13,1,4,.250,0,1,.000,0,0,,1,1,2,1,0,0,0,0,2,1.3,-13
22,23,2015,22,70.98,0,14,1,2,.500,0,0,,1,2,.500,0,1,1,0,0,1,0,0,3,2.6,-5
23,24,2015,22,89.27,0,14,3,10,.300,0,1,.000,1,2,.500,3,2,5,0,1,0,0,2,7,3.7,-5
24,25,2015,22,61.72,0,19,3,5,.600,0,0,,4,5,.800,1,1,2,0,1,1,0,2,10,9.2,+8
25,26,2015,22,37.13,0,35,9,15,.600,0,1,.000,1,2,.500,2,6,8,3,1,2,1,3,19,17.2,0
