,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2015,20,82.5,0,1,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2
1,2,2016,20,93.78,0,1,0,0,,0,0,,0,0,,0,1,1,0,1,0,1,0,0,0.3,-1
2,3,2016,20,51.68,0,1,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-7
3,4,2016,20,35.42,0,1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
4,5,2016,20,82.66,0,2,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
5,6,2016,20,93.78,1,35,1,9,.111,1,7,.143,0,0,,1,0,1,1,1,1,3,2,3,-3.6,+6
6,1,2016,21,58.72,0,3,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,0,0,1.3,0
7,2,2016,21,100.01,0,3,1,2,.500,1,2,.500,0,0,,0,0,0,1,1,0,1,1,3,2.3,+6
8,3,2016,21,24.19,0,4,0,1,.000,0,0,,0,0,,1,2,3,2,0,0,1,1,0,0.6,+6
9,4,2016,21,72.45,0,4,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
10,5,2016,21,74.88,0,2,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,0.3,-3
11,6,2017,21,0.01,0,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
12,7,2017,21,74.88,0,2,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,0
13,8,2017,21,85.54,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
14,9,2017,21,71.18,0,17,5,11,.455,1,3,.333,0,0,,2,2,4,1,0,1,0,1,11,8.3,-3
15,1,2017,22,13.53,0,6,0,2,.000,0,2,.000,0,0,,0,1,1,1,1,0,0,1,0,0.2,+8
16,2,2017,22,26.49,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
17,3,2018,22,81.57,0,18,2,7,.286,0,3,.000,0,0,,2,1,3,1,1,0,1,3,4,1.1,-7
18,4,2018,22,75.99,0,8,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,1,0,1,0,-0.5,-2
19,5,2018,22,50.18,0,6,1,3,.333,0,1,.000,0,0,,2,0,2,0,0,0,0,0,2,1.7,+4
20,6,2018,22,76.43,0,13,1,3,.333,0,2,.000,3,4,.750,1,2,3,1,1,0,0,2,5,5.1,+1
21,7,2018,22,40.01,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
22,8,2018,22,74.31,0,12,2,5,.400,1,3,.333,0,0,,1,3,4,0,0,1,0,1,5,4.2,+13
23,9,2018,22,60.79,0,12,1,2,.500,1,2,.500,0,0,,0,1,1,1,0,1,1,0,3,2.7,-1
24,10,2018,22,43.25,0,15,2,6,.333,1,3,.333,2,2,1.000,1,2,3,0,0,1,2,0,7,3.6,-2
25,11,2018,22,100.01,0,4,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1
26,12,2018,22,8.95,0,7,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1,-3
