,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2015,21,82.5,1,32,3,8,.375,3,6,.500,4,4,1.000,0,2,2,5,2,1,1,3,13,13.2,+22
1,2,2015,21,51.45,1,28,2,11,.182,1,5,.200,1,2,.500,0,3,3,2,1,0,0,3,6,0.8,-6
2,3,2015,21,0.01,1,38,7,12,.583,1,5,.200,2,4,.500,1,1,2,3,4,1,1,3,17,16.2,-1
3,4,2015,21,30.83,0,21,1,6,.167,0,4,.000,6,8,.750,1,0,1,2,1,0,1,4,8,3.9,-20
4,5,2015,21,19.08,1,29,2,10,.200,1,5,.200,0,0,,0,3,3,3,0,0,3,1,5,-1.6,0
5,6,2015,21,51.92,1,33,9,14,.643,3,5,.600,5,8,.625,2,6,8,3,1,1,1,3,26,23.4,+7
6,7,2015,21,74.33,1,30,1,11,.091,0,6,.000,2,4,.500,1,8,9,6,5,0,5,3,4,2.0,+30
7,8,2015,21,61.72,1,25,1,7,.143,0,2,.000,0,0,,3,1,4,1,1,0,1,3,2,-0.6,-10
8,9,2015,21,93.78,1,21,2,5,.400,1,4,.250,2,2,1.000,0,2,2,4,1,0,2,5,7,4.7,+3
9,10,2015,21,69.12,0,13,2,6,.333,1,2,.500,1,1,1.000,1,2,3,1,0,0,0,2,6,3.8,-5
10,11,2015,21,100.01,0,10,2,6,.333,0,2,.000,0,0,,1,1,2,1,1,1,0,0,4,4.0,+5
11,12,2016,21,93.78,0,24,3,7,.429,0,3,.000,5,7,.714,3,0,3,1,3,0,0,3,11,11.1,0
12,13,2016,21,93.78,0,23,3,7,.429,0,1,.000,1,2,.500,4,0,4,3,1,0,0,3,7,7.6,+4
13,14,2016,21,51.68,0,25,1,10,.100,0,4,.000,0,1,.000,1,0,1,4,0,0,1,4,2,-4.1,-1
14,15,2016,21,60.17,0,29,3,11,.273,2,6,.333,2,2,1.000,2,3,5,2,2,0,0,3,10,8.0,+7
15,16,2016,21,71.14,0,23,2,9,.222,0,2,.000,0,0,,4,2,6,3,5,0,2,4,4,5.4,-1
16,17,2016,21,69.12,0,24,2,7,.286,1,2,.500,1,2,.500,0,6,6,4,0,0,0,5,6,4.1,+2
17,18,2016,21,30.83,0,30,2,9,.222,0,4,.000,1,1,1.000,1,6,7,1,1,1,3,2,5,0.6,+5
18,19,2016,21,79.78,0,32,4,12,.333,1,5,.200,1,2,.500,3,8,11,11,2,2,3,2,10,14.6,+9
19,20,2016,21,53.94,0,23,4,9,.444,0,3,.000,5,5,1.000,1,3,4,3,1,0,3,5,13,8.0,-10
20,21,2016,21,61.72,0,38,8,13,.615,2,4,.500,2,4,.500,1,7,8,3,2,0,1,4,20,17.6,-3
21,22,2016,21,51.45,0,24,2,5,.400,0,2,.000,2,2,1.000,0,4,4,4,1,0,1,4,6,5.7,+5
22,23,2016,21,60.17,0,28,3,12,.250,0,5,.000,2,2,1.000,4,1,5,2,1,1,1,0,8,6.0,+1
23,24,2016,21,82.5,0,28,6,11,.545,3,6,.500,1,2,.500,0,3,3,2,4,1,1,3,16,15.1,+2
24,25,2016,21,53.94,0,32,5,11,.455,2,5,.400,1,2,.500,1,5,6,5,2,0,1,4,13,12.0,+20
25,26,2016,21,77.21,0,27,0,5,.000,0,2,.000,4,4,1.000,0,2,2,3,3,0,0,2,4,5.4,+11
26,27,2016,21,61.64,0,28,5,9,.556,3,5,.600,3,5,.600,1,1,2,4,3,1,2,3,16,15.2,+24
27,28,2016,21,61.64,0,28,8,16,.500,5,9,.556,5,5,1.000,2,3,5,0,2,0,0,1,26,21.9,-2
28,29,2016,21,69.12,0,29,1,5,.200,0,3,.000,2,2,1.000,0,1,1,2,2,0,0,3,4,3.4,+4
