,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2018,23,33.18,0,25,7,16,.438,1,4,.250,0,0,,1,4,5,1,1,0,2,3,15,7.0,-14
1,2,2018,23,33.26,0,23,5,13,.385,2,3,.667,1,2,.500,2,4,6,1,0,0,0,3,13,7.6,-7
2,3,2018,23,45.96,0,24,8,14,.571,2,3,.667,2,3,.667,2,1,3,1,1,0,1,2,20,14.6,-11
3,4,2018,23,56.56,0,30,3,7,.429,0,2,.000,5,5,1.000,0,9,9,4,2,0,3,0,11,11.8,+7
4,5,2018,23,56.56,0,25,7,14,.500,2,5,.400,3,3,1.000,2,0,2,1,0,1,3,1,19,11.4,-18
5,6,2018,23,68.05,0,34,7,16,.438,3,6,.500,1,2,.500,2,6,8,3,1,2,3,1,18,13.5,+8
6,7,2018,23,41.19,0,26,7,15,.467,0,3,.000,1,5,.200,2,7,9,5,1,1,1,0,15,13.4,-1
7,8,2018,23,33.99,1,35,3,10,.300,0,4,.000,0,1,.000,0,9,9,0,0,0,1,4,6,-0.1,-3
8,9,2018,23,7.78,1,29,5,12,.417,0,1,.000,1,1,1.000,1,6,7,2,0,0,4,0,11,4.5,-6
9,10,2018,23,56.16,1,40,6,12,.500,1,3,.333,2,2,1.000,0,3,3,0,1,0,7,2,15,3.1,+3
10,11,2018,23,68.29,1,42,7,15,.467,0,2,.000,1,1,1.000,1,7,8,2,0,1,4,2,15,7.4,+6
11,12,2018,23,57.78,1,35,7,14,.500,0,3,.000,6,8,.750,0,13,13,3,0,0,2,3,20,15.0,-11
12,13,2018,23,100.01,1,30,5,13,.385,0,2,.000,3,4,.750,1,4,5,3,0,1,2,3,13,7.0,-9
13,14,2018,23,45.96,1,29,6,17,.353,0,4,.000,4,4,1.000,2,4,6,2,0,0,1,6,16,7.1,-1
14,15,2018,23,18.05,1,26,6,13,.462,2,4,.500,0,0,,0,5,5,2,0,1,5,1,14,5.5,-16
15,16,2018,23,0.01,1,33,9,19,.474,3,6,.500,0,0,,0,8,8,3,0,0,4,2,21,11.0,-15
16,17,2018,23,23.72,1,27,5,14,.357,2,4,.500,0,0,,1,5,6,2,2,0,3,3,12,5.6,-25
17,18,2018,23,74.04,1,39,6,10,.600,0,1,.000,8,10,.800,2,11,13,8,2,0,3,2,20,23.1,+14
18,19,2018,23,23.8,1,38,8,18,.444,0,4,.000,7,8,.875,3,7,10,1,1,1,3,4,23,15.2,-1
19,20,2018,23,63.2,1,38,11,18,.611,3,5,.600,2,4,.500,0,7,7,4,1,1,3,4,27,20.0,-9
20,21,2018,23,50.25,1,35,7,15,.467,2,6,.333,2,3,.667,2,8,10,2,2,0,1,1,18,15.7,+1
21,22,2018,23,0.01,1,33,9,21,.429,2,6,.333,4,7,.571,2,6,8,5,0,0,3,5,24,13.4,+7
22,23,2018,23,33.26,1,31,6,16,.375,0,4,.000,0,2,.000,3,3,6,0,1,0,2,4,12,2.8,-23
23,24,2018,23,56.16,1,32,8,15,.533,1,3,.333,4,5,.800,2,10,12,2,1,1,4,2,21,16.0,-12
24,25,2018,23,7.78,0,29,6,12,.500,0,2,.000,0,0,,2,6,8,1,0,0,4,2,12,5.1,-6
25,26,2018,23,9.96,0,23,6,14,.429,0,1,.000,4,5,.800,1,6,7,4,1,0,1,3,16,12.3,-5
26,27,2018,23,18.05,0,26,3,7,.429,0,0,,2,2,1.000,0,3,3,3,0,0,1,2,8,5.5,-29
27,28,2018,23,45.48,0,18,3,6,.500,1,1,1.000,0,0,,0,3,3,0,0,0,5,2,7,-0.9,-8
28,29,2018,23,24.36,0,4,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,0.3,-9
29,30,2019,23,7.78,0,14,2,8,.250,0,1,.000,0,0,,1,3,4,1,0,0,1,1,4,0.1,-9
30,31,2019,23,6.48,0,18,5,10,.500,1,2,.500,0,0,,0,7,7,2,0,0,0,1,11,9.1,+3
31,32,2019,23,40.71,0,16,7,10,.700,2,4,.500,2,4,.500,2,1,3,2,2,0,0,4,18,16.5,+5
32,33,2019,23,33.99,0,18,5,7,.714,2,3,.667,3,4,.750,1,2,3,2,0,1,1,1,15,13.7,-10
33,34,2019,23,23.8,0,17,3,6,.500,0,1,.000,5,5,1.000,1,4,5,2,0,0,2,3,11,8.1,0
34,35,2019,23,100.01,0,12,2,5,.400,2,3,.667,4,4,1.000,0,3,3,2,0,0,2,1,10,7.2,+3
35,36,2019,23,52.19,0,23,6,9,.667,2,3,.667,1,1,1.000,0,4,4,3,1,1,0,2,15,15.3,+3
36,37,2019,23,100.01,0,11,4,6,.667,0,2,.000,0,1,.000,0,1,1,1,0,0,0,2,8,5.2,-15
37,38,2019,23,39.57,0,22,10,15,.667,1,3,.333,1,2,.500,2,7,9,3,2,2,1,5,22,21.1,-6
38,39,2019,23,23.8,0,14,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,1,0,0,-1.1,-5
39,40,2019,23,100.01,0,23,3,6,.500,1,3,.333,0,0,,0,11,11,9,3,1,0,4,7,15.7,+16
40,41,2019,23,66.51,0,34,9,15,.600,0,3,.000,2,2,1.000,0,5,5,6,1,2,4,0,20,17.2,+5
41,42,2019,23,33.26,0,19,0,3,.000,0,3,.000,0,2,.000,1,4,5,2,0,0,2,3,0,-2.8,+7
42,43,2019,23,23.72,0,34,8,15,.533,1,3,.333,5,7,.714,2,7,9,4,1,0,4,2,22,16.4,-2
43,44,2019,23,56.56,0,25,2,8,.250,0,3,.000,0,0,,0,3,3,0,0,1,1,1,4,-0.6,-12
44,45,2019,23,7.78,0,27,4,8,.500,2,4,.500,2,3,.667,0,4,4,0,2,1,7,5,12,2.5,+1
45,46,2019,23,39.57,0,20,3,9,.333,1,1,1.000,2,4,.500,5,9,14,5,2,0,3,2,9,11.0,-2
46,47,2019,23,18.05,0,22,5,10,.500,1,3,.333,1,3,.333,2,3,5,4,0,0,4,2,12,6.5,+4
47,48,2019,23,63.2,0,25,9,13,.692,1,3,.333,3,3,1.000,2,4,6,1,1,2,1,1,22,20.8,+7
48,49,2019,23,45.96,0,28,10,11,.909,0,1,.000,0,0,,2,7,9,3,0,0,3,4,20,17.3,+7
49,50,2019,23,56.56,0,26,6,12,.500,1,4,.250,2,2,1.000,2,3,5,2,1,0,3,0,15,10.7,+4
50,51,2019,23,63.2,0,26,6,9,.667,3,5,.600,0,0,,1,7,8,3,1,1,5,1,15,12.3,-10
51,52,2019,23,45.48,0,23,7,13,.538,3,5,.600,1,2,.500,0,4,4,4,0,0,3,1,18,11.9,-14
52,53,2019,23,24.36,0,27,9,12,.750,1,2,.500,0,2,.000,1,8,9,1,1,0,3,4,19,13.6,+21
53,54,2019,24,56.56,0,35,7,12,.583,0,4,.000,3,4,.750,3,8,11,4,0,0,1,3,17,16.1,+7
54,55,2019,24,25.25,0,29,6,13,.462,1,3,.333,7,9,.778,2,9,11,2,1,1,5,1,20,14.3,+12
