,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2018,25,33.26,0,32,10,18,.556,0,3,.000,3,5,.600,0,4,4,6,1,0,4,1,23,15.6,+6
1,2,2018,25,68.29,0,31,4,12,.333,2,6,.333,0,0,,1,2,3,6,0,0,4,4,10,3.1,+2
2,3,2018,25,7.78,0,26,4,11,.364,2,5,.400,3,4,.750,0,1,1,4,1,0,1,4,13,8.0,-24
3,4,2018,25,100.01,0,20,3,6,.500,2,5,.400,0,0,,0,3,3,1,0,0,3,1,8,3.2,+1
4,5,2018,25,57.78,0,28,4,7,.571,3,5,.600,0,0,,0,3,3,5,1,2,2,2,11,11.7,+4
5,6,2018,25,41.19,0,23,4,9,.444,4,7,.571,0,0,,1,0,1,0,0,0,1,2,12,6.2,-23
6,7,2018,25,68.29,0,25,6,10,.600,2,6,.333,3,3,1.000,0,1,1,3,0,2,1,3,17,14.0,-6
7,8,2018,25,33.26,0,31,8,15,.533,5,9,.556,4,4,1.000,2,2,4,4,0,0,2,5,25,18.5,+7
8,9,2018,25,56.16,0,27,5,13,.385,1,6,.167,1,2,.500,0,0,0,3,0,0,3,4,12,2.0,-1
9,10,2018,25,33.18,0,22,4,10,.400,2,2,1.000,2,3,.667,0,1,1,8,0,0,1,4,12,9.5,+13
10,11,2018,25,74.04,0,29,5,7,.714,2,4,.500,0,0,,0,5,5,3,2,1,0,4,12,13.8,+20
11,12,2018,25,33.99,0,29,3,11,.273,1,5,.200,5,6,.833,2,4,6,6,0,1,0,2,12,11.8,-1
12,13,2018,25,41.19,0,21,5,9,.556,0,1,.000,4,4,1.000,1,1,2,6,1,0,2,3,14,12.7,-11
13,14,2018,25,63.2,0,28,5,10,.500,2,7,.286,2,2,1.000,0,0,0,3,1,0,3,6,14,6.7,0
14,15,2018,25,23.8,0,29,6,12,.500,1,5,.200,5,7,.714,1,2,3,5,1,0,4,1,18,12.6,-24
15,16,2018,25,69.91,0,31,8,13,.615,3,5,.600,6,9,.667,2,2,4,8,3,0,1,4,25,25.9,+7
16,17,2018,25,52.19,0,27,3,16,.188,1,6,.167,4,6,.667,2,2,4,7,0,0,4,6,11,0.7,-19
17,18,2018,25,23.8,0,30,5,12,.417,2,5,.400,4,4,1.000,0,2,2,7,1,0,2,2,16,13.3,+18
18,19,2018,25,45.96,0,28,5,11,.455,1,5,.200,8,10,.800,0,2,2,7,1,0,1,1,19,17.6,+11
19,20,2018,25,63.2,0,29,6,14,.429,2,8,.250,4,4,1.000,1,2,3,8,0,0,2,2,18,14.7,0
20,21,2018,25,33.18,0,28,11,15,.733,4,5,.800,5,6,.833,0,3,3,5,0,0,3,4,31,24.3,-4
21,22,2018,25,6.48,0,21,5,11,.455,2,6,.333,6,7,.857,0,3,3,0,0,2,2,6,18,9.8,-15
22,23,2018,25,25.25,1,42,5,14,.357,2,8,.250,3,4,.750,0,2,2,5,0,0,2,5,15,6.9,-16
23,24,2018,25,69.91,1,28,3,9,.333,0,3,.000,2,3,.667,0,2,2,8,0,0,3,0,8,5.7,-11
24,25,2018,25,100.01,1,32,6,14,.429,4,11,.364,2,3,.667,1,2,3,4,1,0,1,5,18,12.3,+8
25,26,2018,25,9.96,0,29,6,11,.545,1,4,.250,4,8,.500,0,0,0,2,1,2,1,3,17,11.7,-11
26,27,2018,25,23.72,0,30,7,17,.412,1,4,.250,2,2,1.000,1,1,2,8,1,0,3,2,17,11.7,-7
27,28,2018,25,68.29,0,29,10,17,.588,1,3,.333,4,8,.500,0,3,3,6,1,0,3,2,25,17.8,+1
28,29,2018,25,33.18,0,30,11,18,.611,4,6,.667,13,14,.929,0,2,2,5,1,0,4,1,39,31.1,+15
29,30,2018,25,69.91,0,31,8,15,.533,2,7,.286,9,11,.818,1,3,4,6,0,0,1,2,27,22.9,+1
30,31,2018,25,68.05,0,24,3,8,.375,1,3,.333,8,8,1.000,1,2,3,5,0,0,1,2,15,13.6,-9
31,32,2018,25,40.71,0,33,6,11,.545,2,5,.400,4,7,.571,0,1,1,6,0,0,3,0,18,13.0,-6
32,33,2018,25,66.51,0,31,8,15,.533,4,8,.500,7,8,.875,1,5,6,3,2,0,3,3,27,21.4,+11
33,34,2018,25,7.78,0,32,4,12,.333,1,5,.200,6,8,.750,0,1,1,9,1,0,5,2,15,9.2,-3
34,35,2018,25,74.04,0,26,7,14,.500,2,5,.400,8,9,.889,0,2,2,7,0,0,3,3,24,17.9,+1
35,36,2018,25,56.56,0,41,12,29,.414,7,16,.438,6,8,.750,0,2,2,11,0,0,1,1,37,27.6,+7
36,37,2018,25,56.56,0,27,1,7,.143,1,4,.250,0,0,,0,3,3,5,1,0,3,2,3,0.1,-3
37,38,2018,25,0.01,1,20,3,7,.429,2,4,.500,2,4,.500,0,3,3,5,1,0,2,3,10,7.7,-13
38,39,2019,25,57.78,0,24,5,12,.417,2,3,.667,6,6,1.000,0,0,0,4,0,0,3,3,18,10.2,+4
39,40,2019,25,25.25,0,27,3,9,.333,1,4,.250,6,7,.857,0,4,4,5,0,0,2,4,13,8.6,+17
40,41,2019,25,66.51,0,25,3,6,.500,0,2,.000,1,1,1.000,0,0,0,5,1,0,2,1,7,6.1,-4
41,42,2019,25,18.05,0,23,4,10,.400,1,6,.167,6,7,.857,0,2,2,1,0,0,1,1,15,9.1,-3
42,43,2019,25,68.05,0,29,5,14,.357,0,3,.000,6,7,.857,1,3,4,5,2,0,5,5,16,7.9,+17
43,44,2019,25,23.72,0,21,1,7,.143,1,1,1.000,5,6,.833,0,3,3,2,1,0,1,2,8,4.6,-24
44,45,2019,25,18.05,0,27,3,6,.500,2,3,.667,0,0,,0,1,1,2,0,1,3,4,8,2.8,+6
45,46,2019,25,56.16,0,32,13,22,.591,4,8,.500,3,4,.750,0,2,2,10,0,0,4,4,33,24.4,+5
46,47,2019,25,24.36,0,27,6,11,.545,3,7,.429,5,7,.714,0,2,2,3,0,0,4,1,20,12.2,+4
47,48,2019,25,45.48,0,28,3,12,.250,1,5,.200,4,5,.800,1,2,3,6,0,0,3,3,11,4.7,+16
48,49,2019,25,24.36,0,30,10,17,.588,2,8,.250,7,8,.875,1,2,3,3,1,0,1,1,29,23.7,-8
49,50,2019,25,56.56,0,23,6,13,.462,1,5,.200,2,3,.667,0,0,0,4,1,0,2,5,15,7.7,+2
50,51,2019,25,23.8,0,24,2,12,.167,0,4,.000,6,7,.857,0,1,1,4,1,1,3,2,10,3.0,-11
51,52,2019,25,45.96,0,20,6,8,.750,1,3,.333,3,5,.600,0,2,2,5,2,0,1,2,16,16.3,+18
52,53,2019,25,100.01,0,30,10,21,.476,3,8,.375,5,6,.833,1,3,4,5,1,1,1,3,28,21.5,+7
53,54,2019,25,68.05,0,30,7,14,.500,4,7,.571,5,8,.625,0,6,6,7,0,1,2,5,23,18.2,+11
54,55,2019,25,33.26,0,24,5,11,.455,2,7,.286,7,7,1.000,0,2,2,2,0,0,3,2,19,11.5,+21
55,56,2019,25,9.96,0,27,8,17,.471,2,6,.333,7,10,.700,0,5,5,2,0,1,3,1,25,15.3,-16
56,57,2019,25,6.48,0,24,7,16,.438,3,6,.500,5,5,1.000,0,1,1,2,1,0,2,2,22,13.5,-11
57,58,2019,25,52.19,0,33,2,16,.125,1,7,.143,8,12,.667,1,3,4,3,0,1,1,1,13,4.0,-14
