,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2016,21,37.13,0,4,0,5,.000,0,0,,3,4,.750,1,1,2,0,0,0,1,0,3,-0.9,-3
1,2,2016,21,70.98,0,14,4,7,.571,0,0,,4,9,.444,2,6,8,0,0,1,0,2,12,9.8,+7
2,3,2016,21,89.27,0,22,6,14,.429,0,0,,3,6,.500,3,7,10,2,0,5,1,5,15,12.5,+9
3,4,2016,21,71.14,0,18,2,8,.250,0,0,,2,3,.667,2,4,6,0,0,1,0,5,6,2.1,-4
4,5,2016,21,42.5,0,13,3,9,.333,0,0,,1,2,.500,4,3,7,0,1,1,0,3,7,5.7,+9
5,6,2016,21,37.13,0,14,3,8,.375,0,0,,2,2,1.000,2,2,4,1,0,1,2,2,8,4.2,0
6,7,2016,21,71.14,0,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,3,0,-2.2,-9
7,8,2016,21,19.08,0,6,1,4,.250,0,0,,2,2,1.000,1,0,1,0,0,0,1,2,4,0.5,-12
8,9,2016,21,35.42,0,12,1,5,.200,0,0,,0,3,.000,2,3,5,1,0,1,1,2,2,-0.4,-13
9,10,2016,21,53.94,0,15,3,7,.429,0,0,,2,2,1.000,1,4,5,2,0,1,0,2,8,7.5,-2
10,11,2016,21,30.83,0,16,2,6,.333,0,1,.000,3,4,.750,0,2,2,1,1,2,1,2,7,5.1,-12
11,12,2016,21,51.45,0,15,2,10,.200,0,0,,0,0,,3,4,7,1,1,0,1,3,4,0.6,+11
12,13,2016,21,40.71,0,14,1,3,.333,0,0,,3,4,.750,1,4,5,1,0,0,2,1,5,3.1,+1
13,14,2016,21,60.17,0,12,0,4,.000,0,0,,2,2,1.000,1,5,6,1,0,2,2,3,2,0.3,-2
14,15,2016,21,69.12,0,7,1,2,.500,0,0,,1,2,.500,0,1,1,0,1,0,1,1,3,1.5,+7
15,16,2016,21,93.78,0,17,3,9,.333,0,0,,2,2,1.000,2,4,6,1,2,0,1,2,8,6.4,+9
16,17,2016,21,51.68,0,24,8,12,.667,0,1,.000,0,0,,3,8,11,2,1,1,3,3,16,14.2,+2
17,18,2016,21,74.1,0,14,2,6,.333,0,0,,0,0,,2,3,5,2,0,2,0,5,4,3.7,-4
18,19,2016,21,35.42,0,11,1,1,1.000,0,0,,2,2,1.000,2,0,2,0,1,1,4,3,4,1.6,-1
19,20,2016,21,79.78,0,4,1,2,.500,0,0,,0,0,,1,2,3,0,2,1,1,1,2,3.6,0
20,21,2016,21,53.94,0,17,5,8,.625,0,0,,7,9,.778,2,2,4,1,1,2,2,3,17,14.5,+21
21,22,2016,21,19.08,0,25,5,10,.500,0,0,,0,0,,3,4,7,2,1,1,2,3,10,8.2,+7
22,23,2016,21,42.5,0,17,3,10,.300,0,0,,4,5,.800,1,2,3,1,1,1,3,2,10,3.7,+6
23,24,2016,21,44.91,0,25,5,7,.714,0,0,,1,4,.250,2,5,7,3,1,3,4,3,11,9.8,-13
24,25,2016,21,82.5,0,16,1,4,.250,0,0,,3,4,.750,0,5,5,0,2,4,2,5,5,4.5,+6
25,26,2016,21,100.01,0,26,7,11,.636,0,1,.000,4,6,.667,2,2,4,5,1,2,3,3,18,16.0,+13
26,27,2016,21,39.08,0,24,9,13,.692,0,0,,1,2,.500,4,3,7,3,0,1,3,3,19,15.4,+4
27,28,2016,21,74.1,0,16,4,10,.400,0,0,,1,4,.250,5,4,9,2,0,1,1,4,9,6.6,-16
28,29,2016,21,51.92,0,16,1,5,.200,0,0,,4,5,.800,2,3,5,2,0,2,1,3,6,5.4,-7
29,30,2016,21,0.01,1,34,10,18,.556,0,0,,1,2,.500,3,7,10,1,2,2,2,4,21,16.7,+9
30,31,2016,21,40.71,1,21,2,11,.182,0,0,,2,5,.400,2,2,4,1,0,2,1,3,6,-0.2,-12
31,32,2016,21,70.98,1,38,5,13,.385,0,0,,1,4,.250,6,8,14,4,5,3,8,5,11,9.2,-18
32,1,2016,22,39.71,1,26,9,13,.692,0,0,,5,6,.833,2,7,9,3,0,1,1,3,23,21.2,+2
33,2,2016,22,76.15,1,22,4,9,.444,0,0,,4,6,.667,4,5,9,1,0,1,2,2,12,9.4,+3
34,3,2016,22,46.79,1,38,5,14,.357,0,0,,3,7,.429,5,13,18,1,1,5,1,2,13,14.4,+5
35,4,2016,22,89.66,1,26,7,13,.538,0,0,,4,7,.571,2,3,5,1,2,1,1,4,18,13.6,+13
36,5,2016,22,38.55,1,23,5,8,.625,0,0,,0,0,,4,8,12,1,2,1,4,3,10,9.8,-23
37,6,2016,22,51.86,1,13,1,5,.200,0,0,,2,4,.500,1,5,6,2,1,1,2,0,4,3.4,+5
38,7,2016,22,38.45,1,28,5,7,.714,0,0,,1,1,1.000,1,6,7,3,0,1,6,5,11,5.4,-3
39,8,2016,22,3.39,1,16,4,5,.800,0,0,,1,2,.500,1,2,3,0,1,1,4,2,9,4.9,-24
40,9,2016,22,38.55,1,16,0,2,.000,0,0,,0,0,,2,0,2,0,1,0,2,0,0,-1.0,+3
41,10,2016,22,76.15,1,18,3,11,.273,0,0,,2,4,.500,4,5,9,1,0,1,2,2,8,3.6,-13
42,11,2016,22,90.19,1,15,0,4,.000,0,0,,0,0,,2,4,6,4,0,1,3,1,0,-0.1,+6
43,12,2016,22,46.79,1,24,5,9,.556,0,0,,4,6,.667,0,1,1,2,1,0,1,3,14,9.4,+3
