,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2015,22,30.83,0,7,1,1,1.000,0,0,,0,2,.000,0,1,1,0,0,0,2,3,2,-2.0,0
1,2,2015,22,100.01,0,23,6,9,.667,1,3,.333,4,5,.800,0,2,2,4,0,0,1,4,17,13.5,+1
2,3,2015,22,44.91,0,13,1,6,.167,0,1,.000,1,2,.500,0,1,1,1,1,0,1,2,3,-1.0,-10
3,4,2015,22,89.27,0,20,2,6,.333,0,2,.000,2,3,.667,0,1,1,2,1,0,0,2,6,4.1,-5
4,5,2015,22,53.94,0,16,2,7,.286,0,0,,2,3,.667,0,1,1,2,0,0,0,3,6,2.0,-20
5,6,2015,22,78.61,0,17,1,4,.250,0,1,.000,2,4,.500,0,2,2,3,0,0,1,2,4,1.7,-13
6,7,2015,22,100.01,0,4,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,0
7,8,2015,22,42.5,0,3,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,+2
8,9,2015,22,30.83,0,3,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
9,10,2016,22,45.07,0,3,0,2,.000,0,0,,0,0,,1,0,1,1,1,0,2,1,0,-1.4,-1
10,11,2016,23,45.07,0,15,2,5,.400,0,1,.000,2,4,.500,1,1,2,3,0,0,0,3,6,4.4,-8
11,12,2016,23,44.91,0,29,3,12,.250,0,2,.000,6,10,.600,2,3,5,5,0,0,0,0,12,9.0,+1
12,1,2016,23,0.01,0,9,2,3,.667,0,0,,0,0,,0,1,1,2,2,0,1,0,4,5.4,+9
13,2,2016,23,60.31,0,3,0,1,.000,0,0,,0,0,,0,0,0,2,0,1,1,1,0,0.0,+2
14,3,2016,23,100.01,0,13,0,3,.000,0,1,.000,0,0,,1,0,1,1,1,0,1,2,0,-1.5,-16
15,4,2016,23,72.45,0,4,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,1,0,-2.4,-2
16,5,2016,23,46.79,0,22,4,9,.444,0,3,.000,6,7,.857,1,3,4,1,0,1,3,4,14,7.3,+4
17,6,2016,23,3.39,0,11,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0.3,+2
18,7,2016,23,71.18,0,21,6,7,.857,1,1,1.000,0,1,.000,1,2,3,3,1,0,0,2,13,13.7,+14
19,8,2016,23,36.65,0,14,0,3,.000,0,0,,2,2,1.000,0,1,1,0,2,0,1,4,2,-0.4,-7
20,9,2016,23,61.36,0,22,2,2,1.000,0,0,,0,0,,0,0,0,3,0,0,4,2,4,0.7,-6
21,10,2017,23,20.5,0,12,3,6,.500,0,2,.000,1,3,.333,0,1,1,4,1,0,1,0,7,6.3,-1
22,11,2017,23,55.34,0,32,4,7,.571,1,1,1.000,4,4,1.000,1,2,3,3,1,2,1,3,13,13.3,+2
23,12,2017,23,71.18,1,17,2,3,.667,0,0,,3,3,1.000,0,5,5,2,0,0,2,5,7,4.6,-5
24,13,2017,23,58.72,0,25,3,5,.600,0,0,,3,4,.750,0,3,3,3,0,2,1,0,9,9.7,-18
25,14,2017,23,24.19,0,22,1,5,.200,0,0,,2,2,1.000,2,5,7,5,1,0,2,3,4,5.1,-16
26,15,2017,23,39.71,0,24,0,5,.000,0,4,.000,0,0,,0,7,7,4,1,1,1,3,0,0.9,+5
27,16,2017,23,46.79,1,27,3,7,.429,3,4,.750,1,2,.500,0,5,5,3,1,0,0,3,10,9.3,-14
28,17,2017,23,60.31,1,24,0,3,.000,0,1,.000,0,0,,1,1,2,8,0,0,2,5,0,0.5,-13
29,18,2017,23,46.79,1,23,1,3,.333,0,0,,3,4,.750,0,1,1,3,0,1,4,2,5,1.2,-5
30,19,2017,23,39.71,1,27,2,4,.500,1,1,1.000,5,6,.833,0,2,2,4,0,0,2,4,10,7.4,-5
31,20,2017,23,53.44,1,23,0,4,.000,0,1,.000,0,0,,1,4,5,2,0,0,0,3,0,-0.7,0
32,21,2017,23,0.01,1,31,6,9,.667,1,2,.500,0,0,,0,2,2,2,0,2,1,0,13,11.5,-4
33,22,2017,23,35.91,1,32,4,8,.500,1,3,.333,1,2,.500,0,5,5,4,0,0,1,3,10,7.7,+5
34,23,2017,23,71.18,1,26,3,5,.600,2,2,1.000,2,2,1.000,0,1,1,1,0,0,0,2,10,7.9,-21
35,24,2017,23,89.66,1,23,3,7,.429,0,2,.000,7,8,.875,0,4,4,5,1,0,1,2,13,12.8,-12
36,25,2017,23,35.91,1,24,3,7,.429,0,0,,4,4,1.000,1,4,5,2,0,0,0,2,10,8.8,-15
37,26,2017,23,85.54,0,18,1,6,.167,0,2,.000,1,2,.500,0,2,2,2,0,0,0,2,3,0.0,-11
38,27,2017,23,55.34,0,27,4,9,.444,3,4,.750,2,2,1.000,1,3,4,1,0,1,1,1,13,9.9,+4
39,28,2017,23,46.79,0,21,1,2,.500,1,1,1.000,4,4,1.000,0,0,0,3,1,1,2,1,7,7.4,-2
40,29,2017,23,53.44,1,22,2,5,.400,1,3,.333,2,2,1.000,0,0,0,4,1,0,0,1,7,7.7,-9
