,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2018,25,7.78,0,19,2,6,.333,0,0,,1,2,.500,0,2,2,1,0,0,2,2,5,-0.3,-11
1,2,2018,25,68.05,0,19,1,3,.333,0,1,.000,1,2,.500,0,4,4,4,4,1,3,2,3,5.8,+10
2,3,2018,25,6.48,0,20,2,5,.400,0,1,.000,0,0,,1,3,4,2,0,1,1,2,4,3.2,-3
3,4,2018,25,45.48,1,28,2,5,.400,0,0,,1,2,.500,2,7,9,1,1,0,1,3,5,4.9,-11
4,5,2018,25,74.04,1,20,1,4,.250,0,0,,0,0,,1,4,5,1,0,0,1,1,2,0.8,-10
5,6,2018,25,69.91,1,28,2,3,.667,0,0,,1,2,.500,3,8,11,3,4,0,1,1,5,12.5,+10
6,7,2018,25,6.48,1,31,0,4,.000,0,0,,2,4,.500,2,4,6,3,0,0,1,3,2,0.9,+3
7,8,2018,25,74.04,1,26,5,6,.833,0,0,,0,1,.000,1,4,5,1,0,1,3,0,10,7.7,+12
8,9,2018,25,41.19,1,29,1,5,.200,0,0,,2,2,1.000,0,4,4,5,4,0,0,2,4,8.8,-10
9,10,2018,25,33.99,1,32,5,9,.556,1,2,.500,3,4,.750,0,5,5,1,1,0,2,1,14,10.1,-1
10,11,2018,25,33.18,1,32,4,8,.500,0,0,,0,0,,5,8,13,1,1,1,2,1,8,9.9,+9
11,12,2018,25,6.48,1,37,3,11,.273,0,1,.000,1,2,.500,2,11,13,5,1,0,1,4,7,6.7,-6
12,13,2018,25,0.01,1,39,3,5,.600,0,0,,0,0,,1,7,8,5,0,1,2,5,6,6.7,+1
13,14,2018,25,45.48,1,30,1,4,.250,0,0,,0,0,,1,6,7,2,2,1,1,5,2,3.2,+12
14,15,2018,25,63.2,1,31,2,4,.500,0,1,.000,0,0,,0,3,3,7,2,1,1,4,4,7.9,+11
15,16,2018,25,45.96,1,33,4,6,.667,0,1,.000,0,0,,0,4,4,5,2,2,0,1,8,13.1,+16
16,17,2018,25,50.25,1,38,4,4,1.000,1,1,1.000,0,0,,0,9,9,2,0,2,1,3,9,11.1,-1
17,18,2018,25,52.19,1,39,5,14,.357,1,3,.333,0,0,,1,4,5,4,1,1,1,1,11,8.2,-7
18,19,2018,25,68.29,1,34,2,3,.667,0,0,,0,3,.000,1,5,6,3,1,2,1,3,4,6.0,-9
19,20,2018,25,23.72,1,34,6,8,.750,0,1,.000,1,1,1.000,2,3,5,1,1,0,1,3,13,11.6,-12
20,21,2018,25,39.57,1,24,3,7,.429,0,0,,0,0,,4,3,7,4,1,1,0,1,6,10.1,+5
21,22,2018,25,33.18,1,27,2,2,1.000,0,0,,1,1,1.000,0,3,3,5,0,1,1,3,5,7.3,-6
22,23,2018,25,52.19,1,28,3,5,.600,0,1,.000,1,2,.500,2,5,7,6,1,1,2,4,7,9.5,-4
23,24,2018,25,57.78,1,32,8,12,.667,1,1,1.000,2,4,.500,2,9,11,4,3,3,0,2,19,24.2,-2
24,25,2018,25,40.71,1,26,2,5,.400,0,1,.000,0,0,,1,3,4,4,0,0,1,5,4,2.7,-4
25,26,2018,25,33.99,1,28,4,10,.400,1,2,.500,0,0,,0,3,3,3,2,1,2,3,9,6.1,-10
26,27,2018,25,42.73,1,25,2,5,.400,0,1,.000,0,0,,1,11,12,2,0,0,1,2,4,4.9,+5
27,28,2018,25,23.8,1,15,2,3,.667,0,0,,4,4,1.000,0,2,2,0,0,1,1,3,8,5.8,0
28,29,2018,25,41.19,1,24,6,9,.667,0,2,.000,2,2,1.000,1,4,5,1,0,0,2,2,14,9.9,-8
29,30,2018,25,42.73,1,35,7,8,.875,0,1,.000,1,1,1.000,1,4,5,3,4,1,2,3,15,17.7,+6
30,31,2018,25,45.48,1,33,5,7,.714,0,1,.000,0,0,,0,6,6,2,1,0,1,3,10,9.1,-1
31,32,2018,25,40.71,1,23,1,5,.200,0,0,,0,0,,1,5,6,1,2,1,0,5,2,2.5,+4
32,33,2018,25,100.01,1,35,5,6,.833,1,1,1.000,4,5,.800,0,3,3,3,3,2,0,2,15,19.0,+13
33,34,2018,25,18.05,1,38,5,6,.833,0,1,.000,0,0,,0,5,5,2,4,0,2,3,10,11.5,-12
34,35,2018,25,56.16,1,38,9,13,.692,2,4,.500,0,6,.000,1,2,3,5,3,1,2,5,20,16.6,-15
35,36,2019,25,33.26,1,30,7,9,.778,0,0,,1,2,.500,1,4,5,1,0,1,2,2,15,11.6,-11
36,37,2019,25,39.57,1,37,5,10,.500,0,3,.000,1,1,1.000,3,8,11,10,0,1,2,1,11,15.8,+5
37,38,2019,25,50.25,1,28,3,6,.500,0,0,,1,2,.500,0,4,4,3,2,2,1,2,7,8.5,-17
38,39,2019,25,57.78,1,30,2,5,.400,1,2,.500,0,0,,1,4,5,5,0,1,3,1,5,5.0,-16
39,40,2019,25,50.25,1,33,3,7,.429,0,1,.000,3,4,.750,1,2,3,2,1,3,0,4,9,9.1,+4
40,41,2019,25,23.8,1,8,1,1,1.000,0,0,,0,0,,0,1,1,1,1,0,0,0,2,3.7,+7
41,42,2019,25,33.99,1,29,4,8,.500,0,0,,1,2,.500,2,3,5,3,1,1,4,5,9,4.7,+1
42,43,2019,25,63.2,1,34,6,10,.600,0,0,,2,3,.667,3,4,7,1,0,1,3,4,14,9.1,-6
