,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2018,27,33.26,1,37,6,14,.429,1,7,.143,0,0,,0,6,6,5,1,0,2,2,13,9.1,-2
1,2,2018,27,68.29,1,22,4,6,.667,3,4,.750,0,0,,0,4,4,1,0,0,4,5,11,4.3,+2
2,3,2018,27,7.78,1,31,6,11,.545,5,6,.833,2,3,.667,1,1,2,3,0,1,1,3,19,14.9,-11
3,4,2018,27,100.01,1,26,6,9,.667,4,5,.800,0,0,,1,5,6,2,1,0,2,3,16,13.5,+20
4,5,2018,27,57.78,1,26,3,6,.500,1,2,.500,0,0,,1,5,6,2,0,0,3,0,7,4.6,-4
5,6,2018,27,41.19,1,29,2,6,.333,2,6,.333,1,2,.500,1,2,3,3,0,0,2,4,7,3.0,+1
6,7,2018,27,68.29,1,27,4,9,.444,3,5,.600,0,0,,1,0,1,2,2,0,1,2,11,8.6,-11
7,8,2018,27,33.26,1,40,8,14,.571,4,7,.571,3,3,1.000,2,3,5,1,0,0,1,4,23,16.8,+2
8,9,2018,27,56.16,1,31,7,9,.778,4,4,1.000,0,0,,0,2,2,4,0,0,0,4,18,16.3,-9
9,10,2018,27,33.18,1,28,4,6,.667,3,4,.750,0,0,,1,0,1,3,1,0,1,2,11,10.4,+14
10,11,2018,27,74.04,1,28,5,11,.455,1,6,.167,0,0,,0,0,0,1,0,1,0,2,11,5.9,+23
11,12,2018,27,33.99,1,26,4,6,.667,2,2,1.000,1,1,1.000,1,3,4,0,1,0,3,4,11,6.4,-2
12,13,2018,27,41.19,1,20,9,12,.750,4,6,.667,2,2,1.000,1,0,1,2,1,0,2,4,24,18.7,+3
13,14,2018,27,63.2,1,33,3,15,.200,2,9,.222,0,0,,2,4,6,1,0,0,0,3,8,0.8,-3
14,15,2018,27,23.8,1,25,4,8,.500,1,3,.333,2,2,1.000,0,4,4,3,0,0,0,4,11,8.7,-18
15,16,2018,27,69.91,1,25,3,9,.333,1,6,.167,2,2,1.000,0,5,5,1,1,0,2,2,9,4.3,+10
16,17,2018,27,52.19,1,30,7,11,.636,2,3,.667,3,5,.600,0,1,1,4,1,0,0,3,19,16.2,-4
17,18,2018,27,23.8,1,28,4,10,.400,0,5,.000,3,4,.750,0,3,3,0,0,0,1,3,11,3.9,+10
18,19,2018,27,45.96,1,28,3,11,.273,1,7,.143,1,2,.500,2,1,3,4,1,0,2,6,8,2.2,-5
19,20,2018,27,63.2,1,33,5,13,.385,4,10,.400,4,4,1.000,2,4,6,4,0,0,2,3,18,13.1,-11
20,21,2018,27,33.18,1,29,4,10,.400,1,5,.200,0,0,,0,3,3,0,1,1,2,4,9,2.6,-6
21,22,2018,27,6.48,1,29,2,4,.500,2,4,.500,2,2,1.000,0,2,2,2,3,0,0,1,8,10.6,-8
22,23,2018,27,9.96,1,33,6,12,.500,3,4,.750,4,5,.800,1,6,7,2,1,0,0,5,19,15.5,+10
23,24,2018,27,23.72,1,35,2,8,.250,1,3,.333,1,1,1.000,3,6,9,2,0,0,3,3,6,2.3,-1
24,25,2018,27,68.29,1,27,4,9,.444,2,4,.500,1,2,.500,0,3,3,3,0,0,2,2,11,6.1,+7
25,26,2018,27,33.18,1,29,5,9,.556,2,3,.667,2,2,1.000,0,1,1,2,0,1,0,3,14,10.9,-13
26,27,2018,27,69.91,1,30,8,13,.615,3,7,.429,0,0,,0,2,2,6,1,1,1,1,19,18.2,+3
27,28,2018,27,68.05,1,25,4,7,.571,3,6,.500,5,6,.833,0,1,1,6,1,0,1,2,16,16.0,+16
28,29,2018,27,40.71,1,37,7,13,.538,3,4,.750,2,2,1.000,1,3,4,2,1,0,0,3,19,15.5,+6
29,30,2018,27,66.51,1,28,4,9,.444,3,5,.600,0,0,,1,3,4,4,0,0,3,2,11,6.9,+1
30,31,2018,27,7.78,1,31,5,8,.625,3,5,.600,0,0,,0,4,4,2,0,0,3,2,13,8.2,-6
31,32,2018,27,74.04,1,32,4,8,.500,3,7,.429,2,2,1.000,0,3,3,2,0,0,1,1,13,9.9,+12
32,33,2018,27,56.56,1,41,11,14,.786,5,8,.625,0,0,,1,4,5,2,2,0,2,2,27,24.1,+8
33,34,2018,27,56.56,1,27,2,6,.333,0,1,.000,0,0,,1,2,3,0,0,1,1,3,4,0.4,-26
34,35,2018,27,0.01,1,21,5,8,.625,4,5,.800,1,1,1.000,0,2,2,2,0,0,1,1,15,12.0,-16
35,36,2019,27,57.78,1,29,9,16,.563,3,4,.750,0,0,,2,0,2,1,1,0,2,3,21,13.3,-10
36,37,2019,27,25.25,1,29,7,11,.636,3,5,.600,1,1,1.000,1,4,5,4,1,0,2,4,18,15.2,+4
37,38,2019,27,66.51,1,20,1,5,.200,0,4,.000,0,0,,0,3,3,4,0,0,3,4,2,-2.0,+13
38,39,2019,27,68.05,1,30,6,12,.500,4,7,.571,0,0,,3,6,9,2,0,1,3,2,16,12.2,0
39,40,2019,27,23.72,1,21,2,7,.286,1,3,.333,2,2,1.000,0,3,3,1,0,0,2,3,7,1.3,-10
40,41,2019,27,18.05,1,34,4,10,.400,1,6,.167,4,4,1.000,0,8,8,3,1,0,3,0,13,10.1,+10
41,42,2019,27,56.16,1,43,6,12,.500,2,4,.500,3,4,.750,1,3,4,7,0,0,2,2,17,14.3,+19
42,43,2019,27,24.36,1,29,4,13,.308,3,8,.375,0,0,,0,1,1,4,1,0,3,2,11,3.8,+6
43,44,2019,27,45.48,1,29,8,14,.571,3,4,.750,0,0,,2,5,7,2,2,0,1,2,19,16.9,+17
44,45,2019,27,24.36,1,30,5,10,.500,1,4,.250,2,2,1.000,1,3,4,3,0,0,1,3,13,9.5,0
45,46,2019,27,68.29,1,27,3,11,.273,2,6,.333,2,4,.500,1,6,7,3,0,0,3,2,10,3.5,+7
46,47,2019,27,18.05,1,19,2,8,.250,1,4,.250,0,0,,0,1,1,0,0,1,0,2,5,0.4,-8
47,48,2019,27,66.51,1,32,5,11,.455,2,7,.286,5,5,1.000,0,5,5,3,1,0,1,2,17,14.1,+1
48,49,2019,27,50.25,1,32,7,10,.700,3,5,.600,1,1,1.000,0,2,2,3,0,1,3,2,18,13.4,-11
49,50,2019,27,24.36,1,28,3,12,.250,0,5,.000,0,0,,0,1,1,4,0,0,2,2,6,-0.9,-20
50,51,2019,27,33.99,1,31,7,13,.538,3,6,.500,0,0,,0,5,5,2,1,0,1,3,17,12.4,-4
51,52,2019,27,66.51,1,31,7,13,.538,3,7,.429,2,2,1.000,0,2,2,5,0,0,2,3,19,13.6,-10
52,53,2019,27,23.72,1,29,7,9,.778,7,8,.875,3,3,1.000,0,2,2,4,0,0,1,0,24,22.9,-3
53,54,2019,27,100.01,1,48,9,12,.750,4,5,.800,3,3,1.000,0,4,4,2,0,0,1,3,25,20.6,+11
54,55,2019,27,42.73,1,28,5,10,.500,0,3,.000,3,4,.750,2,2,4,0,0,1,1,2,13,8.5,-30
55,56,2019,27,56.56,1,32,5,7,.714,3,4,.750,6,6,1.000,0,2,2,4,1,1,0,2,19,20.4,+14
56,57,2019,27,50.25,1,31,5,7,.714,5,6,.833,0,1,.000,0,1,1,3,0,0,1,0,15,13.1,+13
57,58,2019,27,69.91,1,25,2,7,.286,2,5,.400,0,0,,2,1,3,2,0,0,3,2,6,1.2,-22
58,59,2019,27,56.56,1,28,4,7,.571,1,4,.250,0,0,,2,5,7,2,1,1,2,2,9,8.9,-26
59,60,2019,27,23.8,1,26,6,11,.545,2,5,.400,1,1,1.000,0,3,3,0,0,2,4,1,15,7.6,-27
60,61,2019,27,45.96,1,27,5,7,.714,1,2,.500,0,0,,0,2,2,2,0,0,1,1,11,8.7,+9
61,62,2019,27,100.01,1,32,4,10,.400,1,3,.333,0,2,.000,1,1,2,3,1,0,2,1,9,4.5,+4
62,63,2019,27,68.05,1,33,3,10,.300,1,6,.167,4,6,.667,1,4,5,2,0,0,3,2,11,3.9,-1
63,64,2019,27,33.26,1,22,3,6,.500,1,3,.333,5,6,.833,0,4,4,3,1,0,1,3,12,10.7,+10
64,65,2019,27,9.96,1,30,4,8,.500,3,6,.500,2,2,1.000,2,4,6,2,0,1,2,2,13,10.9,-17
65,66,2019,27,6.48,1,22,2,8,.250,0,2,.000,2,2,1.000,0,3,3,0,0,0,0,0,6,2.1,-7
66,67,2019,27,52.19,1,29,4,10,.400,3,6,.500,1,1,1.000,0,4,4,2,1,1,3,4,12,6.3,+13
