,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2018,23,56.16,0,23,9,15,.600,2,4,.500,5,6,.833,2,6,8,3,0,0,0,4,25,21.4,+5
1,2,2018,23,45.48,0,24,6,12,.500,1,2,.500,0,4,.000,0,14,14,0,0,0,1,4,13,7.0,+14
2,3,2018,23,52.19,0,21,5,9,.556,1,2,.500,7,7,1.000,2,3,5,0,2,0,2,6,18,13.6,-6
3,4,2018,23,39.57,0,23,7,14,.500,0,1,.000,0,1,.000,3,4,7,3,1,2,2,1,14,12.0,-12
4,5,2018,23,6.48,1,18,5,11,.455,0,3,.000,2,2,1.000,1,2,3,0,1,1,3,4,12,4.7,-17
5,6,2018,23,33.99,0,26,8,13,.615,0,0,,8,11,.727,1,7,8,6,1,1,5,4,24,19.0,-2
6,7,2018,23,41.19,0,22,3,6,.500,0,0,,5,6,.833,3,7,10,2,0,0,4,3,11,8.0,-23
7,8,2018,23,42.73,0,25,9,16,.563,0,2,.000,11,12,.917,1,5,6,3,1,0,3,5,29,21.3,-13
8,9,2018,23,50.25,0,26,3,9,.333,0,2,.000,4,12,.333,2,4,6,2,1,1,2,2,10,4.6,-14
9,10,2018,23,9.96,0,28,10,10,1.000,2,2,1.000,4,4,1.000,1,7,8,1,1,2,1,3,26,26.7,+2
10,11,2018,23,66.51,0,23,5,8,.625,1,2,.500,1,2,.500,1,4,5,5,0,0,2,2,12,10.6,+4
11,12,2018,23,74.04,1,37,9,19,.474,1,4,.250,3,4,.750,7,8,15,3,0,2,5,1,22,17.3,+25
12,13,2018,23,23.72,1,35,7,12,.583,0,1,.000,3,5,.600,2,10,12,4,0,0,2,2,17,15.0,+15
13,14,2018,23,63.2,0,14,1,4,.250,0,1,.000,1,4,.250,1,2,3,0,0,0,5,4,3,-5.9,-7
14,15,2018,23,68.29,0,30,7,10,.700,0,2,.000,5,8,.625,3,8,11,2,1,0,3,4,19,15.9,+4
15,16,2018,23,33.99,0,27,8,13,.615,0,1,.000,5,7,.714,4,6,10,3,3,1,1,3,21,22.5,-1
16,17,2018,23,50.25,0,25,9,13,.692,0,1,.000,3,3,1.000,6,8,14,10,1,0,0,2,21,29.3,+12
17,18,2018,23,33.18,0,28,6,13,.462,2,2,1.000,8,9,.889,4,6,10,3,0,1,2,5,22,18.3,-10
18,19,2018,23,68.29,0,28,5,15,.333,0,1,.000,3,4,.750,5,5,10,2,0,0,1,1,13,9.1,-3
19,20,2018,23,69.91,1,38,10,16,.625,1,3,.333,8,10,.800,2,13,15,7,1,0,2,4,29,28.6,-4
20,21,2018,23,18.05,0,21,3,8,.375,0,1,.000,9,10,.900,2,3,5,2,1,1,3,2,15,11.8,-2
21,22,2018,23,69.91,0,26,10,15,.667,0,1,.000,3,3,1.000,4,8,12,0,1,1,7,3,23,15.2,+18
22,23,2018,24,23.8,0,25,2,6,.333,0,1,.000,4,6,.667,2,8,10,2,0,1,4,2,8,4.9,-14
23,24,2018,24,56.56,0,20,5,13,.385,0,1,.000,3,4,.750,3,6,9,0,0,0,4,5,13,3.4,+2
24,25,2018,24,52.19,1,39,15,24,.625,3,4,.750,4,7,.571,1,7,8,4,0,0,0,6,37,28.2,+7
25,26,2018,24,45.96,1,35,11,16,.688,2,3,.667,3,7,.429,2,16,18,1,0,0,1,2,27,23.7,+21
26,27,2018,24,25.25,1,34,10,19,.526,1,3,.333,5,8,.625,3,10,13,3,2,0,2,3,26,21.5,+7
27,28,2018,24,33.26,1,33,11,19,.579,0,2,.000,6,7,.857,2,4,6,5,0,2,1,5,28,23.2,+18
28,29,2018,24,18.05,1,28,7,13,.538,0,0,,6,8,.750,2,9,11,4,0,0,5,4,20,13.2,-4
29,30,2018,24,9.96,1,31,9,16,.563,0,2,.000,4,8,.500,2,10,12,3,0,1,3,4,22,15.4,+15
30,31,2018,24,23.8,1,30,6,13,.462,1,1,1.000,4,5,.800,2,8,10,2,1,1,1,4,17,14.2,-9
31,32,2018,24,40.71,1,33,9,15,.600,0,1,.000,3,5,.600,0,8,8,2,0,1,3,3,21,13.6,-16
32,33,2018,24,45.48,1,30,8,16,.500,0,1,.000,2,4,.500,0,9,9,2,0,0,4,6,18,6.9,-3
33,34,2018,24,45.96,1,37,5,16,.313,2,4,.500,11,13,.846,0,4,4,3,1,0,2,5,23,13.3,+14
34,35,2018,24,45.96,1,37,9,19,.474,0,2,.000,4,5,.800,5,7,12,2,0,0,1,4,22,16.3,+12
35,36,2018,24,56.16,1,39,10,19,.526,1,2,.500,2,4,.500,4,7,11,4,2,1,4,2,23,18.5,-2
36,37,2018,24,63.2,1,37,13,23,.565,2,4,.500,5,6,.833,3,7,10,3,0,0,0,5,33,26.0,-6
37,38,2019,24,39.57,1,34,8,13,.615,0,1,.000,5,9,.556,2,2,4,2,1,2,2,4,21,15.7,+5
38,39,2019,24,100.01,1,32,8,14,.571,1,3,.333,5,5,1.000,2,10,12,8,1,0,2,1,22,24.0,+28
39,40,2019,24,25.25,1,33,5,9,.556,0,1,.000,5,6,.833,1,8,9,2,0,0,4,3,15,9.6,0
40,41,2019,24,100.01,1,27,4,8,.500,0,2,.000,9,9,1.000,1,7,8,4,0,2,2,2,17,17.2,+14
41,42,2019,24,63.2,1,33,7,13,.538,0,1,.000,8,10,.800,2,9,11,3,0,0,2,3,22,17.9,-10
42,43,2019,24,52.19,1,33,10,19,.526,0,3,.000,7,9,.778,1,5,6,5,1,0,3,2,27,19.8,+21
43,44,2019,24,41.19,1,21,6,8,.750,3,3,1.000,8,8,1.000,0,7,7,3,0,0,1,4,23,21.4,-5
44,45,2019,24,42.73,1,36,8,16,.500,1,3,.333,2,2,1.000,1,8,9,4,1,2,4,5,19,13.3,-16
45,46,2019,24,25.25,1,27,6,9,.667,0,1,.000,8,11,.727,1,11,12,5,2,0,7,4,20,15.8,+10
46,47,2019,24,33.26,1,33,6,14,.429,0,1,.000,1,1,1.000,1,12,13,2,0,2,3,5,13,7.7,-1
47,48,2019,24,66.51,0,30,10,18,.556,4,6,.667,7,9,.778,3,4,7,3,0,0,2,2,31,24.2,+12
48,49,2019,24,63.2,0,24,4,11,.364,0,3,.000,4,4,1.000,1,7,8,1,3,1,3,4,12,8.5,-15
49,50,2019,24,25.25,0,30,7,13,.538,0,3,.000,7,11,.636,3,3,6,2,1,1,4,4,21,13.6,-18
50,51,2019,24,24.36,0,21,6,11,.545,3,5,.600,0,0,,0,4,4,4,0,2,3,2,15,11.3,-21
51,52,2019,24,9.96,1,38,11,21,.524,2,3,.667,9,12,.750,4,7,11,6,1,1,4,3,33,27.1,+19
52,53,2019,24,7.78,1,25,5,11,.455,3,5,.600,2,3,.667,0,4,4,2,1,0,5,4,15,5.9,-11
53,54,2019,24,40.71,1,38,9,17,.529,2,7,.286,4,6,.667,1,2,3,5,1,0,4,2,24,15.9,+2
54,55,2019,24,33.18,1,34,6,18,.333,0,1,.000,7,9,.778,6,8,14,1,3,2,0,4,19,18.1,+1
55,56,2019,24,40.71,1,39,11,22,.500,2,7,.286,11,12,.917,1,5,6,3,1,1,2,4,35,26.0,-10
56,57,2019,24,74.04,1,27,8,14,.571,1,3,.333,5,7,.714,1,2,3,3,0,0,2,2,22,15.2,+7
57,58,2019,24,33.99,1,37,10,20,.500,3,6,.500,5,10,.500,4,6,10,4,1,1,2,4,28,21.5,+10
58,59,2019,24,6.48,1,38,10,23,.435,0,2,.000,10,12,.833,1,7,8,5,2,1,0,4,30,24.5,+17
59,60,2019,24,6.48,1,35,9,18,.500,1,3,.333,4,6,.667,0,6,6,3,0,1,5,5,23,10.8,-4
60,61,2019,24,23.72,1,32,6,15,.400,0,4,.000,6,7,.857,3,6,9,7,0,0,4,2,18,13.5,-19
61,62,2019,24,68.05,1,34,8,18,.444,4,6,.667,3,3,1.000,0,3,3,1,1,1,0,3,23,15.7,+2
62,63,2019,24,0.01,1,35,10,19,.526,1,6,.167,2,4,.500,3,3,6,4,1,0,4,4,23,14.1,-11
63,64,2019,24,42.73,1,42,20,34,.588,2,7,.286,3,11,.273,5,6,11,6,2,3,7,3,45,31.4,-9
64,65,2019,24,74.04,1,31,8,20,.400,0,3,.000,5,8,.625,5,6,11,5,1,0,5,4,21,12.2,-5
