,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2018,25,40.71,0,27,7,11,.636,5,8,.625,5,5,1.000,0,2,2,2,1,0,0,1,24,21.7,+18
1,2,2018,25,50.25,0,20,1,5,.200,1,3,.333,0,0,,0,1,1,3,1,0,0,0,3,3.3,-5
2,3,2018,25,69.91,0,30,5,10,.500,3,6,.500,2,2,1.000,2,6,8,3,0,1,2,3,15,12.8,0
3,4,2018,25,24.36,0,17,2,6,.333,0,2,.000,0,0,,0,2,2,1,0,0,1,2,4,0.1,-4
4,5,2018,25,23.8,0,13,2,4,.500,0,0,,1,1,1.000,1,1,2,0,0,0,1,1,5,2.6,-8
5,6,2018,25,7.78,0,24,3,6,.500,2,3,.667,2,2,1.000,0,3,3,5,0,0,2,0,10,9.4,+6
6,7,2018,25,56.16,0,23,3,10,.300,2,6,.333,2,2,1.000,1,2,3,0,0,0,1,1,10,4.1,0
7,8,2018,25,57.78,0,20,4,6,.667,2,3,.667,0,0,,0,0,0,3,1,0,0,1,10,10.1,-1
8,9,2018,25,40.71,0,15,1,5,.200,1,4,.250,0,0,,0,0,0,4,0,0,1,1,3,1.3,-23
9,10,2018,25,63.2,0,9,1,4,.250,1,3,.333,2,2,1.000,1,3,4,0,1,0,1,0,5,4.2,+12
10,11,2018,25,0.01,0,13,1,4,.250,0,2,.000,0,0,,0,2,2,2,0,0,1,0,2,0.6,+2
11,12,2018,25,52.19,0,17,3,8,.375,1,5,.200,1,2,.500,0,3,3,2,0,1,1,3,8,4.0,+3
12,13,2018,25,18.05,0,13,1,4,.250,1,3,.333,0,0,,0,1,1,0,1,0,1,0,3,0.9,-7
13,14,2018,25,40.71,0,14,0,2,.000,0,0,,0,0,,0,1,1,2,1,0,1,1,0,-0.1,-6
14,15,2018,25,63.2,0,15,4,5,.800,0,1,.000,0,0,,0,2,2,1,0,0,2,1,8,5.0,-19
15,16,2018,25,69.91,0,13,2,4,.500,1,2,.500,0,0,,0,1,1,1,0,0,2,0,5,2.0,-13
16,17,2018,25,68.29,0,17,3,6,.500,2,4,.500,1,1,1.000,1,0,1,3,1,0,0,1,9,9.4,+1
17,18,2018,25,0.01,0,16,2,8,.250,1,6,.167,0,0,,0,2,2,1,0,0,1,1,5,0.1,-19
18,19,2018,25,41.19,0,9,2,5,.400,1,1,1.000,0,0,,0,0,0,0,0,1,1,0,5,2.0,-11
19,20,2018,25,52.19,0,6,2,3,.667,0,1,.000,0,0,,0,0,0,2,0,0,0,0,4,4.1,+9
20,21,2018,25,24.36,0,19,5,9,.556,5,8,.625,3,3,1.000,0,1,1,2,0,0,3,1,18,12.0,-17
21,22,2018,25,33.99,0,9,1,3,.333,0,1,.000,1,1,1.000,0,1,1,0,0,0,1,1,3,0.2,+1
22,23,2018,25,50.25,0,18,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,1,2,3,-0.5,-21
23,24,2018,25,45.96,0,14,3,7,.429,0,3,.000,0,0,,1,2,3,1,0,0,0,1,6,3.9,0
24,25,2018,25,74.04,0,27,3,7,.429,0,4,.000,3,4,.750,1,1,2,3,1,0,3,2,9,5.2,-8
25,26,2018,25,63.2,0,11,1,5,.200,1,3,.333,1,2,.500,1,1,2,1,0,0,1,0,4,1.2,-7
26,27,2018,25,56.16,0,5,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-11
27,28,2018,25,25.25,0,20,3,6,.500,1,2,.500,0,0,,0,2,2,2,1,1,1,1,7,6.3,-8
28,29,2018,25,23.72,0,19,4,9,.444,1,5,.200,4,4,1.000,0,2,2,2,0,0,2,0,13,8.3,+15
29,30,2018,25,52.19,0,14,3,6,.500,0,1,.000,0,0,,0,2,2,1,0,0,1,2,6,2.5,-12
30,31,2018,25,25.25,0,14,3,5,.600,0,2,.000,2,2,1.000,0,2,2,0,1,0,1,0,8,6.3,+18
31,32,2018,25,6.48,0,13,2,6,.333,0,1,.000,0,0,,1,2,3,1,1,0,0,0,4,3.6,-20
32,33,2018,25,45.96,0,13,1,3,.333,0,2,.000,0,0,,0,2,2,3,0,0,1,0,2,2.0,+3
33,34,2018,25,6.48,0,12,0,3,.000,0,2,.000,0,0,,0,2,2,2,0,0,0,0,0,-0.1,-7
34,35,2018,25,41.19,0,11,2,5,.400,2,4,.500,0,0,,0,2,2,1,1,0,0,0,6,5.6,+2
35,36,2018,25,41.19,0,10,1,3,.333,1,3,.333,0,0,,0,4,4,0,0,0,1,0,3,1.5,-9
36,37,2018,25,33.18,0,13,2,5,.400,2,2,1.000,0,0,,0,1,1,0,0,0,2,0,6,1.6,-2
37,38,2019,25,45.48,0,9,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,1,2,0,-2.5,-5
38,39,2019,25,66.51,0,15,3,4,.750,2,3,.667,0,0,,0,3,3,3,0,0,0,0,8,9.4,+10
39,40,2019,25,56.56,0,19,5,7,.714,1,3,.333,2,3,.667,0,5,5,3,1,0,1,1,13,12.9,+5
40,41,2019,25,33.99,0,7,1,3,.333,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,2.3,-1
41,42,2019,25,45.48,0,7,1,4,.250,0,3,.000,0,0,,0,1,1,0,0,0,0,1,2,-0.5,-12
42,43,2019,25,100.01,0,15,2,7,.286,1,4,.250,0,0,,0,1,1,0,1,0,0,0,5,2.2,-6
43,44,2019,25,68.05,0,4,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-8
44,45,2019,25,68.29,0,20,1,9,.111,1,7,.143,0,0,,1,4,5,1,0,1,2,2,3,-2.4,-16
45,46,2019,25,39.57,0,23,2,4,.500,1,2,.500,2,2,1.000,0,0,0,0,1,0,0,3,7,4.8,-11
46,47,2019,25,25.25,0,5,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-8
47,48,2019,25,42.73,0,4,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.0,-5
48,49,2019,25,68.29,0,6,0,1,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,0,0,0.3,+3
49,50,2019,25,33.26,0,16,2,5,.400,0,1,.000,4,4,1.000,1,2,3,0,0,0,0,0,8,6.6,-10
50,51,2019,25,24.36,0,13,2,5,.400,1,2,.500,2,2,1.000,0,3,3,0,0,0,0,1,7,4.8,+17
51,52,2019,25,39.57,0,15,2,5,.400,2,4,.500,0,0,,0,2,2,0,0,0,1,2,6,2.1,-12
52,53,2019,25,23.8,0,11,2,6,.333,2,4,.500,2,2,1.000,0,1,1,1,0,0,0,0,8,5.6,-6
