,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2018,27,74.04,0,17,6,8,.750,0,1,.000,4,6,.667,2,3,5,0,1,1,0,1,16,15.6,0
1,2,2018,27,63.2,0,16,6,7,.857,1,2,.500,6,8,.750,2,4,6,2,0,1,3,3,19,16.2,0
2,3,2018,27,66.51,0,16,3,6,.500,0,2,.000,6,6,1.000,1,3,4,4,2,0,0,2,12,14.6,+2
3,4,2018,27,68.05,0,12,4,4,1.000,0,0,,0,0,,1,3,4,2,0,1,0,3,8,9.3,+14
4,5,2018,27,23.72,0,14,2,2,1.000,0,0,,0,0,,0,2,2,0,2,0,2,3,4,2.8,-9
5,6,2018,27,6.48,0,11,2,4,.500,0,1,.000,0,0,,1,1,2,0,1,0,1,4,4,1.4,-12
6,7,2018,27,50.25,0,11,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,3,0,-0.6,-16
7,8,2018,27,40.71,0,17,4,6,.667,0,0,,4,6,.667,4,4,8,1,0,0,3,3,12,9.1,+13
8,9,2018,27,68.29,0,15,3,5,.600,2,3,.667,0,0,,0,2,2,0,1,1,0,4,8,6.4,-4
9,10,2018,27,69.91,0,15,2,4,.500,0,1,.000,3,4,.750,0,4,4,1,0,1,1,1,7,5.8,+6
10,11,2018,27,6.48,0,10,1,2,.500,0,0,,4,5,.800,1,1,2,1,0,1,0,2,6,6.2,0
11,12,2018,27,9.96,0,20,3,5,.600,0,2,.000,1,1,1.000,0,3,3,0,1,0,1,2,7,4.8,+17
12,13,2018,27,66.51,0,16,3,5,.600,1,3,.333,4,6,.667,2,2,4,0,1,2,0,1,11,11.9,+16
13,14,2018,27,6.48,0,25,4,8,.500,1,4,.250,4,5,.800,0,5,5,4,1,1,1,4,13,12.0,+34
14,15,2018,27,41.19,0,17,3,6,.500,0,1,.000,1,1,1.000,2,2,4,0,1,0,0,1,7,6.6,-11
15,16,2018,27,56.16,0,18,3,4,.750,0,1,.000,0,0,,0,3,3,0,1,1,0,3,6,5.8,+27
16,17,2018,27,40.71,0,16,5,9,.556,0,3,.000,7,8,.875,1,6,7,2,0,0,1,5,17,13.2,-2
17,18,2018,27,52.19,0,16,3,4,.750,0,0,,2,2,1.000,2,5,7,2,0,1,1,4,8,8.8,-3
18,19,2018,27,42.73,0,15,2,6,.333,2,3,.667,1,2,.500,3,1,4,1,0,0,2,4,7,2.7,+5
19,20,2018,27,57.78,0,23,4,7,.571,0,2,.000,4,5,.800,3,7,10,0,0,2,2,2,12,11.1,-10
20,21,2018,27,56.16,0,16,1,4,.250,0,1,.000,0,0,,0,3,3,3,1,0,2,2,2,0.8,-5
21,22,2018,27,24.36,0,20,7,12,.583,0,4,.000,2,3,.667,1,3,4,1,0,0,2,3,16,9.1,+10
22,23,2018,27,68.05,0,14,2,4,.500,0,1,.000,1,3,.333,0,1,1,0,0,0,1,5,5,-0.5,+5
23,24,2018,27,74.04,0,15,1,4,.250,0,3,.000,4,4,1.000,4,4,8,1,0,1,3,3,6,4.8,+3
24,25,2018,27,45.48,0,18,3,5,.600,0,1,.000,2,2,1.000,2,1,3,2,1,1,0,2,8,9.7,+1
25,26,2018,27,33.99,0,16,3,5,.600,1,2,.500,1,2,.500,0,2,2,1,0,0,1,2,8,4.8,-27
26,27,2018,27,52.19,0,6,1,2,.500,0,0,,2,3,.667,1,2,3,0,0,0,0,2,4,3.1,-6
27,28,2018,27,42.73,0,18,5,11,.455,0,3,.000,4,4,1.000,2,0,2,0,0,0,0,2,14,8.9,-1
28,29,2018,27,57.78,0,17,2,4,.500,0,2,.000,1,2,.500,1,2,3,0,0,1,0,4,5,3.0,+3
29,30,2018,27,57.78,0,13,3,6,.500,0,1,.000,4,5,.800,3,5,8,1,0,0,0,6,10,8.5,-6
30,31,2018,27,9.96,0,14,2,7,.286,0,0,,2,4,.500,1,1,2,0,0,0,1,1,6,0.7,-6
31,32,2018,27,9.96,0,15,1,1,1.000,0,0,,1,2,.500,0,3,3,0,0,2,3,6,3,-0.8,+1
32,33,2019,27,56.56,0,23,5,6,.833,2,3,.667,3,3,1.000,3,5,8,2,2,1,1,1,15,19.1,+23
33,34,2019,27,18.05,0,17,3,8,.375,0,3,.000,0,0,,2,6,8,0,1,0,0,0,6,5.8,-22
34,35,2019,27,33.18,0,17,5,6,.833,0,0,,3,5,.600,2,1,3,1,1,2,1,1,13,13.4,+3
35,36,2019,27,40.71,0,14,3,5,.600,1,3,.333,1,2,.500,3,4,7,2,0,1,0,3,8,9.5,-5
36,37,2019,27,74.04,0,16,1,2,.500,0,0,,0,2,.000,1,3,4,2,0,0,1,1,2,1.8,-2
37,38,2019,27,63.2,0,18,7,8,.875,0,1,.000,1,1,1.000,2,1,3,0,0,2,1,1,15,13.9,+15
38,39,2019,27,41.19,0,17,3,7,.429,0,1,.000,2,3,.667,2,1,3,1,1,0,0,1,8,6.9,+1
39,40,2019,27,50.25,0,20,2,5,.400,1,2,.500,4,5,.800,2,2,4,2,0,0,0,2,9,8.5,-8
40,41,2019,27,7.78,0,14,4,6,.667,0,0,,3,4,.750,2,3,5,2,0,0,1,1,11,10.3,-6
41,42,2019,27,0.01,0,16,2,5,.400,0,1,.000,0,0,,0,2,2,1,1,2,0,1,4,4.6,+5
42,43,2019,27,52.19,0,2,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-8
43,44,2019,27,33.26,0,20,4,6,.667,0,0,,1,2,.500,0,6,6,1,0,0,0,3,9,7.3,+11
44,45,2019,27,23.72,0,12,4,5,.800,0,0,,0,0,,1,1,2,0,0,0,0,2,8,6.3,-5
45,46,2019,27,68.29,0,19,3,4,.750,1,1,1.000,0,0,,1,3,4,1,1,0,1,2,7,6.9,+6
46,47,2019,27,33.26,0,24,4,8,.500,1,2,.500,1,2,.500,0,5,5,1,1,2,0,4,10,8.6,+7
47,48,2019,27,100.01,0,24,3,5,.600,0,0,,2,2,1.000,0,3,3,1,0,1,2,2,8,5.2,+16
48,49,2019,27,56.56,0,26,4,7,.571,0,0,,3,3,1.000,4,8,12,2,2,2,0,1,11,17.3,+10
49,50,2019,27,0.01,0,20,3,6,.500,3,6,.500,3,3,1.000,3,5,8,2,1,0,2,4,12,11.4,-3
50,51,2019,27,42.73,0,26,3,6,.500,0,1,.000,7,8,.875,4,4,8,2,0,0,0,3,13,13.8,+13
51,52,2019,27,56.16,0,28,4,5,.800,1,1,1.000,3,5,.600,0,4,4,0,0,0,1,1,12,9.1,-12
52,53,2019,27,23.8,0,26,2,4,.500,0,1,.000,2,2,1.000,0,4,4,1,0,0,0,2,6,5.1,-11
53,54,2019,27,33.99,0,25,6,12,.500,1,4,.250,7,8,.875,4,2,6,1,0,0,1,3,20,15.5,-10
54,55,2019,27,6.48,0,29,5,13,.385,0,4,.000,2,2,1.000,1,5,6,5,0,0,1,3,12,8.4,-7
55,56,2019,27,52.19,1,36,10,11,.909,2,2,1.000,2,2,1.000,4,4,8,4,2,2,0,2,24,29.7,-3
56,57,2019,27,7.78,1,37,5,8,.625,1,1,1.000,1,3,.333,4,3,7,2,2,0,2,3,12,11.5,+16
57,58,2019,27,25.25,1,31,4,7,.571,1,1,1.000,4,6,.667,2,6,8,4,2,0,2,5,13,12.9,-5
58,59,2019,27,39.57,1,32,6,7,.857,5,6,.833,3,4,.750,2,4,6,6,0,0,1,2,20,22.1,-13
59,60,2019,27,69.91,1,36,11,12,.917,1,1,1.000,3,6,.500,5,5,10,2,0,1,0,0,26,27.9,-15
60,61,2019,27,24.36,1,32,4,7,.571,0,1,.000,5,6,.833,2,4,6,2,2,0,2,3,13,12.1,+1
61,62,2019,27,56.16,1,26,4,6,.667,1,2,.500,0,0,,1,5,6,3,1,1,1,3,9,10.2,+11
