,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2018,23,23.8,1,38,9,18,.500,4,5,.800,4,6,.667,4,12,16,2,0,0,4,3,26,18.8,+9
1,2,2018,23,56.56,1,24,2,9,.222,0,4,.000,1,1,1.000,3,7,10,2,2,2,3,2,5,4.7,-5
2,3,2018,23,33.18,1,32,7,12,.583,0,1,.000,6,9,.667,4,8,12,3,1,3,4,3,20,18.4,+12
3,4,2018,23,18.05,1,38,5,11,.455,2,5,.400,1,2,.500,0,3,3,3,0,0,2,2,13,7.1,-7
4,5,2018,23,42.73,1,28,6,11,.545,2,5,.400,3,6,.500,1,3,4,2,0,1,2,3,17,11.0,-6
5,6,2018,23,0.01,1,30,3,15,.200,0,6,.000,3,4,.750,2,3,5,2,1,0,1,5,9,1.0,-15
6,7,2018,23,45.48,1,34,7,15,.467,2,7,.286,2,4,.500,2,8,10,3,2,2,2,3,18,15.6,-6
7,8,2018,23,52.19,1,23,2,5,.400,0,0,,0,0,,0,3,3,0,1,0,1,2,4,1.4,-9
8,9,2018,23,50.25,1,41,11,20,.550,4,10,.400,0,0,,2,6,8,0,1,0,1,3,26,18.4,0
9,10,2018,23,100.01,1,33,9,15,.600,3,4,.750,2,2,1.000,4,5,9,3,0,0,1,3,23,20.3,+3
10,11,2018,23,33.26,1,28,7,15,.467,1,4,.250,0,0,,1,9,10,6,2,1,1,5,15,14.6,+16
11,12,2018,23,69.91,1,42,6,14,.429,3,4,.750,5,6,.833,2,5,7,4,0,0,0,0,20,17.9,-3
12,13,2018,23,69.91,1,33,8,13,.615,0,4,.000,2,2,1.000,2,8,10,3,2,2,2,1,18,19.0,+3
13,14,2018,23,33.18,1,31,7,13,.538,1,3,.333,2,3,.667,0,6,6,6,1,2,1,4,17,16.1,0
14,15,2018,23,40.71,1,29,5,13,.385,1,2,.500,1,2,.500,3,3,6,3,2,0,1,1,12,10.2,+11
15,16,2018,23,68.29,1,29,13,17,.765,4,8,.500,1,2,.500,0,1,1,2,1,0,4,3,31,21.4,+13
16,17,2018,23,23.72,1,36,5,15,.333,2,5,.400,4,5,.800,3,6,9,1,1,3,3,3,16,10.6,+2
17,18,2018,23,33.99,1,32,5,11,.455,1,4,.250,3,4,.750,1,8,9,5,1,1,1,1,14,14.8,-20
18,19,2018,23,40.71,1,31,8,14,.571,1,3,.333,0,0,,3,1,4,0,1,0,1,5,17,10.8,0
19,20,2018,23,41.19,1,21,0,6,.000,0,2,.000,0,0,,0,4,4,1,1,1,2,0,0,-2.6,+11
20,21,2018,23,74.04,1,34,8,12,.667,1,4,.250,1,1,1.000,1,5,6,3,1,0,1,1,18,16.7,+11
21,22,2018,23,23.8,1,34,7,16,.438,3,3,1.000,3,4,.750,3,10,13,5,1,1,1,1,20,20.1,+28
22,23,2018,23,33.99,1,39,8,19,.421,3,8,.375,0,0,,1,5,6,5,1,1,1,4,19,13.7,-5
23,24,2018,23,7.78,1,33,8,18,.444,3,6,.500,1,3,.333,4,10,14,4,1,1,2,1,20,17.7,-13
24,25,2018,23,45.96,1,31,4,15,.267,2,6,.333,0,0,,1,2,3,2,0,0,2,3,10,0.6,-24
25,26,2018,23,66.51,1,37,2,11,.182,1,5,.200,3,4,.750,1,4,5,7,0,0,1,0,8,6.5,+1
26,27,2018,23,6.48,1,28,3,7,.429,2,3,.667,0,0,,0,2,2,3,1,0,6,4,8,0.4,-10
27,28,2018,23,50.25,1,31,4,10,.400,2,3,.667,2,4,.500,1,8,9,7,0,0,3,4,12,9.2,-19
28,29,2018,23,66.51,1,37,4,17,.235,0,3,.000,6,10,.600,5,7,12,4,0,1,0,2,14,10.4,+3
29,30,2018,23,23.8,1,32,4,7,.571,2,4,.500,4,4,1.000,1,5,6,4,1,1,2,2,14,14.6,-9
30,31,2018,23,74.04,1,42,5,10,.500,1,3,.333,0,0,,1,8,9,2,2,1,0,2,11,12.4,+8
31,32,2018,23,23.72,1,35,3,6,.500,1,2,.500,2,2,1.000,1,9,10,4,0,0,4,4,9,6.6,+18
32,33,2018,23,33.26,1,34,8,15,.533,1,4,.250,5,7,.714,2,8,10,4,0,1,2,3,22,18.0,+5
33,34,2018,23,56.56,1,33,6,17,.353,2,6,.333,0,0,,2,6,8,5,0,0,0,1,14,10.8,-7
34,35,2019,23,66.51,1,37,8,14,.571,0,3,.000,2,3,.667,0,7,7,9,0,1,1,1,18,18.7,+21
35,36,2019,23,63.2,1,31,4,8,.500,0,1,.000,2,4,.500,0,3,3,6,1,1,2,0,10,10.0,-21
36,37,2019,23,52.19,1,36,5,17,.294,2,7,.286,5,8,.625,0,5,5,1,1,1,2,1,17,7.4,+4
37,38,2019,23,45.48,1,34,3,13,.231,1,5,.200,3,4,.750,2,7,9,1,1,0,0,0,10,6.9,-23
38,39,2019,23,6.48,1,36,7,17,.412,2,6,.333,2,3,.667,1,9,10,3,0,0,1,3,18,11.8,-12
39,40,2019,23,18.05,1,37,7,14,.500,1,5,.200,13,13,1.000,2,10,12,2,0,1,6,3,28,20.3,+11
40,41,2019,23,56.16,1,35,8,15,.533,2,3,.667,4,4,1.000,2,6,8,5,2,0,3,1,22,20.0,+9
41,42,2019,23,33.26,1,37,5,11,.455,0,3,.000,2,2,1.000,2,6,8,2,1,0,2,6,12,7.5,-3
42,43,2019,23,39.57,1,30,9,13,.692,3,4,.750,2,2,1.000,1,3,4,5,0,0,1,1,23,21.2,+14
43,44,2019,23,39.57,1,24,5,9,.556,0,1,.000,0,0,,3,3,6,2,0,1,2,3,10,7.6,-16
44,45,2019,23,69.91,1,38,8,16,.500,2,8,.250,4,6,.667,4,7,11,6,0,1,3,0,22,20.0,-3
45,46,2019,23,56.16,1,40,9,18,.500,3,8,.375,2,3,.667,2,8,10,4,0,0,4,2,23,15.4,+4
46,47,2019,23,9.96,1,36,6,19,.316,2,9,.222,2,2,1.000,6,3,9,7,0,1,1,2,16,14.0,-12
47,48,2019,23,7.78,1,33,4,9,.444,0,2,.000,2,4,.500,0,3,3,1,0,0,0,0,10,6.1,-6
48,49,2019,23,39.57,1,37,6,17,.353,3,7,.429,0,0,,0,2,2,5,1,1,2,2,15,8.5,+8
49,50,2019,23,9.96,1,35,6,11,.545,1,5,.200,5,9,.556,1,5,6,10,3,1,8,6,18,13.6,-16
50,51,2019,23,63.2,1,31,5,13,.385,1,4,.250,8,8,1.000,1,5,6,5,0,1,2,2,19,15.5,+2
51,52,2019,23,0.01,1,29,6,15,.400,0,1,.000,2,3,.667,1,5,6,0,1,0,2,4,14,5.1,+6
52,53,2019,23,68.05,1,25,4,9,.444,2,5,.400,2,4,.500,0,3,3,3,0,1,1,4,12,7.6,+9
53,54,2019,23,57.78,1,33,6,10,.600,2,4,.500,6,6,1.000,1,3,4,4,2,0,2,1,20,19.4,+18
54,55,2019,23,56.56,1,31,4,17,.235,1,6,.167,1,1,1.000,2,9,11,4,1,0,2,3,10,4.4,+20
55,56,2019,23,66.51,1,32,7,14,.500,2,7,.286,1,4,.250,0,5,5,4,0,3,4,2,17,10.4,-7
56,57,2019,23,23.72,1,29,2,11,.182,0,4,.000,3,4,.750,0,7,7,6,0,0,2,1,7,3.6,+12
57,58,2019,23,68.29,1,32,8,16,.500,1,3,.333,9,12,.750,3,4,7,2,1,1,3,4,26,18.6,-8
58,59,2019,23,41.19,1,36,9,15,.600,2,5,.400,2,2,1.000,3,12,15,3,0,1,3,1,22,20.2,+14
