,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2015,20,74.33,0,3,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,+1
1,2,2015,20,89.27,0,18,5,8,.625,0,0,,0,0,,3,6,9,1,0,0,2,3,10,7.8,+10
2,3,2015,20,51.92,0,24,4,9,.444,0,0,,0,0,,3,1,4,0,0,0,1,2,8,3.9,-2
3,4,2015,20,40.71,0,17,1,4,.250,0,0,,3,4,.750,1,2,3,0,0,1,1,1,5,2.8,-6
4,5,2015,20,37.13,0,17,2,4,.500,0,0,,0,2,.000,2,2,4,1,1,1,1,1,4,4.2,-5
5,6,2015,20,70.98,0,15,3,3,1.000,0,0,,4,4,1.000,0,2,2,1,2,0,1,2,10,10.6,-1
6,7,2015,20,78.61,0,14,4,7,.571,0,0,,0,1,.000,3,2,5,4,2,0,2,0,8,9.8,+9
7,8,2015,20,74.33,0,5,1,3,.333,0,1,.000,1,2,.500,2,3,5,0,0,0,1,2,3,1.4,+5
8,9,2015,20,79.78,0,18,2,3,.667,0,0,,0,0,,2,4,6,0,3,0,0,3,4,7.1,+2
9,10,2015,20,82.66,0,0,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,0
10,11,2015,20,0.01,0,31,8,13,.615,1,1,1.000,6,6,1.000,6,6,12,0,2,3,0,2,23,26.4,-2
11,12,2015,20,79.78,1,17,2,6,.333,0,1,.000,2,2,1.000,2,2,4,1,1,0,0,3,6,5.1,-9
12,13,2015,20,37.13,1,27,3,7,.429,0,0,,5,7,.714,4,7,11,2,2,1,1,0,11,14.5,-12
13,14,2015,20,39.08,1,24,7,13,.538,0,1,.000,2,3,.667,1,5,6,2,0,0,1,5,16,9.9,-4
14,15,2015,20,0.01,1,12,3,4,.750,0,0,,0,0,,1,1,2,0,0,0,3,4,6,0.8,+5
15,16,2015,20,61.72,1,18,2,3,.667,1,1,1.000,3,4,.750,2,4,6,0,1,0,3,3,8,5.7,-7
16,17,2015,20,78.61,1,25,4,7,.571,0,1,.000,0,2,.000,1,5,6,2,0,2,1,1,8,7.5,-14
17,18,2015,20,60.17,1,10,3,6,.500,1,1,1.000,0,0,,0,3,3,0,0,1,0,1,7,5.2,-1
18,19,2015,20,51.45,0,13,4,7,.571,0,0,,0,0,,1,5,6,0,0,0,0,0,8,6.9,+3
19,20,2015,20,61.64,0,17,2,6,.333,0,0,,0,0,,1,3,4,1,0,0,0,1,4,2.5,+2
20,21,2015,20,89.27,0,24,5,10,.500,1,2,.500,8,8,1.000,3,3,6,4,1,0,2,5,19,16.8,+9
21,22,2015,20,74.33,0,22,3,3,1.000,0,0,,3,3,1.000,0,7,7,1,1,0,1,1,9,10.5,+24
22,23,2015,20,89.27,0,20,3,4,.750,0,0,,0,0,,2,1,3,2,2,2,2,3,6,7.7,+12
23,24,2015,20,40.71,0,21,1,5,.200,0,2,.000,5,6,.833,3,7,10,0,1,0,2,3,7,5.5,-5
24,25,2015,20,82.66,0,22,6,8,.750,0,1,.000,1,2,.500,1,2,3,2,0,1,0,2,13,12.0,+11
25,26,2015,20,100.01,0,29,5,7,.714,0,0,,5,6,.833,6,4,10,5,0,0,3,1,15,17.2,+3
26,27,2015,20,79.78,0,21,5,7,.714,1,2,.500,2,2,1.000,5,4,9,2,1,0,2,3,13,14.0,+17
27,28,2015,20,0.01,0,26,10,19,.526,1,2,.500,1,2,.500,5,2,7,5,1,1,3,4,22,17.0,+7
28,29,2015,20,51.92,0,17,3,7,.429,1,1,1.000,0,0,,1,2,3,2,1,0,2,4,7,3.4,+4
29,30,2015,20,44.91,0,22,4,11,.364,0,0,,2,3,.667,2,5,7,1,1,1,2,6,10,4.4,+4
