,+/-,3P,3PA,3P_Perc,AST,Age,BLK,DRB,Date,FG,FGA,FG_Perc,FT,FTA,FT_Perc,G,GS,GmSc,MP,ORB,Opp,PF,PTS,STL,TOV,TRB
0,-6,1,3,.333,0,22,2,7,2016,6,16,.375,7,8,.875,1,1,8.7,22,0,41.4,4,20,0,4,7
1,-3,1,1,1.000,1,22,2,2,2016,5,9,.556,3,4,.750,2,1,8.8,15,0,24.19,3,14,1,3,2
2,+5,0,1,.000,3,22,4,7,2016,6,12,.500,6,9,.667,3,1,15.1,24,3,72.45,2,18,0,4,10
3,-13,4,4,1.000,2,22,4,4,2016,7,13,.538,4,4,1.000,4,1,16.3,25,2,71.18,3,22,1,6,6
4,-1,0,0,,0,22,1,5,2016,4,8,.500,6,9,.667,5,1,7.8,19,4,20.5,5,14,1,5,9
5,+4,1,3,.333,2,22,2,4,2016,6,18,.333,12,14,.857,6,1,13.9,25,3,55.34,3,25,0,5,7
6,+1,0,2,.000,1,22,2,8,2016,6,10,.600,1,1,1.000,7,1,7.3,22,2,60.31,5,13,1,6,10
7,-19,0,1,.000,0,22,1,6,2016,4,9,.444,2,4,.500,8,1,6.6,22,4,89.66,3,10,0,2,10
8,+17,3,5,.600,2,22,2,7,2016,9,14,.643,5,6,.833,9,1,19.7,20,0,90.19,4,26,0,3,7
9,+6,1,2,.500,0,22,3,5,2016,7,13,.538,7,9,.778,10,1,17.7,23,0,35.91,2,22,1,1,5
10,+6,1,4,.250,3,22,3,10,2016,4,10,.400,3,4,.750,11,1,6.1,27,1,38.45,5,12,1,7,11
11,-3,3,4,.750,4,22,3,5,2016,8,18,.444,3,5,.600,12,1,17.2,25,4,71.18,2,22,0,3,9
12,+3,3,5,.600,4,22,0,6,2016,10,21,.476,2,2,1.000,13,1,20.5,26,4,72.45,3,25,0,0,10
13,-9,1,3,.333,1,22,5,3,2016,5,15,.333,5,6,.833,14,1,8.7,25,1,96.95,3,16,0,3,4
14,+27,0,5,.000,2,22,4,4,2016,5,15,.333,4,5,.800,15,1,11.4,27,3,39.71,3,14,3,3,7
15,-10,0,2,.000,5,22,2,5,2016,3,6,.500,3,5,.600,16,1,7.3,27,1,46.79,5,9,1,4,6
16,-6,2,4,.500,2,22,2,2,2016,5,14,.357,3,8,.375,17,1,6.2,28,2,100.01,2,15,0,3,4
17,+7,2,3,.667,1,22,3,8,2016,12,17,.706,7,8,.875,18,1,30.3,27,2,74.88,2,33,2,3,10
18,-17,0,3,.000,1,22,1,6,2016,4,12,.333,3,5,.600,19,1,3.6,24,0,39.71,5,11,1,2,6
19,-10,1,3,.333,1,22,2,7,2016,8,15,.533,10,11,.909,20,1,19.3,28,0,90.19,3,27,0,3,7
20,+3,1,4,.250,1,22,2,4,2016,8,17,.471,8,9,.889,21,1,14.0,28,4,83.75,5,25,2,8,8
21,+6,1,5,.200,5,22,3,3,2016,5,13,.385,12,14,.857,22,1,18.3,28,3,96.95,6,23,2,5,6
22,+11,1,3,.333,3,22,2,3,2017,8,20,.400,8,11,.727,23,1,17.7,29,5,89.66,3,25,1,3,8
23,-1,1,3,.333,3,22,2,8,2017,6,12,.500,10,10,1.000,24,1,16.5,25,0,51.86,6,23,0,4,8
24,+10,0,3,.000,4,22,2,4,2017,8,14,.571,4,5,.800,25,1,14.5,23,1,74.88,4,20,0,3,5
