,+/-,3P,3PA,3P_Perc,AST,Age,BLK,DRB,Date,FG,FGA,FG_Perc,FT,FTA,FT_Perc,G,GS,GmSc,MP,ORB,Opp,PF,PTS,STL,TOV,TRB
25,+9,1,3,.333,1,22,1,9,2017,7,20,.350,6,7,.857,26,1,15.8,26,5,85.54,3,21,1,1,14
26,+23,0,5,.000,1,22,3,8,2017,6,12,.500,12,14,.857,27,1,17.4,28,0,53.44,5,24,2,5,8
27,+13,1,3,.333,2,22,5,10,2017,4,9,.444,13,18,.722,28,1,22.1,27,3,62.42,3,22,2,4,13
28,+20,2,5,.400,2,22,2,9,2017,6,13,.462,12,14,.857,29,1,19.0,26,0,46.79,5,26,1,4,9
29,-1,0,0,,5,22,4,7,2017,7,14,.500,4,9,.444,30,1,13.7,22,3,76.15,2,18,0,5,10
30,0,4,6,.667,4,22,2,6,2017,11,20,.550,6,6,1.000,31,1,25.9,28,1,60.31,3,32,3,5,7
31,+1,0,4,.000,3,23,1,12,2017,7,15,.467,4,4,1.000,1,1,12.6,26,1,54.2,2,18,0,4,13
32,-4,0,6,.000,3,23,2,12,2017,4,16,.250,3,3,1.000,2,1,7.5,28,2,1.02,1,11,1,3,14
33,+21,1,1,1.000,0,23,0,9,2017,11,15,.733,7,8,.875,3,1,19.2,28,0,40.01,5,30,2,7,9
34,-1,1,2,.500,3,23,2,6,2017,8,13,.615,4,5,.800,4,1,16.8,24,0,25.48,3,21,1,3,6
35,-4,3,7,.429,4,23,0,6,2017,8,19,.421,4,6,.667,5,1,10.2,29,3,60.79,4,23,0,7,9
36,+17,0,1,.000,5,23,1,7,2017,9,12,.750,4,6,.667,6,1,21.1,24,2,25.48,5,22,2,3,9
37,+2,1,3,.333,6,23,3,10,2017,9,16,.563,2,5,.400,7,1,22.3,30,2,74.31,4,21,3,2,12
38,+12,0,1,.000,5,23,2,7,2017,7,15,.467,4,5,.800,8,1,12.7,27,2,47.38,4,18,2,6,9
39,+9,1,4,.250,2,23,3,12,2017,7,20,.350,7,8,.875,9,1,13.4,32,3,82.02,3,22,0,5,15
40,-9,0,1,.000,2,23,1,4,2017,4,11,.364,4,4,1.000,10,1,4.5,25,3,43.25,2,12,1,7,7
41,+23,1,5,.200,2,23,1,14,2017,11,20,.550,9,16,.563,11,1,21.7,35,2,72.19,4,32,0,4,16
42,+19,2,3,.667,7,23,7,13,2017,14,20,.700,16,19,.842,12,1,47.9,34,2,45.6,4,46,0,2,15
43,-10,1,4,.250,3,23,1,6,2017,7,16,.438,6,8,.750,13,1,11.2,33,2,43.25,4,21,0,5,8
44,+16,0,3,.000,3,23,2,9,2017,7,17,.412,1,4,.250,14,1,9.5,26,2,0.01,2,15,0,2,11
45,+9,1,3,.333,1,23,2,9,2017,11,19,.579,5,5,1.000,15,1,20.0,30,3,26.49,5,28,0,4,12
46,+12,1,1,1.000,6,23,0,10,2017,7,17,.412,3,4,.750,16,1,12.3,28,4,70.29,3,18,0,5,14
47,-23,0,2,.000,0,23,0,6,2017,11,24,.458,8,9,.889,17,1,19.9,32,5,89.4,4,30,0,1,11
48,+3,0,0,,4,23,4,7,2017,6,15,.400,13,18,.722,18,1,23.1,32,7,54.2,6,25,1,3,14
49,+1,0,3,.000,0,23,0,5,2017,7,21,.333,11,12,.917,19,1,11.1,31,5,40.01,4,25,1,6,10
50,-11,0,0,,2,23,4,10,2017,7,18,.389,8,8,1.000,20,1,20.4,34,2,100.01,1,22,0,0,12
51,+14,2,3,.667,6,23,5,6,2017,11,17,.647,9,10,.900,21,1,30.3,36,1,45.6,5,33,1,4,7
52,+18,1,1,1.000,8,23,1,11,2017,8,16,.500,11,12,.917,22,1,25.9,39,1,81.57,5,28,0,2,12
53,+6,0,3,.000,6,23,2,8,2017,11,20,.550,12,13,.923,23,1,23.8,48,0,38.67,3,34,0,7,8
54,-19,1,4,.250,2,23,3,8,2017,5,13,.385,3,4,.750,24,1,6.6,22,0,22.36,2,14,0,5,8
55,+25,2,3,.667,3,23,3,13,2017,8,17,.471,7,8,.875,25,1,18.9,34,3,75.99,3,25,0,6,16
56,0,6,12,.500,3,23,1,8,2017,9,21,.429,5,8,.625,26,1,17.0,34,1,26.49,4,29,0,4,9
57,+32,0,3,.000,5,23,2,8,2017,8,14,.571,6,8,.750,27,1,14.6,31,1,100.01,5,22,1,7,9
58,+16,0,2,.000,4,23,4,9,2018,6,12,.500,9,11,.818,28,1,20.7,35,2,8.95,3,21,1,3,11
59,+26,1,2,.500,0,23,1,7,2018,9,16,.563,4,5,.800,29,1,17.0,24,2,40.01,3,23,0,1,9
60,-7,1,5,.200,5,23,1,10,2018,6,17,.353,2,3,.667,30,1,9.5,30,0,1.02,2,15,2,4,10
61,-2,1,5,.200,3,23,1,6,2018,11,21,.524,11,14,.786,31,1,22.0,34,5,22.36,4,34,0,7,11
62,+10,0,1,.000,6,23,2,13,2018,10,19,.526,6,7,.857,32,1,23.3,34,3,1.02,4,26,1,4,16
63,+16,2,5,.400,1,23,2,9,2018,11,19,.579,5,6,.833,33,1,19.7,32,0,71.74,2,29,1,5,9
64,-5,0,2,.000,1,23,0,9,2018,5,13,.385,5,9,.556,34,1,7.6,31,5,81.46,4,15,0,4,14
65,+9,1,2,.500,3,23,2,5,2018,10,17,.588,1,1,1.000,35,1,14.9,31,0,78.78,3,22,0,3,5
66,+21,1,2,.500,3,23,0,10,2018,6,15,.400,5,8,.625,36,1,15.7,29,3,8.95,3,18,1,0,13
67,+10,3,4,.750,2,23,2,7,2018,10,16,.625,4,5,.800,37,1,19.8,35,3,38.67,4,27,0,5,10
68,+9,1,5,.200,2,23,1,13,2018,8,19,.421,12,14,.857,38,1,20.2,35,1,77.66,4,29,0,3,14
69,+11,0,4,.000,4,23,3,9,2018,7,17,.412,3,4,.750,39,1,8.5,31,2,28.61,5,17,0,6,11
70,-20,0,4,.000,3,23,1,6,2018,9,19,.474,6,9,.667,40,1,15.1,33,4,47.38,1,24,2,7,10
71,+16,3,7,.429,3,23,3,12,2018,10,21,.476,4,5,.800,41,1,22.6,32,1,54.2,2,27,0,1,13
72,+33,2,4,.500,0,23,1,13,2018,11,18,.611,0,0,,42,1,21.1,23,3,50.18,1,24,2,3,16
73,0,1,6,.167,2,23,3,12,2018,9,23,.391,10,13,.769,43,1,23.0,34,4,72.19,3,29,1,2,16
74,+13,1,2,.500,2,23,0,5,2018,6,13,.462,4,6,.667,44,1,9.9,23,1,75.99,3,17,1,3,6
75,+6,3,3,1.000,5,23,4,11,2018,11,17,.647,5,8,.625,45,1,33.5,34,2,78.78,2,30,3,1,13
76,+9,1,4,.250,1,23,1,11,2018,10,17,.588,7,10,.700,46,1,24.9,26,3,70.29,2,28,0,0,14
77,-9,2,6,.333,4,23,1,8,2018,9,20,.450,5,6,.833,47,1,16.5,31,2,54.2,5,25,2,5,10
78,+12,3,6,.500,4,23,0,6,2018,9,16,.563,2,3,.667,48,1,15.0,30,2,28.61,5,23,1,5,8
79,+16,0,1,.000,6,23,1,8,2018,7,18,.389,3,8,.375,49,1,14.3,34,6,89.4,1,17,0,2,14
80,+19,1,4,.250,4,23,3,14,2018,8,19,.421,6,11,.545,50,1,15.1,31,1,57.66,4,23,0,4,15
81,-10,0,3,.000,2,23,2,8,2018,6,12,.500,7,10,.700,51,1,9.0,31,0,71.74,5,19,1,7,8
82,-5,0,3,.000,4,23,1,3,2018,8,16,.500,2,2,1.000,52,1,11.2,28,2,57.66,4,18,0,3,5
83,-1,3,6,.500,3,23,0,6,2018,5,18,.278,4,7,.571,53,1,6.8,28,1,28.61,5,17,0,1,7
84,+19,1,2,.500,3,23,1,5,2018,9,17,.529,2,4,.500,54,1,16.9,26,3,77.66,1,21,1,2,8
85,+1,0,5,.000,4,23,3,10,2018,11,22,.500,7,8,.875,55,1,17.3,32,2,47.38,4,29,0,8,12
86,+10,2,5,.400,4,23,2,6,2018,11,21,.524,5,7,.714,56,1,22.5,31,4,75.99,3,29,0,3,10
87,+20,1,4,.250,4,24,2,12,2018,6,23,.261,11,11,1.000,57,1,21.4,32,7,77.66,4,24,1,1,19
88,-9,4,6,.667,2,24,3,16,2018,10,17,.588,1,2,.500,58,1,17.2,31,4,57.66,4,25,0,9,20
89,+19,0,2,.000,4,24,1,6,2018,4,10,.400,6,6,1.000,59,1,13.8,19,1,81.46,2,14,1,1,7
90,+24,1,4,.250,3,24,1,7,2018,6,11,.545,4,4,1.000,60,1,17.2,20,2,70.29,2,17,1,1,9
91,+21,1,3,.333,2,24,3,6,2018,6,12,.500,6,8,.750,61,1,15.7,23,0,81.57,2,19,0,1,6
92,+20,0,1,.000,2,24,2,12,2018,6,12,.500,8,10,.800,62,1,15.3,27,1,76.43,5,20,1,4,13
93,+7,0,1,.000,0,24,0,1,2018,2,6,.333,1,2,.500,63,1,1.5,8,2,75.99,1,5,0,1,3
