,G,Date,Age,Opp,GS,MP,FG,FGA,FG_Perc,3P,3PA,3P_Perc,FT,FTA,FT_Perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2018,27,100.01,0,14,2,6,.333,2,5,.400,2,2,1.000,0,0,0,1,2,0,2,0,8,5.3,-3
1,2,2018,27,57.78,0,15,6,11,.545,3,6,.500,1,3,.333,0,2,2,1,1,0,0,1,16,11.8,+1
2,3,2018,27,41.19,0,14,1,7,.143,1,4,.250,2,2,1.000,0,1,1,3,0,0,1,0,5,1.9,-11
3,4,2018,27,68.29,0,18,3,6,.500,2,2,1.000,4,4,1.000,0,0,0,3,1,0,1,1,12,10.7,+3
4,5,2018,27,33.26,0,5,0,3,.000,0,1,.000,1,2,.500,0,0,0,0,0,0,1,1,1,-2.9,-13
5,6,2018,27,56.16,0,16,3,7,.429,3,4,.750,2,2,1.000,1,1,2,0,0,0,0,3,11,7.1,+9
6,7,2018,27,33.18,0,16,1,5,.200,1,3,.333,0,0,,0,1,1,4,0,1,1,3,3,1.5,+7
7,8,2018,27,74.04,0,15,1,4,.250,0,2,.000,2,2,1.000,2,2,4,5,1,0,1,0,4,7.1,+13
8,9,2018,27,41.19,0,19,4,7,.571,0,0,,6,9,.667,0,1,1,1,1,0,0,2,14,10.7,+1
9,10,2018,27,63.2,0,4,2,2,1.000,0,0,,0,0,,0,0,0,1,0,0,0,1,4,3.7,-5
10,11,2018,27,23.8,0,25,5,13,.385,1,3,.333,2,2,1.000,0,2,2,2,2,0,0,3,13,8.7,-5
11,12,2018,27,69.91,0,18,2,7,.286,0,2,.000,4,5,.800,0,4,4,1,0,1,0,1,8,5.7,0
12,13,2018,27,52.19,0,12,0,4,.000,0,1,.000,1,2,.500,0,0,0,0,0,1,3,1,1,-4.9,-2
13,14,2018,27,23.8,0,9,3,5,.600,0,1,.000,0,0,,1,0,1,1,0,0,0,1,6,4.7,-11
14,15,2018,27,45.96,0,16,3,5,.600,2,2,1.000,0,0,,1,0,1,1,0,0,1,1,8,5.7,-1
15,16,2018,27,63.2,0,17,4,5,.800,3,4,.750,1,1,1.000,1,5,6,1,1,1,3,1,12,11.3,0
16,17,2018,27,33.18,0,14,1,4,.250,0,2,.000,0,0,,0,0,0,1,1,0,0,0,2,1.3,0
17,18,2018,27,6.48,0,16,3,7,.429,2,3,.667,2,2,1.000,0,0,0,0,2,1,3,3,10,4.8,+5
18,19,2018,27,25.25,0,24,4,14,.286,2,7,.286,8,8,1.000,0,6,6,2,1,1,1,2,18,12.9,+5
19,20,2018,27,69.91,0,25,2,13,.154,1,7,.143,3,3,1.000,0,2,2,3,3,1,1,2,8,4.3,-3
20,21,2018,27,100.01,0,17,5,10,.500,0,3,.000,0,0,,2,2,4,2,0,0,1,1,10,7.0,-7
21,22,2018,27,9.96,0,0,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1
22,23,2018,27,68.05,0,4,0,0,,0,0,,2,2,1.000,0,0,0,0,1,0,1,0,2,2.0,-4
23,24,2018,27,66.51,0,10,0,1,.000,0,1,.000,0,0,,0,0,0,3,0,0,1,1,0,0.0,0
24,25,2018,27,74.04,0,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-6
25,26,2018,27,56.56,0,11,5,5,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,11,10.2,+9
26,27,2018,27,0.01,0,33,9,15,.600,4,7,.571,10,12,.833,1,3,4,7,1,0,1,1,32,30.4,-10
27,28,2019,27,57.78,0,24,5,11,.455,2,4,.500,0,0,,0,3,3,4,0,0,2,1,12,7.6,+15
28,29,2019,27,25.25,0,23,1,5,.200,1,4,.250,7,7,1.000,0,2,2,4,0,0,4,1,10,5.9,+12
29,30,2019,27,66.51,0,26,6,14,.429,3,9,.333,3,4,.750,1,2,3,3,1,0,0,1,18,14.2,+12
30,31,2019,27,18.05,1,32,4,12,.333,2,9,.222,0,0,,0,5,5,6,1,2,5,3,10,5.1,-16
31,32,2019,27,68.05,0,22,4,11,.364,1,5,.200,2,2,1.000,0,3,3,3,3,0,1,2,11,9.1,+2
32,33,2019,27,23.72,0,25,6,14,.429,3,6,.500,0,2,.000,0,2,2,5,0,0,2,3,15,7.7,-9
33,34,2019,27,56.16,0,8,2,6,.333,1,2,.500,0,0,,1,0,1,0,2,0,1,0,5,3.3,+1
