Rk,Player,Pos,Age,Tm,G,MP,PTS,PS/G
272,Jerome Whitehead,C,23,TOT,50,553,126,2.5
272,Jerome Whitehead,C,23,SDC,18,225,59,3.3
272,Jerome Whitehead,C,23,UTA,32,328,67,2.1
273,Sidney Wicks,PF,30,SDC,71,2146,503,7.1
274,Bob Wilkerson,SF,25,DEN,75,2381,1033,13.8
275,Jamaal Wilkes*,SF,26,LAL,82,3111,1644,20
276,Duck Williams,PG,23,UTA,77,1794,506,6.6
277,Freeman Williams,SG,23,SDC,82,2118,1526,18.6
278,Gus Williams,PG,26,SEA,82,2969,1816,22.1
279,Ray Williams,PG,25,NYK,82,2582,1714,20.9
280,Sly Williams,SF,22,NYK,57,556,266,4.7
281,John Williamson,SG,28,TOT,58,1374,845,14.6
281,John Williamson,SG,28,NJN,28,771,496,17.7
281,John Williamson,SG,28,WSB,30,603,349,11.6
282,Bill Willoughby,SF,22,CLE,78,1447,535,6.9
283,Bubba Wilson,SG,24,GSW,16,143,17,1.1
284,Rick Wilson,SG,23,ATL,5,59,8,1.6
285,Brian Winters,SG,27,MIL,80,2623,1292,16.2
286,Larry Wright,PG,25,WSB,76,1286,558,7.3
287,Tony Zeno,SF,22,IND,8,59,14,1.8
